Entity,Code,Year,Land spared by yield gains (hectares) (hectares),Land under cereal production (hectares)
World,OWID_WRL,1962,29682807.62,626873569
World,OWID_WRL,1963,33137774.47,634654267
World,OWID_WRL,1964,62174540.85,642102781
World,OWID_WRL,1965,61641966.98,640791585
World,OWID_WRL,1966,113074810.8,645454696
World,OWID_WRL,1967,132863835,657841063
World,OWID_WRL,1968,154078653.6,662370467
World,OWID_WRL,1969,160098425.6,663609863
World,OWID_WRL,1970,182601856.7,656236355
World,OWID_WRL,1971,245331954.3,668885147
World,OWID_WRL,1972,227505197.5,657738601
World,OWID_WRL,1973,280213150.3,674343531
World,OWID_WRL,1974,258575889.9,674550530
World,OWID_WRL,1975,272693996.4,683824468
World,OWID_WRL,1976,334620889.2,694988344
World,OWID_WRL,1977,335175765.9,689251434
World,OWID_WRL,1978,425750406.6,687079932
World,OWID_WRL,1979,400571947.3,680943397
World,OWID_WRL,1980,399134449.5,691110844
World,OWID_WRL,1981,445774844.3,702481738
World,OWID_WRL,1982,498366026.5,692206982
World,OWID_WRL,1983,458729766.9,685703216
World,OWID_WRL,1984,558990781.5,697883917
World,OWID_WRL,1985,576455635,704648757
World,OWID_WRL,1986,586603346.8,703491970
World,OWID_WRL,1987,561412721.6,684723353
World,OWID_WRL,1988,525365792.3,689888966
World,OWID_WRL,1989,613456339.5,702900135
World,OWID_WRL,1990,673082477.5,699807130
World,OWID_WRL,1991,631859516.1,698266492
World,OWID_WRL,1992,684252625.9,704254583
World,OWID_WRL,1993,646756264.2,693586482
World,OWID_WRL,1994,683280520.5,692073236
World,OWID_WRL,1995,652203396.9,684098089
World,OWID_WRL,1996,754014639.6,699024671
World,OWID_WRL,1997,775974872.5,699025091
World,OWID_WRL,1998,789793357.4,678301841
World,OWID_WRL,1999,797104003.7,667797828
World,OWID_WRL,2000,778071476.4,670662748
World,OWID_WRL,2001,814191867.2,670619522
World,OWID_WRL,2002,771601453.8,659291088
World,OWID_WRL,2003,799886419.7,669809741
World,OWID_WRL,2004,926924697,675718079
World,OWID_WRL,2005,907953493.4,689894087
World,OWID_WRL,2006,892687447.2,678531273
World,OWID_WRL,2007,958933751.8,697079516
World,OWID_WRL,2008,1069268225,713610347
World,OWID_WRL,2009,1055387669,700234670
World,OWID_WRL,2010,1042465746,693922078
World,OWID_WRL,2011,1111844337,706084064
World,OWID_WRL,2012,1092291746,707079325
World,OWID_WRL,2013,1224196708,719573721
World,OWID_WRL,2014,1261231069,721395893
World,OWID_WRL,1961,,624561286
