Entity,Code,Year,Number of missing women (missing women)
China,CHN,1970,27200000
China,CHN,1975,29000000
China,CHN,1980,31800000
China,CHN,1985,33200000
China,CHN,1990,39200000
China,CHN,1995,44300000
China,CHN,2000,49500000
China,CHN,2005,55700000
China,CHN,2010,62300000
China,CHN,2015,68400000
China,CHN,2020,72300000
China,CHN,2025,74900000
China,CHN,2030,76400000
China,CHN,2035,76900000
China,CHN,2040,76600000
China,CHN,2045,75100000
China,CHN,2050,73400000
India,IND,1970,21800000
India,IND,1975,24800000
India,IND,1980,27100000
India,IND,1985,30200000
India,IND,1990,33200000
India,IND,1995,36100000
India,IND,2000,38900000
India,IND,2005,41100000
India,IND,2010,43300000
India,IND,2015,44900000
India,IND,2020,45800000
India,IND,2025,46300000
India,IND,2030,46000000
India,IND,2035,45100000
India,IND,2040,43600000
India,IND,2045,42000000
India,IND,2050,40300000
Rest of World,,1970,12100000
Rest of World,,1975,12500000
Rest of World,,1980,13300000
Rest of World,,1985,14600000
Rest of World,,1990,15200000
Rest of World,,1995,16300000
Rest of World,,2000,17400000
Rest of World,,2005,19500000
Rest of World,,2010,20100000
Rest of World,,2015,22800000
Rest of World,,2020,24500000
Rest of World,,2025,26100000
Rest of World,,2030,27100000
Rest of World,,2035,27900000
Rest of World,,2040,28300000
Rest of World,,2045,28400000
Rest of World,,2050,28300000
World,OWID_WRL,1970,61000000
World,OWID_WRL,1975,66400000
World,OWID_WRL,1980,72200000
World,OWID_WRL,1985,79300000
World,OWID_WRL,1990,87600000
World,OWID_WRL,1995,96700000
World,OWID_WRL,2000,105900000
World,OWID_WRL,2005,116400000
World,OWID_WRL,2010,125600000
World,OWID_WRL,2015,136200000
World,OWID_WRL,2020,142600000
World,OWID_WRL,2025,147200000
World,OWID_WRL,2030,149500000
World,OWID_WRL,2035,149900000
World,OWID_WRL,2040,148600000
World,OWID_WRL,2045,145400000
World,OWID_WRL,2050,142000000
