Entity,Code,Year, (%)
Afghanistan,AFG,1990,20.4
Afghanistan,AFG,1995,20.2
Afghanistan,AFG,2000,19.9
Afghanistan,AFG,2005,20.2
Albania,ALB,1990,13.3
Albania,ALB,1995,6.2
Albania,ALB,2000,6.1
Albania,ALB,2005,5.3
Algeria,DZA,1990,13.1
Algeria,DZA,1995,14.8
Algeria,DZA,2000,17.3
Algeria,DZA,2005,16.6
Andorra,AND,1990,5.4
Andorra,AND,1995,5.5
Andorra,AND,2000,5.7
Andorra,AND,2005,5.6
Angola,AGO,1990,24.6
Angola,AGO,1995,28.2
Angola,AGO,2000,25.8
Angola,AGO,2005,24.4
Antigua and Barbuda,ATG,1990,4.8
Antigua and Barbuda,ATG,1995,6.1
Antigua and Barbuda,ATG,2000,7.1
Antigua and Barbuda,ATG,2005,6.8
Argentina,ARG,1990,1.7
Argentina,ARG,1995,1.8
Argentina,ARG,2000,2
Argentina,ARG,2005,2.3
Armenia,ARM,1990,15
Armenia,ARM,1995,19.3
Armenia,ARM,2000,20.4
Armenia,ARM,2005,16.3
Australia,AUS,1990,3.2
Australia,AUS,1995,3.3
Australia,AUS,2000,3.6
Australia,AUS,2005,3.8
Austria,AUT,1990,6.4
Austria,AUT,1995,5.5
Austria,AUT,2000,5.8
Austria,AUT,2005,7.4
Azerbaijan,AZE,1990,15.6
Azerbaijan,AZE,1995,21
Azerbaijan,AZE,2000,21.5
Azerbaijan,AZE,2005,22.4
Bahamas,BHS,1990,3.9
Bahamas,BHS,1995,5.1
Bahamas,BHS,2000,5
Bahamas,BHS,2005,5.7
Bahrain,BHR,1990,21.5
Bahrain,BHR,1995,22.8
Bahrain,BHR,2000,22.9
Bahrain,BHR,2005,24.8
Bangladesh,BGD,1990,28.3
Bangladesh,BGD,1995,31.3
Bangladesh,BGD,2000,29.5
Bangladesh,BGD,2005,29.7
Barbados,BRB,1990,6.4
Barbados,BRB,1995,8.7
Barbados,BRB,2000,9.6
Barbados,BRB,2005,9.3
Belarus,BLR,1990,7.2
Belarus,BLR,1995,8.1
Belarus,BLR,2000,8.7
Belarus,BLR,2005,9
Belgium,BEL,1990,5.5
Belgium,BEL,1995,5.8
Belgium,BEL,2000,6.1
Belgium,BEL,2005,6.8
Belize,BLZ,1990,10.2
Belize,BLZ,1995,11.1
Belize,BLZ,2000,12.3
Belize,BLZ,2005,13.6
Benin,BEN,1990,17.8
Benin,BEN,1995,16.8
Benin,BEN,2000,17.3
Benin,BEN,2005,17.9
Bhutan,BTN,1990,23.4
Bhutan,BTN,1995,23.2
Bhutan,BTN,2000,27
Bhutan,BTN,2005,31.7
Bolivia,BOL,1990,10.1
Bolivia,BOL,1995,10.9
Bolivia,BOL,2000,10.4
Bolivia,BOL,2005,11.1
Bosnia and Herzegovina,BIH,1990,14.1
Bosnia and Herzegovina,BIH,1995,16.7
Bosnia and Herzegovina,BIH,2000,16.5
Bosnia and Herzegovina,BIH,2005,16.7
Botswana,BWA,1990,18.9
Botswana,BWA,1995,21.2
Botswana,BWA,2000,29.5
Botswana,BWA,2005,30.6
Brazil,BRA,1990,9.6
Brazil,BRA,1995,8.1
Brazil,BRA,2000,7.3
Brazil,BRA,2005,7.3
Brunei,BRN,1990,8.7
Brunei,BRN,1995,8.3
Brunei,BRN,2000,10.9
Brunei,BRN,2005,10.6
Bulgaria,BGR,1990,7.4
Bulgaria,BGR,1995,8.9
Bulgaria,BGR,2000,10
Bulgaria,BGR,2005,15.3
Burkina Faso,BFA,1990,42.7
Burkina Faso,BFA,1995,41.9
Burkina Faso,BFA,2000,39.4
Burkina Faso,BFA,2005,39.4
Burundi,BDI,1990,29.2
Burundi,BDI,1995,30.8
Burundi,BDI,2000,33.6
Burundi,BDI,2005,38
Cambodia,KHM,1990,14.4
Cambodia,KHM,1995,14.9
Cambodia,KHM,2000,15.5
Cambodia,KHM,2005,16.4
Cameroon,CMR,1990,35.5
Cameroon,CMR,1995,37.4
Cameroon,CMR,2000,33.8
Cameroon,CMR,2005,33.8
Canada,CAN,1990,6.4
Canada,CAN,1995,6.9
Canada,CAN,2000,6.8
Canada,CAN,2005,8
Cape Verde,CPV,1990,21.9
Cape Verde,CPV,1995,20.1
Cape Verde,CPV,2000,18.8
Cape Verde,CPV,2005,16.8
Central African Republic,CAF,1990,19.1
Central African Republic,CAF,1995,17.6
Central African Republic,CAF,2000,16.7
Central African Republic,CAF,2005,16.1
Chad,TCD,1990,34.1
Chad,TCD,1995,39.1
Chad,TCD,2000,33.7
Chad,TCD,2005,34.5
Chile,CHL,1990,6.8
Chile,CHL,1995,5.1
Chile,CHL,2000,5.4
Chile,CHL,2005,5.7
China,CHN,1990,16.9
China,CHN,1995,11
China,CHN,2000,8.3
China,CHN,2005,7.5
Colombia,COL,1990,9.6
Colombia,COL,1995,10
Colombia,COL,2000,10.7
Colombia,COL,2005,10.7
Comoros,COM,1990,27.5
Comoros,COM,1995,31.1
Comoros,COM,2000,35.3
Comoros,COM,2005,32
Congo,COG,1990,29
Congo,COG,1995,26.8
Congo,COG,2000,27.3
Congo,COG,2005,21.6
Costa Rica,CRI,1990,13.7
Costa Rica,CRI,1995,12.4
Costa Rica,CRI,2000,12.9
Costa Rica,CRI,2005,15.7
Cote d'Ivoire,CIV,1990,32.6
Cote d'Ivoire,CIV,1995,32.9
Cote d'Ivoire,CIV,2000,35.2
Cote d'Ivoire,CIV,2005,33.4
Croatia,HRV,1990,10.7
Croatia,HRV,1995,16.4
Croatia,HRV,2000,15.6
Croatia,HRV,2005,12.4
Cuba,CUB,1990,13.5
Cuba,CUB,1995,21.6
Cuba,CUB,2000,19.4
Cuba,CUB,2005,20.2
Cyprus,CYP,1990,5
Cyprus,CYP,1995,4.8
Cyprus,CYP,2000,5
Cyprus,CYP,2005,6.1
Czech Republic,CZE,1990,7.1
Czech Republic,CZE,1995,7.9
Czech Republic,CZE,2000,9.9
Czech Republic,CZE,2005,11
Democratic Republic of Congo,COD,1990,32.2
Democratic Republic of Congo,COD,1995,40.9
Democratic Republic of Congo,COD,2000,52.1
Democratic Republic of Congo,COD,2005,54.3
Denmark,DNK,1990,7.6
Denmark,DNK,1995,7.7
Denmark,DNK,2000,6.3
Denmark,DNK,2005,6.2
Djibouti,DJI,1990,20.5
Djibouti,DJI,1995,18.4
Djibouti,DJI,2000,17.7
Djibouti,DJI,2005,16
Dominica,DMA,1990,7.6
Dominica,DMA,1995,8
Dominica,DMA,2000,8.2
Dominica,DMA,2005,8.7
Dominican Republic,DOM,1990,18.8
Dominican Republic,DOM,1995,18.7
Dominican Republic,DOM,2000,20.3
Dominican Republic,DOM,2005,19.4
Ecuador,ECU,1990,13.2
Ecuador,ECU,1995,10.3
Ecuador,ECU,2000,9.2
Ecuador,ECU,2005,7.9
Egypt,EGY,1990,10.6
Egypt,EGY,1995,11
Egypt,EGY,2000,11.8
Egypt,EGY,2005,12.1
El Salvador,SLV,1990,36.9
El Salvador,SLV,1995,36
El Salvador,SLV,2000,30.9
El Salvador,SLV,2005,28
