Entity,Code,Year,
Algeria,DZA,1999,12.44347
Algeria,DZA,2000,10.11494
Algeria,DZA,2002,11.23548
Algeria,DZA,2003,11.73824
Andorra,AND,2002,9.47203
Andorra,AND,2004,10.44922
Andorra,AND,2005,9.82154
Andorra,AND,2006,12.34146
Andorra,AND,2007,12.06832
Andorra,AND,2009,14.66964
Andorra,AND,2010,15.80389
Andorra,AND,2011,16.62208
Andorra,AND,2013,15.41457
Antigua and Barbuda,ATG,2009,8.13557
Argentina,ARG,1998,10.96493
Argentina,ARG,1999,12.86519
Argentina,ARG,2000,12.76096
Argentina,ARG,2001,14.3596
Argentina,ARG,2002,11.21425
Argentina,ARG,2003,10.91502
Argentina,ARG,2004,9.43882
Argentina,ARG,2005,9.87104
Argentina,ARG,2006,10.65731
Argentina,ARG,2007,11.56669
Argentina,ARG,2008,12.81408
Argentina,ARG,2009,13.65341
Argentina,ARG,2010,13.09005
Argentina,ARG,2011,14.05367
Argentina,ARG,2012,13.77982
Armenia,ARM,2012,16.20086
Aruba,ABW,1999,11.5909
Aruba,ABW,2000,13.06354
Aruba,ABW,2001,12.19361
Aruba,ABW,2002,13.78537
Aruba,ABW,2004,11.41432
Aruba,ABW,2005,12.2113
Australia,AUS,2000,16.75547
Australia,AUS,2005,17.92207
Australia,AUS,2006,17.70497
Australia,AUS,2007,17.27916
Australia,AUS,2008,17.63353
Australia,AUS,2009,19.9527
Australia,AUS,2010,22.43024
Australia,AUS,2011,20.0936
Australia,AUS,2012,18.27615
Austria,AUT,1998,24.58052
Austria,AUT,1999,24.40617
Austria,AUT,2000,22.51919
Austria,AUT,2001,22.48956
Austria,AUT,2002,22.90686
Austria,AUT,2003,22.69071
Austria,AUT,2004,22.09407
Austria,AUT,2005,22.70759
Austria,AUT,2006,22.70007
Austria,AUT,2007,22.29696
Austria,AUT,2008,23.30296
Austria,AUT,2009,25.29206
Austria,AUT,2010,25.04465
Austria,AUT,2011,24.69787
Bahrain,BHR,2013,10.50111
Bangladesh,BGD,2006,8.99299
Bangladesh,BGD,2007,9.04546
Bangladesh,BGD,2008,8.51756
Bangladesh,BGD,2009,7.7608
Barbados,BRB,1999,10.39644
Barbados,BRB,2000,13.89868
Barbados,BRB,2001,19.16678
Barbados,BRB,2002,17.58063
Barbados,BRB,2003,19.1845
Barbados,BRB,2004,19.60628
Barbados,BRB,2005,18.98914
Barbados,BRB,2008,22.71885
Belgium,BEL,2001,17.78803
Belgium,BEL,2002,17.95851
Belgium,BEL,2003,19.26674
Belgium,BEL,2004,19.26549
Belgium,BEL,2005,19.33641
Belgium,BEL,2006,19.78325
Belgium,BEL,2007,19.93444
Belgium,BEL,2008,21.79532
Belgium,BEL,2009,21.50615
Belgium,BEL,2010,22.44879
Belgium,BEL,2011,22.29204
Belgium,BEL,2012,23.07651
Belize,BLZ,1999,16.49787
Belize,BLZ,2000,15.76312
Belize,BLZ,2004,11.91645
Belize,BLZ,2005,13.14644
Belize,BLZ,2006,13.53295
Belize,BLZ,2008,14.81726
Belize,BLZ,2009,15.39968
Belize,BLZ,2010,17.43299
Belize,BLZ,2012,14.3967
Benin,BEN,2000,12.04541
Benin,BEN,2001,13.0549
Benin,BEN,2002,11.1485
Benin,BEN,2003,11.19805
Benin,BEN,2004,12.03486
Benin,BEN,2005,11.42037
Benin,BEN,2006,12.67442
Benin,BEN,2008,12.92016
Benin,BEN,2009,14.05505
Benin,BEN,2010,15.01058
Benin,BEN,2012,13.6059
Benin,BEN,2013,12.56797
Bermuda,BMU,2004,9.40736
Bermuda,BMU,2005,10.92196
Bermuda,BMU,2010,11.96799
Bhutan,BTN,2004,8.15145
Bhutan,BTN,2005,10.28841
Bhutan,BTN,2008,7.29124
Bhutan,BTN,2009,8.99587
Bhutan,BTN,2010,7.7978
Bhutan,BTN,2011,9.52374
Bhutan,BTN,2013,8.18258
Bolivia,BOL,1998,13.65876
Bolivia,BOL,1999,14.5041
Bolivia,BOL,2000,12.61579
Bolivia,BOL,2001,12.01663
Bolivia,BOL,2002,15.62243
