Entity,Code,Year,Government expenditure on tertiary education as % of GDP (%) (%)
Albania,ALB,2013,0.775849997997284
Algeria,DZA,2008,1.1698100566864
Andorra,AND,2002,0.116779997944832
Andorra,AND,2004,0.0760800018906593
Andorra,AND,2005,0.0621300004422665
Andorra,AND,2006,0.145410001277924
Andorra,AND,2007,0.0939999967813492
Andorra,AND,2009,0.113839998841286
Andorra,AND,2010,0.118380002677441
Andorra,AND,2011,0.121320001780987
Andorra,AND,2013,0.112999998033047
Andorra,AND,2014,0.186179995536804
Angola,AGO,2005,0.175620004534721
Angola,AGO,2006,0.198510006070137
Antigua and Barbuda,ATG,1999,0.487619996070862
Antigua and Barbuda,ATG,2002,0.23149000108242
Antigua and Barbuda,ATG,2009,0.187830001115799
Argentina,ARG,1998,0.854759991168976
Argentina,ARG,1999,0.775080025196075
Argentina,ARG,2000,0.830640017986298
Argentina,ARG,2001,0.828119993209839
Argentina,ARG,2002,0.702740013599396
Argentina,ARG,2003,0.572220027446747
Argentina,ARG,2004,0.543079972267151
Argentina,ARG,2005,0.564249992370605
Argentina,ARG,2006,0.648909986019135
Argentina,ARG,2007,0.691590011119843
Argentina,ARG,2008,0.766070008277893
Argentina,ARG,2009,0.92179000377655
Argentina,ARG,2010,0.914740025997162
Argentina,ARG,2011,0.968980014324188
Argentina,ARG,2012,1.01678001880646
Argentina,ARG,2013,1.08135998249054
Armenia,ARM,2008,0.358280003070831
Armenia,ARM,2009,0.359539985656738
Armenia,ARM,2010,0.378639996051788
Armenia,ARM,2011,0.354999989271164
Armenia,ARM,2012,0.277449995279312
Armenia,ARM,2013,0.273440003395081
Armenia,ARM,2014,0.305209994316101
Aruba,ABW,1998,0.481169998645782
Aruba,ABW,1999,0.511600017547607
Aruba,ABW,2000,0.499049991369247
Aruba,ABW,2001,0.576430022716522
Aruba,ABW,2002,0.583039999008179
Aruba,ABW,2004,0.483700007200241
Aruba,ABW,2005,0.537599980831146
Australia,AUS,2000,1.14632999897003
Australia,AUS,2005,1.09037005901337
Australia,AUS,2006,1.04294002056122
Australia,AUS,2007,1.04885005950928
Australia,AUS,2008,1.04103004932404
Australia,AUS,2009,1.12611997127533
Australia,AUS,2010,1.24056994915009
Australia,AUS,2011,1.18307995796204
Australia,AUS,2012,1.15940999984741
Australia,AUS,2013,1.36765003204346
Austria,AUT,1998,1.60537004470825
Austria,AUT,1999,1.6039799451828
Austria,AUT,2000,1.40042996406555
Austria,AUT,2001,1.32070994377136
Austria,AUT,2002,1.24879002571106
Austria,AUT,2003,1.26581001281738
Austria,AUT,2004,1.38989996910095
Austria,AUT,2005,1.43821001052856
Austria,AUT,2006,1.4268000125885
Austria,AUT,2007,1.43669998645782
Austria,AUT,2008,1.44049000740051
Austria,AUT,2009,1.5108300447464
Austria,AUT,2010,1.58666002750397
Austria,AUT,2011,1.50916004180908
Austria,AUT,2012,1.82114994525909
Austria,AUT,2013,1.79955995082855
Azerbaijan,AZE,1998,0.223010003566742
Azerbaijan,AZE,1999,0.257829993963242
Azerbaijan,AZE,2000,0.231450006365776
Azerbaijan,AZE,2001,0.210620000958443
Azerbaijan,AZE,2002,0.183610007166862
Azerbaijan,AZE,2003,0.18333999812603
Azerbaijan,AZE,2004,0.22121000289917
Azerbaijan,AZE,2005,0.20660999417305
Azerbaijan,AZE,2006,0.178949996829033
Azerbaijan,AZE,2007,0.202610000967979
Azerbaijan,AZE,2008,0.276730000972748
Azerbaijan,AZE,2009,0.450249999761581
Azerbaijan,AZE,2010,0.390370011329651
Azerbaijan,AZE,2011,0.356240004301071
Bangladesh,BGD,1999,0.233769997954369
Bangladesh,BGD,2000,0.214959993958473
Bangladesh,BGD,2001,0.219479992985725
Bangladesh,BGD,2002,0.22469000518322
Bangladesh,BGD,2003,0.188529998064041
Bangladesh,BGD,2004,0.22393000125885
Bangladesh,BGD,2006,0.275530010461807
Bangladesh,BGD,2007,0.252539992332459
Bangladesh,BGD,2008,0.272540003061295
Bangladesh,BGD,2009,0.261849999427795
Bangladesh,BGD,2010,0.2603600025177
Bangladesh,BGD,2011,0.231720000505447
Barbados,BRB,1999,1.36620998382568
Barbados,BRB,2000,1.26823997497559
Barbados,BRB,2001,1.72483003139496
Barbados,BRB,2002,1.72521996498108
Barbados,BRB,2003,1.75224995613098
Barbados,BRB,2004,1.85969996452332
Barbados,BRB,2005,1.7546900510788
Barbados,BRB,2007,1.54384994506836
Barbados,BRB,2008,1.52288997173309
Barbados,BRB,2009,1.59315001964569
Barbados,BRB,2010,1.90964996814728
Barbados,BRB,2012,1.69980001449585
Barbados,BRB,2013,2.0374801158905
Barbados,BRB,2014,2.63616991043091
Belarus,BLR,2004,1.40971004962921
Belarus,BLR,2005,1.49579000473022
Belarus,BLR,2006,1.62343001365662
Belarus,BLR,2007,1.0401599407196
Belarus,BLR,2009,0.90667998790741
Belarus,BLR,2010,0.926620006561279
Belarus,BLR,2011,0.837779998779297
Belarus,BLR,2012,0.915279984474182
Belarus,BLR,2013,0.910099983215332
Belarus,BLR,2014,0.842599987983704
Belgium,BEL,2001,1.3036299943924
Belgium,BEL,2002,1.29244995117188
Belgium,BEL,2003,1.27662003040314
