Entity,Code,Year,"Gross enrolment ratio, primary, both sexes (%) (%)"
Afghanistan,AFG,1970,31.3417491912842
Afghanistan,AFG,1971,32.2103385925293
Afghanistan,AFG,1972,32.5074691772461
Afghanistan,AFG,1973,32.8737983703613
Afghanistan,AFG,1974,33.4375991821289
Afghanistan,AFG,1975,33.3162307739258
Afghanistan,AFG,1976,34.2922592163086
Afghanistan,AFG,1977,35.1228408813477
Afghanistan,AFG,1978,36.6260108947754
Afghanistan,AFG,1980,44.7743797302246
Afghanistan,AFG,1981,48.5433502197266
Afghanistan,AFG,1982,17.6810894012451
Afghanistan,AFG,1984,22.6511306762695
Afghanistan,AFG,1985,24.6951808929443
Afghanistan,AFG,1986,26.6947593688965
Afghanistan,AFG,1988,33.4993705749512
Afghanistan,AFG,1989,31.1845703125
Afghanistan,AFG,1990,30.0911502838135
Afghanistan,AFG,1991,28.6841506958008
Afghanistan,AFG,1993,31.1537303924561
Afghanistan,AFG,1994,43.1292686462402
Afghanistan,AFG,1995,46.2432289123535
Afghanistan,AFG,1998,33.3125495910645
Afghanistan,AFG,1999,27.0407199859619
Afghanistan,AFG,2000,22.334810256958
Afghanistan,AFG,2001,22.2023792266846
Afghanistan,AFG,2002,73.3095932006836
Afghanistan,AFG,2003,99.2484893798828
Afghanistan,AFG,2004,111.260559082031
Afghanistan,AFG,2005,104.171371459961
Afghanistan,AFG,2006,107.817420959473
Afghanistan,AFG,2007,104.690818786621
Afghanistan,AFG,2008,106.453773498535
Afghanistan,AFG,2009,102.225288391113
Afghanistan,AFG,2010,105.520927429199
Afghanistan,AFG,2011,102.809631347656
Afghanistan,AFG,2012,108.928520202637
Afghanistan,AFG,2013,110.065437316895
Afghanistan,AFG,2014,111.744132995605
Albania,ALB,1976,119.347679138184
Albania,ALB,1978,114.998847961426
Albania,ALB,1979,112.21565246582
Albania,ALB,1980,107.530540466309
Albania,ALB,1981,105.063850402832
Albania,ALB,1982,103.665138244629
Albania,ALB,1983,102.733268737793
Albania,ALB,1984,103.692901611328
Albania,ALB,1985,103.917839050293
Albania,ALB,1986,103.83846282959
Albania,ALB,1987,101.758659362793
Albania,ALB,1988,99.908821105957
Albania,ALB,1989,99.7855224609375
Albania,ALB,1990,99.8214721679688
Albania,ALB,1991,101.630790710449
Albania,ALB,1992,99.9687805175781
Albania,ALB,1993,98.9478607177734
Albania,ALB,1994,101.98957824707
Albania,ALB,1995,104.533958435059
Albania,ALB,1996,106.823097229004
Albania,ALB,1997,108.567962646484
Albania,ALB,1998,107.733467102051
Albania,ALB,1999,106.305458068848
Albania,ALB,2000,104.749519348145
Albania,ALB,2001,103.473999023438
Albania,ALB,2002,101.559196472168
Albania,ALB,2003,100.017799377441
Albania,ALB,2004,98.3808212280273
Albania,ALB,2005,101.472358703613
Albania,ALB,2006,99.5938415527344
Albania,ALB,2007,99.093132019043
Albania,ALB,2008,99.5195007324219
Albania,ALB,2009,97.5253295898438
Albania,ALB,2010,99.013313293457
Albania,ALB,2011,101.815742492676
Albania,ALB,2012,104.784393310547
Albania,ALB,2013,107.784561157227
Albania,ALB,2014,112.486640930176
Algeria,DZA,1971,74.0155334472656
Algeria,DZA,1972,78.1511611938477
Algeria,DZA,1973,82.8241729736328
Algeria,DZA,1974,86.593620300293
Algeria,DZA,1975,88.7062530517578
Algeria,DZA,1976,91.7003021240234
Algeria,DZA,1977,93.6525726318359
Algeria,DZA,1978,94.7035903930664
Algeria,DZA,1979,94.4343338012695
Algeria,DZA,1980,94.3292465209961
Algeria,DZA,1981,93.246696472168
Algeria,DZA,1982,92.1274490356445
Algeria,DZA,1983,90.9242172241211
Algeria,DZA,1984,90.5064315795898
Algeria,DZA,1985,89.6308670043945
Algeria,DZA,1986,88.5876693725586
Algeria,DZA,1987,89.7679824829102
Algeria,DZA,1988,91.2601013183594
Algeria,DZA,1989,91.4960632324219
Algeria,DZA,1990,92.0762023925781
Algeria,DZA,1991,93.9136123657227
Algeria,DZA,1992,95.9270095825195
Algeria,DZA,1993,96.2251586914063
