Entity,Code,Year,"Gross enrolment ratio, secondary, gender parity index (GPI) (GPI)"
Afghanistan,AFG,1970,0.157179996371269
Afghanistan,AFG,1971,0.146530002355576
Afghanistan,AFG,1972,0.132650002837181
Afghanistan,AFG,1973,0.142539992928505
Afghanistan,AFG,1974,0.139080002903938
Afghanistan,AFG,1975,0.141479998826981
Afghanistan,AFG,1976,0.152180001139641
Afghanistan,AFG,1977,0.172879993915558
Afghanistan,AFG,1978,0.179969996213913
Afghanistan,AFG,1981,0.259600013494492
Afghanistan,AFG,1982,0.447409987449646
Afghanistan,AFG,1984,0.461470007896423
Afghanistan,AFG,1985,0.456629991531372
Afghanistan,AFG,1986,0.500270009040833
Afghanistan,AFG,1988,0.493869990110397
Afghanistan,AFG,1991,0.513270020484924
Afghanistan,AFG,1993,0.38060998916626
Afghanistan,AFG,1994,0.280609995126724
Afghanistan,AFG,1995,0.373919993638992
Afghanistan,AFG,2003,0.349269986152649
Afghanistan,AFG,2004,0.208930000662804
Afghanistan,AFG,2005,0.325819998979568
Afghanistan,AFG,2006,0.363350003957748
Afghanistan,AFG,2007,0.375340014696121
Afghanistan,AFG,2008,0.426420003175735
Afghanistan,AFG,2009,0.48293000459671
Afghanistan,AFG,2010,0.499949991703033
Afghanistan,AFG,2011,0.557550013065338
Afghanistan,AFG,2012,0.561420023441315
Afghanistan,AFG,2013,0.556490004062653
Afghanistan,AFG,2014,0.560800015926361
Albania,ALB,1976,0.91619998216629
Albania,ALB,1978,0.913119971752167
Albania,ALB,1979,0.92127001285553
Albania,ALB,1980,0.899179995059967
Albania,ALB,1981,0.895600020885468
Albania,ALB,1982,0.907989978790283
Albania,ALB,1983,0.938769996166229
Albania,ALB,1984,0.935209989547729
Albania,ALB,1985,0.912469983100891
Albania,ALB,1986,0.909409999847412
Albania,ALB,1987,0.923080027103424
Albania,ALB,1988,0.927150011062622
Albania,ALB,1989,0.927070021629334
Albania,ALB,1990,0.914780020713806
Albania,ALB,1991,0.917980015277863
Albania,ALB,1992,1.00837004184723
Albania,ALB,1993,1.04708003997803
Albania,ALB,1994,1.01388001441956
Albania,ALB,1995,0.983910024166107
Albania,ALB,1996,0.985859990119934
Albania,ALB,1997,0.961790025234222
Albania,ALB,1999,0.948880016803741
Albania,ALB,2000,0.953010022640228
Albania,ALB,2001,0.960919976234436
Albania,ALB,2004,0.951430022716522
Albania,ALB,2005,0.953029990196228
Albania,ALB,2006,0.963129997253418
Albania,ALB,2007,0.983399987220764
Albania,ALB,2008,0.990649998188019
Albania,ALB,2009,1.02218997478485
Albania,ALB,2010,0.990400016307831
Albania,ALB,2011,0.967549979686737
Albania,ALB,2012,0.955429971218109
Albania,ALB,2013,0.941240012645721
Albania,ALB,2014,0.925819993019104
Algeria,DZA,1971,0.411460012197495
Algeria,DZA,1972,0.434439986944199
Algeria,DZA,1973,0.470990002155304
Algeria,DZA,1974,0.487560003995895
Algeria,DZA,1975,0.514909982681274
Algeria,DZA,1976,0.529399991035461
Algeria,DZA,1977,0.545870006084442
Algeria,DZA,1978,0.580900013446808
Algeria,DZA,1979,0.614030003547668
Algeria,DZA,1980,0.639039993286133
Algeria,DZA,1981,0.656849980354309
Algeria,DZA,1982,0.681900024414063
Algeria,DZA,1984,0.714760005474091
Algeria,DZA,1985,0.726300001144409
Algeria,DZA,1986,0.742169976234436
Algeria,DZA,1987,0.737670004367828
Algeria,DZA,1988,0.744270026683807
Algeria,DZA,1989,0.75884997844696
Algeria,DZA,1990,0.77403998374939
Algeria,DZA,1991,0.797720015048981
Algeria,DZA,1992,0.817040026187897
Algeria,DZA,1993,0.836480021476746
Algeria,DZA,1994,0.861989974975586
Algeria,DZA,1995,0.885190010070801
Algeria,DZA,1996,0.901160001754761
Algeria,DZA,1997,0.954739987850189
Algeria,DZA,1999,1.01127994060516
Algeria,DZA,2000,1.04756999015808
Algeria,DZA,2001,1.06338000297546
Algeria,DZA,2002,1.06376004219055
Algeria,DZA,2003,1.08740997314453
Algeria,DZA,2004,1.09080994129181
Algeria,DZA,2005,1.09552001953125
Algeria,DZA,2006,1.09414005279541
Algeria,DZA,2007,1.08087003231049
Algeria,DZA,2008,1.03766000270844
Algeria,DZA,2009,1.00994002819061
Algeria,DZA,2010,1.03451001644135
Algeria,DZA,2011,1.03655004501343
Andorra,AND,1971,1.01363003253937
Andorra,AND,1972,1.22409999370575
Andorra,AND,1973,0.967220008373261
Andorra,AND,1974,1.52146995067596
Andorra,AND,1975,1.13891994953156
Andorra,AND,1976,2.02760004997253
Andorra,AND,1983,1.1086699962616
Angola,AGO,1971,0.701409995555878
Angola,AGO,1972,0.725139975547791
Angola,AGO,1982,0.479770004749298
Angola,AGO,1983,0.492489993572235
Angola,AGO,1998,0.780629992485046
Angola,AGO,1999,0.755400002002716
Angola,AGO,2000,0.817170023918152
Angola,AGO,2001,0.778900027275085
Angola,AGO,2002,0.827730000019073
Angola,AGO,2008,0.769219994544983
Angola,AGO,2009,0.764569997787476
Angola,AGO,2010,0.685000002384186
Angola,AGO,2011,0.648249983787537
Antigua and Barbuda,ATG,1972,0.795210003852844
Antigua and Barbuda,ATG,1974,1.03245997428894
Antigua and Barbuda,ATG,1975,1.15216994285583
Antigua and Barbuda,ATG,1977,1.05955994129181
Antigua and Barbuda,ATG,1978,0.723510026931763
