Entity,Code,Year,Africa (cities),Europe (except Russia) (cities),Latin America (cities),Developed country (cities),Third World Market Economies (cities)
10 to 20,,1000,,72,,,
10 to 20,,1300,,150,,,
10 to 20,,1500,,146,,,
10 to 20,,1600,,177,,,
10 to 20,,1700,,200,,,
100 to 200,,1900,1,,6,101,40
100 to 200,,1910,1,,,,
100 to 200,,1920,1,,17,,
100 to 200,,1930,3,,,,44
100 to 200,,1950,13,,,288,134
100 to 200,,1300,,4,,,
100 to 200,,1500,,3,,,
100 to 200,,1600,,9,,,
100 to 200,,1700,,7,,,
100 to 200,,1750,,,1,,
100 to 200,,1800,,,1,17,
100 to 200,,1850,,,5,35,
100 to 200,,1980,,,,491,449
1000 to 5000,,1900,,,,8,1
1000 to 5000,,1930,,,,,6
1000 to 5000,,1950,,,,47,18
1000 to 5000,,1800,,,,1,
1000 to 5000,,1850,,,,2,
1000 to 5000,,1980,,,,101,63
20 to 50,,1900,36,,102,,
20 to 50,,1910,39,,,,
20 to 50,,1920,41,,131,,
20 to 50,,1930,45,,,,
20 to 50,,1950,70,,,,
20 to 50,,1000,,35,,,
20 to 50,,1300,,80,,,
20 to 50,,1500,,74,,,
20 to 50,,1600,,85,,,
20 to 50,,1700,,98,,,
20 to 50,,1750,,,23,,
20 to 50,,1800,,,35,,
20 to 50,,1850,,,40,,
200 to 500,,1900,,,6,61,22
200 to 500,,1920,1,,7,,
200 to 500,,1930,1,,,,39
200 to 500,,1950,5,,,186,79
200 to 500,,1000,,1,,,
200 to 500,,1300,,1,,,
200 to 500,,1500,,1,,,
200 to 500,,1600,,2,,,
200 to 500,,1700,,2,,,
200 to 500,,1800,,,,9,
200 to 500,,1850,,,,18,
200 to 500,,1980,,,,376,274
50 to 100,,1900,9,,22,,
50 to 100,,1910,9,,,,
50 to 100,,1920,9,,46,,
50 to 100,,1930,11,,,,
50 to 100,,1950,33,,,,
50 to 100,,1000,,3,,,
50 to 100,,1300,,7,,,
50 to 100,,1500,,17,,,
50 to 100,,1600,,21,,,
50 to 100,,1700,,21,,,
50 to 100,,1750,,,5,,
50 to 100,,1800,,,5,,
50 to 100,,1850,,,6,,
500 or more,,1900,,,2,,
500 or more,,1920,,,6,,
500 or more,,1700,,2,,,
500 to 1000,,1900,,,,24,7
500 to 1000,,1930,,,,,8
500 to 1000,,1950,,,,68,23
500 to 1000,,1800,,,,1,
500 to 1000,,1850,,,,3,
500 to 1000,,1980,,,,121,99
5000 or more,,1900,,,,1,
5000 or more,,1950,,,,5,2
5000 or more,,1980,,,,9,14
Total,,1900,46,,138,195,70
Total,,1910,49,,,,
Total,,1920,52,,207,,
Total,,1930,60,,,,97
Total,,1950,121,,,594,256
Total,,1000,,111,,,
Total,,1300,,242,,,
Total,,1500,,241,,,
Total,,1600,,294,,,
Total,,1700,,330,,,
Total,,1750,,,29,,
Total,,1800,,,41,28,
Total,,1850,,,51,58,
Total,,1980,,,,1098,899
