Entity,Code,Year,Females (centimetres),Males (centimetres)
Eastern Mediterranean,,"10,000 BCE",166.5,177.1
Eastern Mediterranean,,"8,000 BCE",158.7,172.5
Eastern Mediterranean,,"6,000 BCE",155.5,169.6
Eastern Mediterranean,,"4,000 BCE",154.3,161.3
Eastern Mediterranean,,"2,500 BCE",152.9,166.3
Eastern Mediterranean,,"1,750 BCE",153.5,166.1
Eastern Mediterranean,,"1,450 BCE",160.1,172.5
Eastern Mediterranean,,"1,300 BCE",154.5,166.8
Eastern Mediterranean,,900 BCE,155.1,166.7
Eastern Mediterranean,,500 BCE,156.2,170.5
Eastern Mediterranean,,0,156.4,171.9
Eastern Mediterranean,,400,158,169.2
Eastern Mediterranean,,1896,153.1882,165.7233
Eastern Mediterranean,,1897,153.3516,165.8518
Eastern Mediterranean,,1898,153.5154,165.9805
Eastern Mediterranean,,1899,153.6791,166.1094
Eastern Mediterranean,,1900,153.843,166.2382
Eastern Mediterranean,,1901,154.0066,166.3673
Eastern Mediterranean,,1902,154.1699,166.497
Eastern Mediterranean,,1903,154.3326,166.6268
Eastern Mediterranean,,1904,154.4944,166.7569
Eastern Mediterranean,,1905,154.6554,166.8871
Eastern Mediterranean,,1906,154.8158,167.0172
Eastern Mediterranean,,1907,154.976,167.148
Eastern Mediterranean,,1908,155.136,167.2801
Eastern Mediterranean,,1909,155.296,167.4137
Eastern Mediterranean,,1910,155.4573,167.5495
Eastern Mediterranean,,1911,155.6209,167.6888
Eastern Mediterranean,,1912,155.7878,167.8321
Eastern Mediterranean,,1913,155.9581,167.9791
Eastern Mediterranean,,1914,156.1317,168.129
Eastern Mediterranean,,1915,156.3087,168.2817
Eastern Mediterranean,,1916,156.4885,168.4361
Eastern Mediterranean,,1917,156.6706,168.5918
Eastern Mediterranean,,1918,156.8538,168.7479
Eastern Mediterranean,,1919,157.0366,168.903
Eastern Mediterranean,,1920,157.2184,169.0565
Eastern Mediterranean,,1921,157.3983,169.2076
Eastern Mediterranean,,1922,157.5759,169.3552
Eastern Mediterranean,,1923,157.7499,169.4991
Eastern Mediterranean,,1924,157.9206,169.6401
Eastern Mediterranean,,1925,158.0896,169.7806
Eastern Mediterranean,,1926,158.2568,169.9219
Eastern Mediterranean,,1927,158.4224,170.0659
Eastern Mediterranean,,1928,158.5868,170.2131
Eastern Mediterranean,,1929,158.75,170.3634
Eastern Mediterranean,,1930,158.9122,170.5165
Eastern Mediterranean,,1931,159.0718,170.6714
Eastern Mediterranean,,1932,159.2295,170.8271
Eastern Mediterranean,,1933,159.3864,170.9843
Eastern Mediterranean,,1934,159.5436,171.1435
Eastern Mediterranean,,1935,159.7009,171.3042
Eastern Mediterranean,,1936,159.8578,171.4649
Eastern Mediterranean,,1937,160.0129,171.6241
Eastern Mediterranean,,1938,160.1647,171.7812
Eastern Mediterranean,,1939,160.3121,171.936
Eastern Mediterranean,,1940,160.4536,172.0884
Eastern Mediterranean,,1941,160.5883,172.2389
Eastern Mediterranean,,1942,160.7167,172.3896
Eastern Mediterranean,,1943,160.8398,172.5424
Eastern Mediterranean,,1944,160.9593,172.6973
Eastern Mediterranean,,1945,161.0762,172.8545
Eastern Mediterranean,,1946,161.1915,173.015
