Entity,Code,Year,Indian Rhino
India,IND,1986,1334
India,IND,2007,2150
India,IND,2009,2363
India,IND,2016,2912
India,IND,2018,2939
Nepal,NPL,1950,800
Nepal,NPL,1957,400
Nepal,NPL,1959,300
Nepal,NPL,1966,100
Nepal,NPL,1968,108
Nepal,NPL,1972,147
Nepal,NPL,1978,310
Nepal,NPL,1986,375
Nepal,NPL,1988,358
Nepal,NPL,1994,466
Nepal,NPL,2000,612
Nepal,NPL,2005,409
Nepal,NPL,2007,413
Nepal,NPL,2008,444
Nepal,NPL,2009,435
Nepal,NPL,2011,534
Nepal,NPL,2016,645
Nepal,NPL,2018,649
Pakistan,PAK,1986,2
Pakistan,PAK,2007,2
Pakistan,PAK,2009,2
Pakistan,PAK,2016,0
Pakistan,PAK,2018,0
World,OWID_WRL,1910,40
World,OWID_WRL,1966,40
World,OWID_WRL,1972,670
World,OWID_WRL,1980,1250
World,OWID_WRL,1986,1711
World,OWID_WRL,2007,2565
World,OWID_WRL,2009,2800
World,OWID_WRL,2016,3557
World,OWID_WRL,2018,3588
