Entity,Code,Year,Inequality in life expectancy (2015-2020) (%)
Afghanistan,AFG,2015,28.4
Albania,ALB,2015,9.2
Algeria,DZA,2015,15.1
Angola,AGO,2015,33.8
Antigua and Barbuda,ATG,2015,7.5
Arab States,,2015,15.7
Argentina,ARG,2015,9.5
Armenia,ARM,2015,9
Australia,AUS,2015,3.6
Austria,AUT,2015,3
Azerbaijan,AZE,2015,17
Bahamas,BHS,2015,8.7
Bahrain,BHR,2015,5.6
Bangladesh,BGD,2015,17.3
Barbados,BRB,2015,7
Belarus,BLR,2015,4.9
Belgium,BEL,2015,3.6
Belize,BLZ,2015,10.1
Benin,BEN,2015,35
Bhutan,BTN,2015,17.8
Bolivia,BOL,2015,25.2
Bosnia and Herzegovina,BIH,2015,5.9
Botswana,BWA,2015,18.6
Brazil,BRA,2015,10.8
Brunei,BRN,2015,5.5
Bulgaria,BGR,2015,6.7
Burkina Faso,BFA,2015,32
Burundi,BDI,2015,38.1
Cambodia,KHM,2015,16
Cameroon,CMR,2015,33.7
Canada,CAN,2015,4.3
Cape Verde,CPV,2015,13.3
Central African Republic,CAF,2015,41.7
Chad,TCD,2015,42.4
Chile,CHL,2015,6.1
China,CHN,2015,7.9
Colombia,COL,2015,13.2
Comoros,COM,2015,28.9
Congo,COG,2015,25.1
Costa Rica,CRI,2015,7.5
Cote d'Ivoire,CIV,2015,34.2
Croatia,HRV,2015,4.1
Cuba,CUB,2015,5.3
Cyprus,CYP,2015,3.6
Czech Republic,CZE,2015,3.3
Democratic Republic of Congo,COD,2015,36.1
Denmark,DNK,2015,3.4
Developing countries,,2015,17.4
Djibouti,DJI,2015,30.8
Dominican Republic,DOM,2015,15.4
East Asia and the Pacific,,2015,10
Ecuador,ECU,2015,13.9
Egypt,EGY,2015,11.6
El Salvador,SLV,2015,12.2
Equatorial Guinea,GNQ,2015,35
Eritrea,ERI,2015,21.4
Estonia,EST,2015,4.3
Ethiopia,ETH,2015,24.9
Europe and Central Asia,,2015,10.9
Fiji,FJI,2015,10.9
Finland,FIN,2015,2.8
France,FRA,2015,3.6
Gabon,GAB,2015,23.1
Gambia,GMB,2015,28.5
Georgia,GEO,2015,8.1
Germany,DEU,2015,3
Ghana,GHA,2015,26.2
Greece,GRC,2015,3.5
Grenada,GRD,2015,8
Guatemala,GTM,2015,16
Guinea,GIN,2015,31.2
Guinea-Bissau,GNB,2015,38.4
Guyana,GUY,2015,19.5
Haiti,HTI,2015,28.6
High human development,,2015,9.2
Honduras,HND,2015,18.1
Hong Kong,HKG,2015,2.5
Hungary,HUN,2015,4.7
Iceland,ISL,2015,2.4
India,IND,2015,21.4
Indonesia,IDN,2015,14.8
Iran,IRN,2015,9
Iraq,IRQ,2015,17.3
Ireland,IRL,2015,2.8
Israel,ISR,2015,3.3
Italy,ITA,2015,2.9
Jamaica,JAM,2015,11
Japan,JPN,2015,2.9
Jordan,JOR,2015,10.7
Kazakhstan,KAZ,2015,10.1
Kenya,KEN,2015,22.8
Kiribati,KIR,2015,24.5
Korea,,2015,3.2
Kuwait,KWT,2015,6.3
Kyrgyzstan,KGZ,2015,12.1
Laos,LAO,2015,23.1
Latin America and the Caribbean,,2015,12.1
Latvia,LVA,2015,5.9
Least developed countries,,2015,27.1
Lebanon,LBN,2015,6.7
Lesotho,LSO,2015,28.5
Liberia,LBR,2015,27.5
Libya,LBY,2015,14.1
Lithuania,LTU,2015,5.4
Low human development,,2015,31.2
Luxembourg,LUX,2015,3.4
Macedonia,MKD,2015,6.5
Madagascar,MDG,2015,21.3
Malawi,MWI,2015,30.3
Malaysia,MYS,2015,5.9
Maldives,MDV,2015,5.7
Mali,MLI,2015,36.8
Malta,MLT,2015,4
Mauritania,MRT,2015,32.6
Mauritius,MUS,2015,8.9
Medium human development,,2015,20.3
Mexico,MEX,2015,12.3
Micronesia (country),FSM,2015,19
Moldova,MDA,2015,9.6
Mongolia,MNG,2015,13.4
Montenegro,MNE,2015,4.4
Morocco,MAR,2015,14
Mozambique,MOZ,2015,35.6
Myanmar,MMR,2015,24
Namibia,NAM,2015,20.2
Nepal,NPL,2015,16.6
Netherlands,NLD,2015,3
New Zealand,NZL,2015,4.3
Nicaragua,NIC,2015,12.9
Niger,NER,2015,34.9
Nigeria,NGA,2015,37.4
North Korea,PRK,2015,11.6
Norway,NOR,2015,2.7
Oman,OMN,2015,7.1
Organization for Economic Co-operation and Development,,2015,5.3
Pakistan,PAK,2015,31
Palestine,PSE,2015,12.2
Panama,PAN,2015,11.5
Papua New Guinea,PNG,2015,25.3
Paraguay,PRY,2015,18
Peru,PER,2015,13.2
Philippines,PHL,2015,14.4
Poland,POL,2015,4.7
Portugal,PRT,2015,2.9
Qatar,QAT,2015,5.9
Romania,ROU,2015,6.8
Russia,RUS,2015,8
Rwanda,RWA,2015,23.8
Saint Lucia,LCA,2015,9
Saint Vincent and the Grenadines,VCT,2015,11.9
Samoa,WSM,2015,11.4
Sao Tome and Principe,STP,2015,25.9
Saudi Arabia,SAU,2015,8.9
Senegal,SEN,2015,21.1
Serbia,SRB,2015,7.1
Seychelles,SYC,2015,7.7
Sierra Leone,SLE,2015,39.8
Singapore,SGP,2015,2.6
Slovakia,SVK,2015,5.2
Slovenia,SVN,2015,3
Small island developing states,,2015,16.1
Solomon Islands,SLB,2015,15.9
Somalia,SOM,2015,38.9
South Africa,ZAF,2015,20.3
South Asia,,2015,21.4
South Sudan,SSD,2015,37
Spain,ESP,2015,3
Sri Lanka,LKA,2015,7.1
Sub-Saharan Africa,,2015,30.8
Sudan,SDN,2015,27.9
Suriname,SUR,2015,12.4
Swaziland,SWZ,2015,26.2
