Entity,Code,Year,Female (% of total non-agricultural employment),Male (% of total non-agricultural employment),Both sexes (% of total non-agricultural employment)
Albania,ALB,2011,33.4900016784668,43.1599998474121,39.5800018310547
Albania,ALB,2012,33.4900016784668,43.810001373291,40.1699981689453
Albania,ALB,2013,24.1299991607666,38.6199989318848,33.1100006103516
Angola,AGO,2004,80.5199966430664,59.7999992370605,68.2200012207031
Angola,AGO,2011,79.5299987792969,59.2999992370605,68.0999984741211
Argentina,ARG,2004,62.0499992370605,57.3199996948242,59.3199996948242
Argentina,ARG,2005,60.3499984741211,55.8800010681152,57.7599983215332
Argentina,ARG,2006,57.3899993896484,53.310001373291,55.0299987792969
Argentina,ARG,2008,51.6699981689453,48.689998626709,49.9500007629395
Argentina,ARG,2009,50.2900009155273,48.7999992370605,49.4300003051758
Argentina,ARG,2010,49.5,47.1800003051758,48.1500015258789
Argentina,ARG,2011,48.6100006103516,46.8800010681152,47.5999984741211
Argentina,ARG,2012,48.0499992370605,47.5,47.7299995422363
Argentina,ARG,2013,46.75,47.75,47.3300018310547
Argentina,ARG,2014,46.4700012207031,47.0200004577637,46.7900009155273
Argentina,ARG,2017,47.4300003051758,48.2999992370605,47.9300003051758
Armenia,ARM,2014,30.1000003814697,43.3699989318848,37.5499992370605
Armenia,ARM,2015,19.0699996948242,32.3699989318848,26.5100002288818
Armenia,ARM,2016,19.1499996185303,29.6000003814697,24.8799991607666
Bangladesh,BGD,2010,89.129997253418,80.4800033569336,82.1999969482422
Bangladesh,BGD,2013,87.6900024414063,80.6600036621094,82.3899993896484
Bangladesh,BGD,2017,91.8600006103516,91.1600036621094,91.3000030517578
Benin,BEN,2011,97.6999969482422,90.1600036621094,94.5400009155273
Bolivia,BOL,2005,95.0699996948242,92.4199981689453,93.5899963378906
Bolivia,BOL,2006,95.5199966430664,92.870002746582,94.0599975585938
Bolivia,BOL,2007,80.8099975585938,73.9300003051758,76.9199981689453
Bolivia,BOL,2008,82.4499969482422,77.4100036621094,79.6800003051758
Bolivia,BOL,2009,79.5599975585938,76.2300033569336,77.6999969482422
Bolivia,BOL,2011,79.3300018310547,74.4599990844727,76.5899963378906
Bolivia,BOL,2012,77.6600036621094,74.0400009155273,75.6399993896484
Bolivia,BOL,2013,75.0199966430664,70.8300018310547,72.6800003051758
Bolivia,BOL,2014,79.5999984741211,78.1999969482422,78.8099975585938
Bolivia,BOL,2015,80.1500015258789,76.8499984741211,78.2200012207031
Bolivia,BOL,2016,78.9599990844727,76.9100036621094,77.8000030517578
