Entity,Code,Year,International migrant stock (% of population) (% of population)
Afghanistan,AFG,1990,0.478024987632141
Afghanistan,AFG,1995,0.426423646962574
Afghanistan,AFG,2000,0.385327536273078
Afghanistan,AFG,2005,0.357787647744167
Afghanistan,AFG,2010,0.365657832373532
Afghanistan,AFG,2015,1.17554692684705
Albania,ALB,1990,2.01170030471258
Albania,ALB,1995,2.29675797068748
Albania,ALB,2000,2.45662587504985
Albania,ALB,2005,2.10043436900991
Albania,ALB,2010,1.8189568635262
Albania,ALB,2015,1.98903641031678
Algeria,DZA,1990,1.05723275576092
Algeria,DZA,1995,0.906550236470006
Algeria,DZA,2000,0.802054717249657
Algeria,DZA,2005,0.744071903334288
Algeria,DZA,2010,0.67977278044533
Algeria,DZA,2015,0.611072022730303
American Samoa,ASM,1990,45.2406257971261
American Samoa,ASM,1995,43.6849869501078
American Samoa,ASM,2000,43.3086471263169
American Samoa,ASM,2005,40.9915929428083
American Samoa,ASM,2010,42.3376950176145
American Samoa,ASM,2015,41.8020094349815
Andorra,AND,1990,71.3690814697951
Andorra,AND,1995,63.4650922416763
Andorra,AND,2000,64.4444104649918
Andorra,AND,2005,61.9258091919776
Andorra,AND,2010,61.6602897451995
Andorra,AND,2015,59.713649198984
Angola,AGO,1990,0.301198701997777
Angola,AGO,1995,0.305252009060111
Angola,AGO,2000,0.30618970985291
Angola,AGO,2005,0.342372570625194
Angola,AGO,2010,0.36074065005042
Angola,AGO,2015,0.427004679966497
Antigua and Barbuda,ATG,1990,19.4310729170032
Antigua and Barbuda,ATG,1995,25.6770398981697
Antigua and Barbuda,ATG,2000,29.7122913661653
Antigua and Barbuda,ATG,2005,29.9654817416581
Antigua and Barbuda,ATG,2010,30.2775325851455
Antigua and Barbuda,ATG,2015,30.5855061099131
Arab World,,1990,6.25159910138828
Arab World,,1995,5.79825644584546
Arab World,,2000,5.69805098532726
Arab World,,2005,6.0890569167523
Arab World,,2010,7.97712755617779
Arab World,,2015,8.91430832434835
Argentina,ARG,1990,5.04103912832794
Argentina,ARG,1995,4.5580148466553
Argentina,ARG,2000,4.15630021847427
Argentina,ARG,2005,4.27402481680457
Argentina,ARG,2010,4.38095838778833
Argentina,ARG,2015,4.80529233472193
Armenia,ARM,1990,18.5852097289047
Armenia,ARM,1995,21.5315467087867
Armenia,ARM,2000,21.3874850541173
Armenia,ARM,2005,15.5599308372337
Armenia,ARM,2010,7.47630501272821
Armenia,ARM,2015,6.33589288838696
Aruba,ABW,1990,23.2412949732896
Aruba,ABW,1995,27.7295022782163
Aruba,ABW,2000,33.1330207576658
Aruba,ABW,2005,32.5299157261249
Aruba,ABW,2010,33.7874149827259
Aruba,ABW,2015,34.7621018587146
Australia,AUS,1990,23.1341364316472
Australia,AUS,1995,22.9152149241066
Australia,AUS,2000,22.9559448399982
Australia,AUS,2005,24.0601862004287
Australia,AUS,2010,26.5443142431553
Australia,AUS,2015,28.2184096915625
Austria,AUT,1990,10.2930213709833
Austria,AUT,1995,11.224278747592
Austria,AUT,2000,12.3781065532679
Austria,AUT,2005,13.798295003994
Austria,AUT,2010,15.2048871387536
Austria,AUT,2015,17.465726250517
Azerbaijan,AZE,1990,4.99688006781124
Azerbaijan,AZE,1995,4.42772602996394
Azerbaijan,AZE,2000,4.03486585309067
Azerbaijan,AZE,2005,3.52920651358258
Azerbaijan,AZE,2010,3.04290391106797
Azerbaijan,AZE,2015,2.70906158396255
Bahamas,BHS,1990,10.4764022501541
Bahamas,BHS,1995,11.2989066610506
Bahamas,BHS,2000,12.2373619881097
Bahamas,BHS,2005,13.8484341352739
Bahamas,BHS,2010,15.1694703877172
Bahamas,BHS,2015,15.2843030882508
Bahrain,BHR,1990,34.9257174197087
Bahrain,BHR,1995,36.5385911695315
Bahrain,BHR,2000,35.8940099421913
Bahrain,BHR,2005,46.5987861787699
Bahrain,BHR,2010,52.1561952210345
Bahrain,BHR,2015,51.12678500505
Bangladesh,BGD,1990,0.831846493011869
Bangladesh,BGD,1995,0.789287019240285
Bangladesh,BGD,2000,0.752473673994172
Bangladesh,BGD,2005,0.816273820343876
Bangladesh,BGD,2010,0.887465112122783
Bangladesh,BGD,2015,0.883753735396142
Barbados,BRB,1990,9.22672770706752
Barbados,BRB,1995,9.89726828752802
Barbados,BRB,2000,10.5337276439938
Barbados,BRB,2005,11.1761120822735
Barbados,BRB,2010,11.741413476603
Barbados,BRB,2015,12.1299016589554
Belarus,BLR,1990,12.2065976849258
Belarus,BLR,1995,11.6763130834862
Belarus,BLR,2000,11.2899898563663
Belarus,BLR,2005,11.4824820322685
Belarus,BLR,2010,11.4871890605704
Belarus,BLR,2015,11.4040105621143
Belgium,BEL,1990,8.93481125581152
Belgium,BEL,1995,8.71172497622003
Belgium,BEL,2000,8.31064880730943
Belgium,BEL,2005,8.24567795515686
Belgium,BEL,2010,9.63262689092329
Belgium,BEL,2015,12.2835331942319
Belize,BLZ,1990,16.2109708240915
Belize,BLZ,1995,16.1604545762024
Belize,BLZ,2000,14.7538332147247
Belize,BLZ,2005,14.6230394769821
Belize,BLZ,2010,14.4150194801762
Belize,BLZ,2015,14.990801225761
Benin,BEN,1990,1.52385263665976
Benin,BEN,1995,1.75370861482564
Benin,BEN,2000,1.9243482067285
Benin,BEN,2005,2.09595957744231
Benin,BEN,2010,2.20054095786262
Benin,BEN,2015,2.25554096484421
Bermuda,BMU,1990,25.7389506162709
Bermuda,BMU,1995,26.5990365904233
