Entity,Code,Year,Land use per unit protein (m² per 100g protein)
Barley (non-organic),,2018,9.7
"Beef (non-organic, grain-fed)",,2018,95.57
"Beef (non-organic, grass-fed)",,2018,34.83
"Beef (organic, grass-fed)",,2018,156.7
Eggs (non-organic),,2018,3.88
Eggs (organic),,2018,5.96
Maize (non-organic),,2018,1.44
Milk (non-organic),,2018,4.49
Milk (organic),,2018,4.38
Mutton & Goat Meat (non-organic),,2018,120.4
Mutton & Goat Meat (organic),,2018,26.6
Pork (non-organic),,2018,13.3
Pork (organic),,2018,12.14
Potatoes (non-organic),,2018,1.36
Potatoes (organic),,2018,2.87
Poultry (non-organic),,2018,4.78
Poultry (organic),,2018,12.95
Rice (non-organic),,2018,2.28
Rice (organic),,2018,2.44
Soybean (non-organic),,2018,1.04
Tomatoes (greenhouse),,2018,0.48
Tomatoes (non-greenhouse),,2018,0.94
Wheat (non-organic),,2018,3.67
Wheat (organic),,2018,1.53
