Entity,Code,Year,Females (years),Males (years)
United States,USA,1790,59,60
United States,USA,1800,57.700001,58.799999
United States,USA,1810,57,58.099998
United States,USA,1820,57.099998,58.200001
United States,USA,1830,57.400002,58.400002
United States,USA,1840,56.599998,57.700001
United States,USA,1850,55.700001,56.799999
United States,USA,1860,57.299999,50.299999
United States,USA,1870,58.900002,59.700001
United States,USA,1880,61,61.099998
United States,USA,1890,62.700001,62.200001
United States,USA,1900,61.869999,60.700001
United States,USA,1901,62.220001,60.57
United States,USA,1902,63.43,61.599998
United States,USA,1903,62.98,61.220001
United States,USA,1904,62.279999,60.450001
United States,USA,1905,62.880001,61.07
United States,USA,1906,63.330002,60.82
United States,USA,1907,63.009998,60.119999
United States,USA,1908,64.160004,61.93
United States,USA,1909,64.619995,62.43
United States,USA,1910,64.160004,61.77
United States,USA,1911,64.309998,62.09
United States,USA,1912,64.740005,62.290001
United States,USA,1913,64.790001,62.150002
United States,USA,1914,64.949997,62.580002
United States,USA,1915,64.800003,62.700001
United States,USA,1916,64.43,62.080002
United States,USA,1917,64.25,61.669998
United States,USA,1918,58.73,55.57
United States,USA,1919,63.970001,62.93
United States,USA,1920,63.919998,63.5
United States,USA,1921,66.18,65.389999
United States,USA,1922,65.75,64.630005
United States,USA,1923,65.490005,64.150002
United States,USA,1924,66.119995,64.509995
United States,USA,1925,65.970001,64.349998
United States,USA,1926,65.630005,63.950001
United States,USA,1927,66.479996,64.610001
United States,USA,1928,65.720001,63.740002
United States,USA,1929,65.949997,63.77
United States,USA,1930,66.849998,64.449997
United States,USA,1931,67.270004,64.729996
United States,USA,1932,67.540001,65.229996
United States,USA,1933,68.009995,65.389999
United States,USA,1934,67.990005,65.059998
United States,USA,1935,68.190002,65.18
United States,USA,1936,67.75,64.520004
United States,USA,1937,68.349998,64.949997
United States,USA,1938,69.270004,66.160004
United States,USA,1939,69.509995,66.339996
United States,USA,1940,69.839996,66.300003
United States,USA,1941,70.470001,66.610001
United States,USA,1942,70.979996,66.869995
United States,USA,1943,70.660004,66.479996
United States,USA,1944,71.330002,66.809998
United States,USA,1945,71.770004,66.800003
United States,USA,1946,72.290001,67.959999
United States,USA,1947,72.43,67.900002
United States,USA,1948,72.910004,68.150002
United States,USA,1949,73.349998,68.509995
United States,USA,1950,73.639999,68.650002
United States,USA,1951,73.839996,68.639999
United States,USA,1952,74.119995,68.75
United States,USA,1953,74.380005,68.849998
United States,USA,1954,75.040001,69.490005
United States,USA,1955,75.07,69.419998
United States,USA,1956,75.160004,69.389999
United States,USA,1957,74.990005,69.139999
United States,USA,1958,75.229996,69.349998
United States,USA,1959,75.490005,69.479996
United States,USA,1960,75.459999,69.32
United States,USA,1961,75.779999,69.630005
United States,USA,1962,75.639999,69.440002
United States,USA,1963,75.550003,69.169998
United States,USA,1964,75.849998,69.330002
United States,USA,1965,75.919998,69.25
United States,USA,1966,75.919998,69.080002
United States,USA,1967,76.209999,69.229996
United States,USA,1968,76.089996,68.849998
United States,USA,1969,76.43,69.040001
United States,USA,1970,76.630005,69.229996
United States,USA,1971,76.75,69.380005
United States,USA,1972,76.860001,69.360001
United States,USA,1973,77.059998,69.529999
United States,USA,1974,77.540001,70.059998
United States,USA,1975,78.020004,70.449997
United States,USA,1976,78.18,70.720001
United States,USA,1977,78.490005,70.970001
United States,USA,1978,78.559998,71.099998
United States,USA,1979,78.959999,71.419998
United States,USA,1980,78.729996,71.349998
United States,USA,1981,79,71.709999
United States,USA,1982,79.32,72.130005
United States,USA,1983,79.199997,72.18
United States,USA,1984,79.25,72.290001
United States,USA,1985,79.239998,72.270004
United States,USA,1986,79.290001,72.300003
United States,USA,1987,79.209999,72.389999
United States,USA,1988,79.349998,72.440002
United States,USA,1989,79.610001,72.720001
United States,USA,1990,79.809998,72.900002
United States,USA,1991,79.919998,73.059998
United States,USA,1992,80.059998,73.270004
United States,USA,1993,79.790001,73.089996
United States,USA,1994,79.879997,73.25
United States,USA,1995,79.849998,73.389999
United States,USA,1996,79.949997,73.830002
United States,USA,1997,80.080002,74.279999
United States,USA,1998,80.129997,74.540001
United States,USA,1999,80.029999,74.639999
United States,USA,2000,80.07,74.830002
United States,USA,2001,80.129997,74.93
United States,USA,2002,80.18,75.009995
United States,USA,2003,80.279999,75.190002
United States,USA,2004,80.650002,75.610001
United States,USA,2005,80.639999,75.599998
United States,USA,2006,80.889999,75.869995
United States,USA,2007,81.120003,76.150002
United States,USA,2008,81.120003,76.259995
United States,USA,2009,81.440002,76.619995
United States,USA,2010,81.540001,76.800003
United States,USA,2011,81.550003,76.869995
United States,USA,2012,81.639999,76.970001
United States,USA,2013,81.639999,76.970001
United States,USA,2014,81.690002,76.990005
