Entity,Code,Year,Marine protected areas (% of territorial waters) (% of territorial waters)
Albania,ALB,2016,2.71443113
Albania,ALB,2017,2.71803297867369
Algeria,DZA,2016,0.085275945
Algeria,DZA,2017,0.0854831025889078
American Samoa,ASM,2016,8.710817667
American Samoa,ASM,2017,8.71587580537483
Angola,AGO,2016,0.004860726
Angola,AGO,2017,0.00492982714246822
Antigua and Barbuda,ATG,2016,0.191718498
Antigua and Barbuda,ATG,2017,0.181504473350006
Arab World,,2016,3.98389151918098
Arab World,,2017,4.05450938818699
Argentina,ARG,2016,4.01993961
Argentina,ARG,2017,3.79699243606319
Aruba,ABW,2017,0.000105156683687689
Australia,AUS,2016,40.65344145
Australia,AUS,2017,40.5594116036044
Azerbaijan,AZE,2016,0.436531485
Azerbaijan,AZE,2017,0.436929518301171
Bahamas,BHS,2016,0.565663569
Bahamas,BHS,2017,7.92288620534516
Bahrain,BHR,2016,1.244628446
Bahrain,BHR,2017,1.24223918679232
Bangladesh,BGD,2016,5.356940135
Bangladesh,BGD,2017,5.35719019951986
Barbados,BRB,2016,0.00594531
Barbados,BRB,2017,0.00584651219433888
Belgium,BEL,2016,36.6511789
Belgium,BEL,2017,36.6552430210351
Belize,BLZ,2016,10.08005561
Belize,BLZ,2017,10.0788752290615
Benin,BEN,2017,0
Bermuda,BMU,2016,0.032990607
Bermuda,BMU,2017,0.0000564206970825242
Bosnia and Herzegovina,BIH,2017,0
Brazil,BRA,2016,1.684944305
Brazil,BRA,2017,26.6241067049733
British Virgin Islands,VGB,2016,0.055880143
British Virgin Islands,VGB,2017,0.00411569575364715
Brunei,BRN,2016,0.202347228
Brunei,BRN,2017,0.201102067315263
Bulgaria,BGR,2016,8.103059545
Bulgaria,BGR,2017,8.10330994468942
Cambodia,KHM,2016,0.185544615
Cambodia,KHM,2017,0.18576737726616
Cameroon,CMR,2016,3.407166611
Cameroon,CMR,2017,3.40964063973876
Canada,CAN,2016,0.871872218
Canada,CAN,2017,0.871881853190504
Cape Verde,CPV,2017,0.000676993988023627
Caribbean small states,,2016,1.15818443627366
Caribbean small states,,2017,1.39319343853239
Cayman Islands,CYM,2016,0.077755622
Cayman Islands,CYM,2017,0.0776734150587337
Central Europe and the Baltics,,2016,17.2418892969838
Central Europe and the Baltics,,2017,21.3588440024503
Chile,CHL,2016,12.59520309
Chile,CHL,2017,28.814450666394
China,CHN,2016,3.766775077
China,CHN,2017,5.40683189597192
Colombia,COL,2016,2.063793258
Colombia,COL,2017,17.0698862847978
Comoros,COM,2016,0.022960018
Comoros,COM,2017,0.0226364027578958
Congo,COG,2016,3.205932229
Congo,COG,2017,3.2117029732529
Costa Rica,CRI,2016,0.833521087
Costa Rica,CRI,2017,0.833447452118705
Cote d'Ivoire,CIV,2016,0.074352759
Cote d'Ivoire,CIV,2017,0.0745659769547534
Croatia,HRV,2016,8.540921417
Croatia,HRV,2017,8.54108490852191
Cuba,CUB,2016,4.324744631
Cuba,CUB,2017,4.3249505259467
Curacao,CUW,2016,0.032749304
Curacao,CUW,2017,0.0341709310928601
Cyprus,CYP,2016,0.123118249
Cyprus,CYP,2017,0.122715523666451
Democratic Republic of Congo,COD,2016,0.233690654
Democratic Republic of Congo,COD,2017,0.236439195438816
Denmark,DNK,2016,17.84814939
Denmark,DNK,2017,17.8489925277439
Djibouti,DJI,2016,0.540455974
Djibouti,DJI,2017,0.167867459666831
Dominica,DMA,2016,0.013913431
Dominica,DMA,2017,0.105277967308817
Dominican Republic,DOM,2016,9.08469123
Dominican Republic,DOM,2017,17.9579055499101
Early-demographic dividend,,2016,2.21512171410101
Early-demographic dividend,,2017,3.90052169653711
East Asia & Pacific,,2016,16.0179873152113
East Asia & Pacific,,2017,16.8780244069993
East Asia & Pacific (IDA & IBRD),,2016,3.04833675768705
East Asia & Pacific (IDA & IBRD),,2017,4.27503629318063
East Asia & Pacific (excluding high income),,2016,3.02066592821892
East Asia & Pacific (excluding high income),,2017,4.2371655232193
Ecuador,ECU,2016,13.05063954
Ecuador,ECU,2017,13.3461718314051
Egypt,EGY,2016,4.951564185
Egypt,EGY,2017,4.95148884185994
El Salvador,SLV,2016,0.705660137
El Salvador,SLV,2017,0.705446690690414
Equatorial Guinea,GNQ,2016,0.235206631
Equatorial Guinea,GNQ,2017,0.235115094159034
Eritrea,ERI,2017,0
Estonia,EST,2016,18.62632888
Estonia,EST,2017,18.6204423838105
Euro area,,2016,19.003944129516
Euro area,,2017,23.4338192507768
Europe & Central Asia,,2016,4.81509678573405
Europe & Central Asia,,2017,5.56084430945809
Europe & Central Asia (IDA & IBRD),,2016,3.00557026966913
Europe & Central Asia (IDA & IBRD),,2017,3.15115845344655
Europe & Central Asia (excluding high income),,2016,2.7163132928088
Europe & Central Asia (excluding high income),,2017,2.86516830823358
European Union,,2016,17.0930074401752
European Union,,2017,22.0876674067085
Faeroe Islands,FRO,2016,0.010872809
Faeroe Islands,FRO,2017,0.0108312493723335
Fiji,FJI,2016,0.92441448
Fiji,FJI,2017,0.924879431405508
Finland,FIN,2016,11.13029428
Finland,FIN,2017,10.5099633551937
France,FRA,2016,26.16684852
France,FRA,2017,45.0457953940979
French Polynesia,PYF,2016,0.004316575
French Polynesia,PYF,2017,0.00431538936782624
Gabon,GAB,2016,0.968998765
Gabon,GAB,2017,28.8271766191915
Gambia,GMB,2016,0.070343584
Gambia,GMB,2017,0.0696771265532355
