Entity,Code,Year,Market share of iodized salt (European Commission (2006)) (%)
Albania,ALB,2004,56
Austria,AUT,2004,95
Belgium,BEL,2004,10
Bosnia and Herzegovina,BIH,2004,37
Bulgaria,BGR,2004,90
Croatia,HRV,2004,90
Czech Republic,CZE,2004,90
Finland,FIN,2004,90
France,FRA,2004,55
Germany,DEU,2004,84
Greece,GRC,2004,18
Hungary,HUN,2004,30
Italy,ITA,2004,3
Lithuania,LTU,2004,12
Macedonia,MKD,2004,100
Netherlands,NLD,2004,60
Poland,POL,2004,90
Romania,ROU,2004,25
Slovakia,SVK,2004,85
Spain,ESP,2004,16
Switzerland,CHE,2004,94
Turkey,TUR,2004,64
United Kingdom,GBR,2004,2
Yugoslavia,OWID_YGS,2004,73
