Entity,Code,Year,Top marginal income tax rate (%)
Argentina,ARG,1979,45
Argentina,ARG,1990,30
Argentina,ARG,2002,35
Australia,AUS,1979,62
Australia,AUS,1990,48
Australia,AUS,2002,47
Austria,AUT,1979,62
Austria,AUT,1990,50
Austria,AUT,2002,50
Belgium,BEL,1979,76
Belgium,BEL,1990,55
Belgium,BEL,2002,52
Bolivia,BOL,1979,48
Bolivia,BOL,1990,10
Bolivia,BOL,2002,13
Botswana,BWA,1979,75
Botswana,BWA,1990,50
Botswana,BWA,2002,25
Brazil,BRA,1979,55
Brazil,BRA,1990,25
Brazil,BRA,2002,28
Canada (Ontario),,1979,58
Canada (Ontario),,1990,47
Canada (Ontario),,2002,46
Chile,CHL,1979,60
Chile,CHL,1990,50
Chile,CHL,2002,43
Colombia,COL,1979,56
Colombia,COL,1990,30
Colombia,COL,2002,35
Denmark,DNK,1979,73
Denmark,DNK,1990,68
Denmark,DNK,2002,59
Egypt,EGY,1979,80
Egypt,EGY,1990,65
Egypt,EGY,2002,40
Finland,FIN,1979,71
Finland,FIN,1990,43
Finland,FIN,2002,37
France,FRA,1979,60
France,FRA,1990,52
France,FRA,2002,50
Germany,DEU,1979,56
Germany,DEU,1990,53
Germany,DEU,2002,49
Greece,GRC,1979,60
Greece,GRC,1990,50
Greece,GRC,2002,40
Guatemala,GTM,1979,40
Guatemala,GTM,1990,34
Guatemala,GTM,2002,31
Hong Kong,HKG,1979,25
Hong Kong,HKG,1990,25
Hong Kong,HKG,2002,16
Hungary,HUN,1979,60
Hungary,HUN,1990,50
Hungary,HUN,2002,40
India,IND,1979,60
India,IND,1990,50
India,IND,2002,30
Indonesia,IDN,1979,50
Indonesia,IDN,1990,35
Indonesia,IDN,2002,35
Iran,IRN,1979,90
Iran,IRN,1990,75
Iran,IRN,2002,35
Ireland,IRL,1979,65
Ireland,IRL,1990,56
Ireland,IRL,2002,42
Israel,ISR,1979,66
Israel,ISR,1990,48
Israel,ISR,2002,50
Italy,ITA,1979,72
Italy,ITA,1990,50
Italy,ITA,2002,52
Jamaica,JAM,1979,58
Jamaica,JAM,1990,33
Jamaica,JAM,2002,25
Japan,JPN,1979,75
Japan,JPN,1990,50
Japan,JPN,2002,50
Malaysia,MYS,1979,60
Malaysia,MYS,1990,45
Malaysia,MYS,2002,28
Mauritius,MUS,1979,50
Mauritius,MUS,1990,35
Mauritius,MUS,2002,25
Mexico,MEX,1979,55
Mexico,MEX,1990,35
Mexico,MEX,2002,40
Netherlands,NLD,1979,72
Netherlands,NLD,1990,60
Netherlands,NLD,2002,52
New Zealand,NZL,1979,60
New Zealand,NZL,1990,33
New Zealand,NZL,2002,39
Norway,NOR,1979,75
Norway,NOR,1990,54
Norway,NOR,2002,48
Pakistan,PAK,1979,55
Pakistan,PAK,1990,45
Pakistan,PAK,2002,35
Philippines,PHL,1979,70
Philippines,PHL,1990,35
Philippines,PHL,2002,32
Portugal,PRT,1979,84
Portugal,PRT,1990,40
Portugal,PRT,2002,40
Puerto Rico,PRI,1979,79
Puerto Rico,PRI,1990,43
Puerto Rico,PRI,2002,33
Russia,RUS,1990,60
Russia,RUS,2002,13
Singapore,SGP,1979,55
Singapore,SGP,1990,33
Singapore,SGP,2002,26
South Korea,KOR,1979,89
South Korea,KOR,1990,50
South Korea,KOR,2002,36
Spain,ESP,1979,66
Spain,ESP,1990,56
Spain,ESP,2002,48
Sweden,SWE,1979,87
Sweden,SWE,1990,65
Sweden,SWE,2002,56
Thailand,THA,1979,60
Thailand,THA,1990,55
Thailand,THA,2002,37
Trinidad and Tobago,TTO,1979,70
Trinidad and Tobago,TTO,1990,35
Trinidad and Tobago,TTO,2002,35
Turkey,TUR,1979,75
Turkey,TUR,1990,50
Turkey,TUR,2002,45
United Kingdom,GBR,1979,83
United Kingdom,GBR,1990,40
United Kingdom,GBR,2002,40
United States,USA,1979,70
United States,USA,1990,33
United States,USA,2002,39
