Entity,Code,Year,5th (Real 2011 international dollars)
Australia,AUS,1981,19639.38086
Australia,AUS,1985,19574.12891
Australia,AUS,1989,19755.94922
Australia,AUS,1995,18136.97266
Australia,AUS,2001,20386.34375
Australia,AUS,2003,20607.71094
Australia,AUS,2008,28055.18555
Australia,AUS,2010,27873.81641
Austria,AUT,1994,24034.77734
Austria,AUT,1997,23302.5918
Austria,AUT,2000,24770.49609
Austria,AUT,2004,26337.57617
Belgium,BEL,1985,17403.31445
Belgium,BEL,1988,18147.39648
Belgium,BEL,1992,19246.58594
Belgium,BEL,1995,22076.9375
Belgium,BEL,1997,21626.69922
Belgium,BEL,2000,23246.05469
Canada,CAN,1981,23415.7168
Canada,CAN,1987,24045.57227
Canada,CAN,1991,23872.01563
Canada,CAN,1994,23889.39258
Canada,CAN,1997,23850.78516
Canada,CAN,1998,24322.94531
Canada,CAN,2000,24097.08008
Canada,CAN,2004,25723.53516
Canada,CAN,2007,27946.60352
Canada,CAN,2010,28873.60352
Czech Republic,CZE,1992,10039.36719
Czech Republic,CZE,1996,11723.50098
Czech Republic,CZE,2002,12404.95898
Czech Republic,CZE,2004,13426.48242
Czech Republic,CZE,2007,16123.01172
Czech Republic,CZE,2010,16648.28125
Denmark,DNK,1987,22975.30078
Denmark,DNK,1992,22270.33398
Denmark,DNK,1995,23829.54102
Denmark,DNK,2000,25204.37109
Denmark,DNK,2004,26464.84766
Denmark,DNK,2007,27647.56836
Denmark,DNK,2010,27992.16992
Estonia,EST,2000,6484.560547
Estonia,EST,2004,8580.642578
Estonia,EST,2007,13330.5625
Estonia,EST,2010,11767.09473
Finland,FIN,1987,18228.95703
Finland,FIN,1991,19971.9375
Finland,FIN,1995,17881.16211
Finland,FIN,2000,19920.98438
Finland,FIN,2004,22483.07813
Finland,FIN,2007,24615.4082
Finland,FIN,2010,25208.19336
France,FRA,1978,18664.77539
France,FRA,1984,17873.4082
France,FRA,1989,18755.28125
France,FRA,1994,20676.60742
France,FRA,2000,20842.30469
France,FRA,2005,21745.56641
France,FRA,2010,24502.11914
Germany,DEU,1984,22353.58984
Germany,DEU,1989,25155.82813
Germany,DEU,1994,23989.12891
Germany,DEU,2000,25830.99219
Germany,DEU,2004,25812.03711
Germany,DEU,2007,25329.35156
Germany,DEU,2010,25749.34766
Greece,GRC,1995,13519.83496
Greece,GRC,2000,15214.28711
Greece,GRC,2004,18478.69531
Greece,GRC,2007,20011.07227
Greece,GRC,2010,18199.58789
Hungary,HUN,1991,11460.16309
Hungary,HUN,1994,9211.223633
Hungary,HUN,1999,9107.500977
Hungary,HUN,2005,11111.73926
Hungary,HUN,2007,11415.67871
Hungary,HUN,2009,10880.90625
Hungary,HUN,2012,10951.52441
Iceland,ISL,2004,26543.64844
Iceland,ISL,2007,31517.98047
Iceland,ISL,2010,26252.45898
Ireland,IRL,1987,11351.15137
Ireland,IRL,1994,15061.46582
Ireland,IRL,1995,15637.66699
