Entity,Code,Year,Increased risk of alcohol dependency (odds ratio)
Agoraphobia,,2010,2.3
Antisocial personality disorder,,2010,2.4
Any anxiety disorder,,2010,3.2
Any disruptive behaviour disorder,,2010,2.8
Any mood disorder,,2010,1.8
Attention deficit hyperactivity (ADHD),,2010,1.8
Bipolar disorder,,2010,3.6
Conduct disorder,,2010,2
"Dysthymia (persistent, mild depression)",,2010,4.1
Generalized anxiety disorder (GAD),,2010,1.6
Intermittent explosive disorder,,2010,6
Major depression,,2010,1.6
Oppositional defiant disorder,,2010,3.9
Panic disorder,,2010,3.2
Post-traumatic stress disorder (PTSD),,2010,3.2
Separation anxiety,,2010,2.7
Social phobia,,2010,3.3
Specific phobia,,2010,2.7
