Entity,Code,Year,Total mismanaged plastic waste in 2025 (tonnes)
Albania,ALB,2010,63051
Algeria,DZA,2010,1017444
Angola,AGO,2010,136770
Anguilla,AIA,2010,73
Antigua and Barbuda,ATG,2010,1385
Argentina,ARG,2010,320197
Aruba,ABW,2010,476
Australia,AUS,2010,24653
Bahamas,BHS,2010,1718
Bahrain,BHR,2010,9915
Bangladesh,BGD,2010,2210230
Barbados,BRB,2010,3719
Belgium,BEL,2010,5739
Belize,BLZ,2010,6042
Benin,BEN,2010,119467
Bermuda,BMU,2010,173
Bosnia and Herzegovina,BIH,2010,20201
Brazil,BRA,2010,954198
British Virgin Islands,VGB,2010,78
Brunei,BRN,2010,341
Bulgaria,BGR,2010,25770
Cambodia,KHM,2010,62834
Cameroon,CMR,2010,71863
Canada,CAN,2010,14668
Cape Verde,CPV,2010,18475
Cayman Islands,CYM,2010,134
Channel Islands,OWID_CIS,2010,355
Chile,CHL,2010,42562
China,CHN,2010,17814777
Christmas Island,CXR,2010,4
Cocos Islands,CCK,2010,2
Colombia,COL,2010,179973
Comoros,COM,2010,100870
Congo,COG,2010,39853
Cook Islands,COK,2010,784
Costa Rica,CRI,2010,75895
Cote d'Ivoire,CIV,2010,537163
Croatia,HRV,2010,19593
Cuba,CUB,2010,180454
Curacao,CUW,2010,378
Cyprus,CYP,2010,2611
Democratic Republic of Congo,COD,2010,43480
Denmark,DNK,2010,4233
Djibouti,DJI,2010,45612
Dominica,DMA,2010,1428
Dominican Republic,DOM,2010,228671
Ecuador,ECU,2010,211021
Egypt,EGY,2010,1937428
El Salvador,SLV,2010,226860
Equatorial Guinea,GNQ,2010,14124
Eritrea,ERI,2010,43484
Estonia,EST,2010,8367
Faeroe Islands,FRO,2010,131
Falkland Islands,FLK,2010,7
Fiji,FJI,2010,70995
Finland,FIN,2010,6422
France,FRA,2010,34671
French Guiana,GUF,2010,5577
French Polynesia,PYF,2010,1824
Gabon,GAB,2010,15446
Gambia,GMB,2010,53498
Georgia,GEO,2010,24532
Germany,DEU,2010,33317
Ghana,GHA,2010,325116
Gibraltar,GIB,2010,92
Greece,GRC,2010,18621
Greenland,GRL,2010,148
Grenada,GRD,2010,2452
Guadeloupe,GLP,2010,11502
Guam,GUM,2010,574
Guatemala,GTM,2010,157698
Guernsey,GGY,2010,146
Guinea,GIN,2010,59889
Guinea-Bissau,GNB,2010,51947
Guyana,GUY,2010,36103
Haiti,HTI,2010,324178
Honduras,HND,2010,189169
Hong Kong,HKG,2010,37606
Iceland,ISL,2010,883
India,IND,2010,2881294
Indonesia,IDN,2010,7415202
Iran,IRN,2010,460067
Iraq,IRQ,2010,47694
Ireland,IRL,2010,14045
Israel,ISR,2010,28211
Italy,ITA,2010,45058
Jamaica,JAM,2010,59575
Japan,JPN,2010,177241
Jordan,JOR,2010,2975
Kenya,KEN,2010,87109
Kiribati,KIR,2010,6977
Kuwait,KWT,2010,13479
Latvia,LVA,2010,16654
Lebanon,LBN,2010,101852
Liberia,LBR,2010,142787
Libya,LBY,2010,102577
Lithuania,LTU,2010,5478
Macao,MAC,2010,1146
Madagascar,MDG,2010,177625
Malaysia,MYS,2010,1765977
Maldives,MDV,2010,40143
Malta,MLT,2010,3757
Marshall Islands,MHL,2010,5717
Martinique,MTQ,2010,955
Mauritania,MRT,2010,39754
Mauritius,MUS,2010,73172
Mexico,MEX,2010,233393
Micronesia (country),FSM,2010,10699
Monaco,MCO,2010,88
Montenegro,MNE,2010,7244
Montserrat,MSR,2010,71
Morocco,MAR,2010,706583
Mozambique,MOZ,2010,287067
Myanmar,MMR,2010,1149267
Namibia,NAM,2010,11340
Nauru,NRU,2010,1043
Netherlands,NLD,2010,32387
Netherlands Antilles,ANT,2010,368
New Caledonia,NCL,2010,702
New Zealand,NZL,2010,11517
Nicaragua,NIC,2010,169439
Nigeria,NGA,2010,2481008
Niue,NIU,2010,5
Norfolk Island,NFK,2010,156
North Korea,PRK,2010,610607
Northern Mariana Islands,MNP,2010,309
Norway,NOR,2010,9798
Oman,OMN,2010,11774
Pakistan,PAK,2010,1221460
Palau,PLW,2010,1350
Palestine,PSE,2010,18676
Panama,PAN,2010,70759
Papua New Guinea,PNG,2010,242328
Peru,PER,2010,377111
Philippines,PHL,2010,5088394
Poland,POL,2010,26855
Portugal,PRT,2010,19382
Puerto Rico,PRI,2010,20481
Qatar,QAT,2010,1560
Reunion,REU,2010,1615
Romania,ROU,2010,8261
Russia,RUS,2010,128946
Saint Helena,SHN,2010,182
Saint Kitts and Nevis,KNA,2010,742
Saint Lucia,LCA,2010,8610
Saint Pierre and Miquelon,SPM,2010,15
Saint Vincent and the Grenadines,VCT,2010,2996
Samoa,WSM,2010,10989
Sao Tome and Principe,STP,2010,13309
Saudi Arabia,SAU,2010,43855
Senegal,SEN,2010,738264
Seychelles,SYC,2010,5478
Sierra Leone,SLE,2010,121312
Singapore,SGP,2010,10878
Sint Maarten (Dutch part),SXM,2010,98
Slovenia,SVN,2010,985
Solomon Islands,SLB,2010,176589
Somalia,SOM,2010,289601
South Africa,ZAF,2010,836279
South Korea,KOR,2010,52764
Spain,ESP,2010,58932
Sri Lanka,LKA,2010,1918670
Sudan,SDN,2010,52061
Suriname,SUR,2010,6394
Sweden,SWE,2010,5245
Syria,SYR,2010,304960
Taiwan,TWN,2010,64631
Tanzania,TZA,2010,214196
Thailand,THA,2010,2179508
Togo,TGO,2010,96994
Tokelau,TKL,2010,100
Tonga,TON,2010,10272
Trinidad and Tobago,TTO,2010,73512
Tunisia,TUN,2010,440701
Turkey,TUR,2010,790235
Turks and Caicos Islands,TCA,2010,70
Tuvalu,TUV,2010,861
Ukraine,UKR,2010,233388
United Arab Emirates,ARE,2010,5910
United Kingdom,GBR,2010,94165
United States,USA,2010,336819
Uruguay,URY,2010,8037
Vanuatu,VUT,2010,38006
Venezuela,VEN,2010,154243
Vietnam,VNM,2010,4172828
World,OWID_WRL,2010,69143290
Yemen,YEM,2010,513907
