Entity,Code,Year,Per capita mismanaged plastic waste (kilograms per person per day)
Albania,ALB,2010,0.032
Algeria,DZA,2010,0.086
Angola,AGO,2010,0.045
Anguilla,AIA,2010,0.01
Antigua and Barbuda,ATG,2010,0.051
Argentina,ARG,2010,0.026
Aruba,ABW,2010,0.007
Australia,AUS,2010,0.002
Bahamas,BHS,2010,0.011
Bahrain,BHR,2010,0.016
Bangladesh,BGD,2010,0.03
Barbados,BRB,2010,0.034
Belgium,BEL,2010,0.002
Belize,BLZ,2010,0.053
Benin,BEN,2010,0.036
Bermuda,BMU,2010,0.005
Bosnia and Herzegovina,BIH,2010,0.061
Brazil,BRA,2010,0.017
British Virgin Islands,VGB,2010,0.005
Brunei,BRN,2010,0.001
Bulgaria,BGR,2010,0.051
Cambodia,KHM,2010,0.058
Cameroon,CMR,2010,0.038
Canada,CAN,2010,0.002
Cape Verde,CPV,2010,0.049
Cayman Islands,CYM,2010,0.005
Channel Islands,OWID_CIS,2010,0.005
Chile,CHL,2010,0.011
China,CHN,2010,0.092
Christmas Island,CXR,2010,0.005
Cocos Islands,CCK,2010,0.005
Colombia,COL,2010,0.034
Comoros,COM,2010,0.169
Congo,COG,2010,0.054
Cook Islands,COK,2010,0.054
Costa Rica,CRI,2010,0.047
Cote d'Ivoire,CIV,2010,0.086
Croatia,HRV,2010,0.028
Cuba,CUB,2010,0.022
Curacao,CUW,2010,0.005
Cyprus,CYP,2010,0.006
Democratic Republic of Congo,COD,2010,0.039
Denmark,DNK,2010,0.001
Djibouti,DJI,2010,0.076
Dominica,DMA,2010,0.031
Dominican Republic,DOM,2010,0.039
Ecuador,ECU,2010,0.047
Egypt,EGY,2010,0.122
El Salvador,SLV,2010,0.051
Equatorial Guinea,GNQ,2010,0.047
Eritrea,ERI,2010,0.035
Estonia,EST,2010,0.019
Faeroe Islands,FRO,2010,0.005
Falkland Islands,FLK,2010,0.005
Fiji,FJI,2010,0.151
Finland,FIN,2010,0.005
France,FRA,2010,0.004
French Guiana,GUF,2010,0.039
French Polynesia,PYF,2010,0.013
Gabon,GAB,2010,0.019
Gambia,GMB,2010,0.041
Georgia,GEO,2010,0.035
Germany,DEU,2010,0.01
Ghana,GHA,2010,0.032
Gibraltar,GIB,2010,0.005
Greece,GRC,2010,0.004
Greenland,GRL,2010,0.005
Grenada,GRD,2010,0.064
Guadeloupe,GLP,2010,0.039
Guam,GUM,2010,0.006
Guatemala,GTM,2010,0.105
Guernsey,GGY,2010,0.005
Guinea,GIN,2010,0.025
Guinea-Bissau,GNB,2010,0.046
Guyana,GUY,2010,0.224
Haiti,HTI,2010,0.044
Honduras,HND,2010,0.079
Hong Kong,HKG,2010,0.01
Iceland,ISL,2010,0.006
