Entity,Code,Year,Summer Olympics (nations),Winter Olympics (nations),Winter Paralympics (nations),Summer Paralympics (nations)
World,OWID_WRL,1896,14,,,
World,OWID_WRL,1900,24,,,
World,OWID_WRL,1904,12,,,
World,OWID_WRL,1908,22,,,
World,OWID_WRL,1912,28,,,
World,OWID_WRL,1920,29,,,
World,OWID_WRL,1924,44,16,,
World,OWID_WRL,1928,46,25,,
World,OWID_WRL,1932,37,17,,
World,OWID_WRL,1936,49,28,,
World,OWID_WRL,1948,59,28,,
World,OWID_WRL,1952,69,30,,
World,OWID_WRL,1956,72,32,,
World,OWID_WRL,1960,83,30,,23
World,OWID_WRL,1964,93,36,,21
World,OWID_WRL,1968,112,37,,29
World,OWID_WRL,1972,121,35,,43
World,OWID_WRL,1976,92,37,16,38
World,OWID_WRL,1980,80,37,18,42
World,OWID_WRL,1984,140,49,21,45
World,OWID_WRL,1988,159,57,22,61
World,OWID_WRL,1992,169,64,24,83
World,OWID_WRL,1996,197,,,104
World,OWID_WRL,2000,199,,,122
World,OWID_WRL,2004,201,,,135
World,OWID_WRL,2008,204,,,146
World,OWID_WRL,2012,205,,,164
World,OWID_WRL,2016,207,,,159
World,OWID_WRL,1994,,67,31,
World,OWID_WRL,1998,,72,32,
World,OWID_WRL,2002,,77,36,
World,OWID_WRL,2006,,80,39,
World,OWID_WRL,2010,,82,44,
World,OWID_WRL,2014,,88,45,
