Entity,Code,Year,"New business density (new registrations per 1,000 people ages 15-64) (new registrations per 1,000 people ages 15-64)"
Afghanistan,AFG,2006,0.180516252434505
Afghanistan,AFG,2007,0.177423858582271
Afghanistan,AFG,2008,0.068531559921742
Afghanistan,AFG,2009,0.743902958220648
Afghanistan,AFG,2010,0.86339652223795
Afghanistan,AFG,2011,0.446882285814297
Afghanistan,AFG,2012,1.38743658411074
Afghanistan,AFG,2013,0.297501774074023
Afghanistan,AFG,2014,0.211200319553119
Afghanistan,AFG,2015,0.166747019507431
Afghanistan,AFG,2016,0.186023874981728
Albania,ALB,2006,6.68112439209467
Albania,ALB,2007,7.00714784784232
Albania,ALB,2008,7.98026523969758
Albania,ALB,2009,7.70576581675972
Albania,ALB,2010,8.3500844616581
Albania,ALB,2011,8.69831635803338
Albania,ALB,2012,8.98112667841799
Albania,ALB,2013,10.9039397573086
Albania,ALB,2014,10.5890851276742
Albania,ALB,2015,11.8848439609692
Albania,ALB,2016,1.35232477197503
Algeria,DZA,2006,0.381728042885836
Algeria,DZA,2007,0.334746943093441
Algeria,DZA,2008,0.457873874194377
Algeria,DZA,2009,0.430149228414526
Algeria,DZA,2010,0.37866433164914
Algeria,DZA,2011,0.476751702687431
Algeria,DZA,2012,0.533314966911744
Algeria,DZA,2013,0.53581529424357
Algeria,DZA,2014,0.579109999330309
Antigua and Barbuda,ATG,2006,5.2384125573819
Antigua and Barbuda,ATG,2007,4.63982241307156
Antigua and Barbuda,ATG,2008,3.84175541419484
Antigua and Barbuda,ATG,2009,2.68411634679485
Antigua and Barbuda,ATG,2010,2.94629473285205
Antigua and Barbuda,ATG,2011,2.74227676682184
Antigua and Barbuda,ATG,2012,2.528150624553
Antigua and Barbuda,ATG,2013,3.38678010471204
Antigua and Barbuda,ATG,2014,3.70316701283228
Antigua and Barbuda,ATG,2015,3.5566078774057
Antigua and Barbuda,ATG,2016,4.01346452615225
Arab World,,2006,2.74472243196675
Arab World,,2007,2.74578835926893
Arab World,,2008,2.69395288002908
Arab World,,2009,2.50446222190228
Arab World,,2010,2.59368858864045
Arab World,,2011,2.97348068898537
Arab World,,2012,3.52169610970622
Arab World,,2013,3.74586603429969
Arab World,,2014,4.26302099664114
Arab World,,2015,5.04333405794903
Arab World,,2016,5.41876508992232
Argentina,ARG,2006,0.572569488026074
Argentina,ARG,2007,0.584398911476491
