Entity,Code,Year,Number of acute care beds (beds)
Austria,AUT,2005,52870
Austria,AUT,2006,52679
Austria,AUT,2007,52922
Austria,AUT,2008,52364
Austria,AUT,2009,51967
Austria,AUT,2010,51504
Austria,AUT,2011,51189
Austria,AUT,2012,50541
Austria,AUT,2013,49792
Austria,AUT,2014,49395
Austria,AUT,2015,48860
Austria,AUT,2016,48472
Austria,AUT,2017,47920
Bangladesh,BGD,2017,32865
Belgium,BEL,2005,60683
Belgium,BEL,2006,60071
Belgium,BEL,2007,59656
Belgium,BEL,2008,59909
Belgium,BEL,2009,59245
Belgium,BEL,2010,59482
Belgium,BEL,2011,59422
Belgium,BEL,2012,58879
Belgium,BEL,2013,58519
Belgium,BEL,2014,58777
Belgium,BEL,2015,58531
Belgium,BEL,2016,58025
Belgium,BEL,2017,56927
Belgium,BEL,2018,56758
Brunei,BRN,2017,1235
Bulgaria,BGR,2011,57460
Bulgaria,BGR,2017,43646
Canada,CAN,2005,87917
Canada,CAN,2006,73135
Canada,CAN,2007,72417
Canada,CAN,2008,72113
Canada,CAN,2009,71318
Canada,CAN,2010,71224
Canada,CAN,2011,72003
Canada,CAN,2012,73039
Canada,CAN,2013,72891
Canada,CAN,2014,73214
Canada,CAN,2015,72447
Canada,CAN,2016,73031
Canada,CAN,2017,71908
Canada,CAN,2018,71909
Chile,CHL,2008,34323
Chile,CHL,2009,33203
Chile,CHL,2010,33544
Chile,CHL,2011,36273
Chile,CHL,2012,35105
Chile,CHL,2013,35560
Chile,CHL,2014,35528
Chile,CHL,2015,36188
Chile,CHL,2016,36234
Chile,CHL,2017,36523
China,CHN,2015,5330600
Croatia,HRV,2011,15629
Croatia,HRV,2017,14475
Cyprus,CYP,2011,2813
Cyprus,CYP,2017,2922
Czech Republic,CZE,2005,54787
Czech Republic,CZE,2006,54034
Czech Republic,CZE,2007,53652
Czech Republic,CZE,2008,52979
Czech Republic,CZE,2009,52290
Czech Republic,CZE,2010,50270
Czech Republic,CZE,2011,48187
Czech Republic,CZE,2012,46863
Czech Republic,CZE,2013,44345
Czech Republic,CZE,2014,44047
Czech Republic,CZE,2015,43894
Czech Republic,CZE,2016,43773
Czech Republic,CZE,2017,43531
Denmark,DNK,2005,20609
Denmark,DNK,2006,20232
Denmark,DNK,2007,19681
Denmark,DNK,2008,19269
Denmark,DNK,2009,18995
Denmark,DNK,2010,19059
Denmark,DNK,2011,17085
Denmark,DNK,2013,16867
Denmark,DNK,2014,14776
Denmark,DNK,2015,13962
Denmark,DNK,2016,14461
Denmark,DNK,2017,14621
Denmark,DNK,2018,14011
Estonia,EST,2005,5499
Estonia,EST,2006,5643
Estonia,EST,2007,5452
Estonia,EST,2008,5510
Estonia,EST,2009,5205
Estonia,EST,2010,5002
Estonia,EST,2011,5086
Estonia,EST,2012,5093
Estonia,EST,2013,4835
Estonia,EST,2014,4824
Estonia,EST,2015,4841
Estonia,EST,2016,4608
Estonia,EST,2017,4539
European Union,,2017,1905305
Finland,FIN,2005,19531.69
Finland,FIN,2006,19195.19
Finland,FIN,2007,18885.33
Finland,FIN,2008,18585.47
Finland,FIN,2009,18221.98
Finland,FIN,2010,18118.45
Finland,FIN,2011,17793.51
Finland,FIN,2012,17598.74
Finland,FIN,2013,16966.86
Finland,FIN,2014,16852.86
Finland,FIN,2015,16731.88
Finland,FIN,2016,16135.05
Finland,FIN,2017,15397.4
France,FRA,2005,232163
France,FRA,2006,229883
France,FRA,2007,228664
France,FRA,2008,225675
France,FRA,2009,225350
France,FRA,2010,224385
France,FRA,2011,223324
France,FRA,2012,222031
France,FRA,2013,219968
France,FRA,2014,216599
France,FRA,2015,213510
France,FRA,2016,210003
France,FRA,2017,206619
Germany,DEU,2005,523824
Germany,DEU,2006,510767
Germany,DEU,2007,506954
Germany,DEU,2008,503360
Germany,DEU,2009,503341
Germany,DEU,2010,502749
Germany,DEU,2011,502029
Germany,DEU,2012,501475
Germany,DEU,2013,500671
Germany,DEU,2014,500680
Germany,DEU,2015,499351
Germany,DEU,2016,498718
Germany,DEU,2017,497182
Greece,GRC,2005,42884
Greece,GRC,2006,43965
Greece,GRC,2007,44244
Greece,GRC,2008,44417
Greece,GRC,2009,45729
Greece,GRC,2010,40664
Greece,GRC,2011,40781
Greece,GRC,2012,40385
Greece,GRC,2013,38624
Greece,GRC,2014,38090
Greece,GRC,2015,38999
Greece,GRC,2016,38470
Greece,GRC,2017,38747
Hong Kong,HKG,2017,18939
Hungary,HUN,2005,59921
Hungary,HUN,2006,59859
Hungary,HUN,2007,44964
Hungary,HUN,2008,44482
Hungary,HUN,2009,44476
Hungary,HUN,2010,44503
Hungary,HUN,2011,44461
Hungary,HUN,2012,42537
Hungary,HUN,2013,42542
Hungary,HUN,2014,42200
Hungary,HUN,2015,41883
Hungary,HUN,2016,41998
Hungary,HUN,2017,41803
Iceland,ISL,2007,1043
Iceland,ISL,2008,980
Iceland,ISL,2009,953
Iceland,ISL,2010,937
Iceland,ISL,2011,853
Iceland,ISL,2012,868
Iceland,ISL,2013,866
Iceland,ISL,2014,865
Iceland,ISL,2015,867
Iceland,ISL,2016,877
Iceland,ISL,2017,862
Iceland,ISL,2018,826
India,IND,2017,800769
Indonesia,IDN,2017,305055
Iran,IRN,2014,129224
Ireland,IRL,2005,11499
Ireland,IRL,2006,11517
Ireland,IRL,2007,11532
Ireland,IRL,2008,11346
Ireland,IRL,2009,11755
Ireland,IRL,2010,11417
Ireland,IRL,2011,11116
Ireland,IRL,2012,10885
Ireland,IRL,2013,11005
Ireland,IRL,2014,11241
Ireland,IRL,2015,12931
Ireland,IRL,2016,13255
Ireland,IRL,2017,13297
Israel,ISR,2005,18752
Israel,ISR,2006,17808
Israel,ISR,2007,17820
Israel,ISR,2008,17818
Israel,ISR,2009,17827
Israel,ISR,2010,17959
Israel,ISR,2011,18015
Israel,ISR,2012,18224
Israel,ISR,2013,18600
Israel,ISR,2014,18799
Israel,ISR,2015,18830
Israel,ISR,2016,18958
Israel,ISR,2017,19212
Israel,ISR,2018,19389
Italy,ITA,2005,201667
Italy,ITA,2006,198229
Italy,ITA,2007,192525
Italy,ITA,2008,187332
Italy,ITA,2009,182285
Italy,ITA,2010,179773
Italy,ITA,2011,173770
Italy,ITA,2012,169384
Italy,ITA,2013,165384
Italy,ITA,2014,161349
Italy,ITA,2015,160085
Italy,ITA,2016,158874
Italy,ITA,2017,158891
Japan,JPN,2005,1060266
Japan,JPN,2006,1062236
Japan,JPN,2007,1061735
Japan,JPN,2008,1049773
Japan,JPN,2009,1042423
Japan,JPN,2010,1035436
Japan,JPN,2011,1024075
Japan,JPN,2012,1019463
Japan,JPN,2013,1014666
Japan,JPN,2014,1002897
Japan,JPN,2015,998249
Japan,JPN,2016,992131
Japan,JPN,2017,987237
Kazakhstan,KAZ,2016,100079
Latvia,LVA,2005,12070
Latvia,LVA,2006,11832
Latvia,LVA,2007,11674
Latvia,LVA,2008,11489
Latvia,LVA,2009,9640
Latvia,LVA,2010,7433
Latvia,LVA,2011,7369
Latvia,LVA,2012,7242
Latvia,LVA,2013,7053
Latvia,LVA,2014,6748
Latvia,LVA,2015,6700
Latvia,LVA,2016,6681
Latvia,LVA,2017,6407
Liechtenstein,LIE,2017,91
Lithuania,LTU,2005,20848
Lithuania,LTU,2006,20082
Lithuania,LTU,2007,19946
Lithuania,LTU,2008,19701
Lithuania,LTU,2009,19477
Lithuania,LTU,2010,18992
Lithuania,LTU,2011,18936
Lithuania,LTU,2012,18720
Lithuania,LTU,2013,18309
Lithuania,LTU,2014,17879
Lithuania,LTU,2015,17029
Lithuania,LTU,2016,16040
Lithuania,LTU,2017,15477
Luxembourg,LUX,2005,2112
Luxembourg,LUX,2006,2112
Luxembourg,LUX,2007,2112
Luxembourg,LUX,2008,2112
Luxembourg,LUX,2009,2098
Luxembourg,LUX,2010,2098
Luxembourg,LUX,2011,2105
Luxembourg,LUX,2012,2101
Luxembourg,LUX,2013,2296
Luxembourg,LUX,2014,2297
Luxembourg,LUX,2015,2296
Luxembourg,LUX,2016,2275
Luxembourg,LUX,2017,2251
Luxembourg,LUX,2018,2251
Macedonia,MKD,2017,5937
Malaysia,MYS,2016,63933
Malta,MLT,2017,1486
Mexico,MEX,2005,181575
Mexico,MEX,2006,176252
Mexico,MEX,2007,180583
Mexico,MEX,2008,180953
Mexico,MEX,2009,179340
