Entity,Code,Year,Number of Countries with VAT (Number of countries)
Countries with VAT,,1960,1
Countries with VAT,,1964,3
Countries with VAT,,1967,4
Countries with VAT,,1968,7
Countries with VAT,,1969,9
Countries with VAT,,1970,11
Countries with VAT,,1971,12
Countries with VAT,,1972,14
Countries with VAT,,1973,18
Countries with VAT,,1974,19
Countries with VAT,,1975,21
Countries with VAT,,1976,22
Countries with VAT,,1977,25
Countries with VAT,,1980,27
Countries with VAT,,1982,30
Countries with VAT,,1983,32
Countries with VAT,,1984,33
Countries with VAT,,1985,34
Countries with VAT,,1986,41
Countries with VAT,,1987,42
Countries with VAT,,1988,45
Countries with VAT,,1989,46
Countries with VAT,,1990,50
Countries with VAT,,1991,61
Countries with VAT,,1992,73
Countries with VAT,,1993,83
Countries with VAT,,1994,91
Countries with VAT,,1995,99
Countries with VAT,,1996,101
Countries with VAT,,1997,105
Countries with VAT,,1998,113
Countries with VAT,,1999,122
Countries with VAT,,2000,127
Countries with VAT,,2001,132
Countries with VAT,,2002,135
Countries with VAT,,2003,138
Countries with VAT,,2004,140
Countries with VAT,,2005,143
Countries with VAT,,2006,146
Countries with VAT,,2007,149
Countries with VAT,,2008,151
Countries with VAT,,2009,155
Countries with VAT,,2010,158
Countries with VAT,,2011,160
Countries with VAT,,2012,163
Countries with VAT,,2014,165
Countries with VAT,,2016,166
