Entity,Code,Year,Suite of Food Security Indicators - Number of moderately or severely food insecure people (million) (3-year average) - 210081 - Value - 6132 - millions (people)
Afghanistan,AFG,2015,15200000
Afghanistan,AFG,2016,17200000
Afghanistan,AFG,2017,19300000
Africa,,2015,591700000
Africa,,2016,634400000
Africa,,2017,667400000
Albania,ALB,2015,1100000
Albania,ALB,2016,1100000
Albania,ALB,2017,1100000
Angola,AGO,2015,18000000
Argentina,ARG,2015,8300000.000000001
Argentina,ARG,2016,11300000
Argentina,ARG,2017,14200000
Armenia,ARM,2015,800000
Armenia,ARM,2016,1000000
Armenia,ARM,2017,1000000
Asia,,2015,868300000
Asia,,2016,885800000
Asia,,2017,945900000
"Asia, Central",,2015,8000000
"Asia, Central",,2016,9500000
"Asia, Central",,2017,11200000
Australia,AUS,2015,2700000
Australia,AUS,2016,3000000
Australia,AUS,2017,3300000
Australia & New Zealand,,2015,3200000
Australia & New Zealand,,2016,3500000
Australia & New Zealand,,2017,3900000
Austria,AUT,2015,500000
Austria,AUT,2016,400000
Austria,AUT,2017,400000
Bangladesh,BGD,2015,52000000
Bangladesh,BGD,2016,51100000
Bangladesh,BGD,2017,50300000
Belgium,BEL,2015,1000000
Belgium,BEL,2016,1100000
Belgium,BEL,2017,1200000
Bosnia and Herzegovina,BIH,2015,300000
Bosnia and Herzegovina,BIH,2016,400000
Bosnia and Herzegovina,BIH,2017,300000
Botswana,BWA,2015,1400000
Botswana,BWA,2016,1500000
Botswana,BWA,2017,1600000
Bulgaria,BGR,2015,1000000
Bulgaria,BGR,2016,900000
Bulgaria,BGR,2017,800000
Burkina Faso,BFA,2015,7400000
Cambodia,KHM,2015,7600000
Cambodia,KHM,2016,7100000
Cambodia,KHM,2017,7200000
Cameroon,CMR,2015,14200000
Cameroon,CMR,2016,15900000
Cameroon,CMR,2017,17100000
Canada,CAN,2015,1800000
Canada,CAN,2016,1800000
Cape Verde,CPV,2017,200000
Central America,,2015,55500000
Central America,,2016,56700000
Central America,,2017,56200000
Central and Southern Asia,,2015,570200000
Central and Southern Asia,,2016,558400000
Central and Southern Asia,,2017,589300000
Chile,CHL,2017,2500000
China,CHN,2015,96200000
China,CHN,2016,117100000
China,CHN,2017,135500000
Costa Rica,CRI,2015,1000000
Costa Rica,CRI,2016,1100000
Costa Rica,CRI,2017,1100000
Cote d'Ivoire,CIV,2016,13800000
Croatia,HRV,2015,300000
Croatia,HRV,2016,300000
Croatia,HRV,2017,300000
Czech Republic,CZE,2015,600000
Czech Republic,CZE,2016,500000
Czech Republic,CZE,2017,400000
Denmark,DNK,2015,300000
Denmark,DNK,2016,300000
Denmark,DNK,2017,300000
East Asia (exc China),,2015,9100000
East Asia (exc China),,2016,9700000
East Asia (exc China),,2017,10700000
Eastern Africa,,2015,243500000
Eastern Africa,,2016,260200000
Eastern Africa,,2017,271300000
Eastern Asia,,2015,105400000
Eastern Asia,,2016,126800000
Eastern Asia,,2017,146300000
Eastern Europe,,2015,32299999.999999996
Eastern Europe,,2016,32400000
Eastern Europe,,2017,30800000
Eastern and South-Eastern Asia,,2015,223700000
Eastern and South-Eastern Asia,,2016,250700000
Eastern and South-Eastern Asia,,2017,278200000
Ecuador,ECU,2015,3800000
Ecuador,ECU,2016,3800000
Ecuador,ECU,2017,3900000
Egypt,EGY,2015,25900000
Egypt,EGY,2016,31300000
Egypt,EGY,2017,35100000
El Salvador,SLV,2015,2700000
El Salvador,SLV,2016,2600000
El Salvador,SLV,2017,2500000
Estonia,EST,2015,100000
Estonia,EST,2016,100000
Estonia,EST,2017,100000
Europe,,2015,66599999.99999999
Europe,,2016,64400000.00000001
Europe,,2017,61000000
Europe and Northern America,,2015,101900000
Europe and Northern America,,2016,98100000
Europe and Northern America,,2017,92700000
