Entity,Code,Year,Suite of Food Security Indicators - Number of severely food insecure people (million) (annual value) - 210070 - Value - 6132 - millions (people)
Africa,,2014,210700000
Africa,,2015,226700000
Africa,,2016,268200000
Africa,,2017,287500000
Africa,,2018,277000000
Asia,,2014,305900000
Asia,,2015,280000000
Asia,,2016,264800000
Asia,,2017,288500000
Asia,,2018,353600000
"Asia, Central",,2014,1300000
"Asia, Central",,2015,1200000
"Asia, Central",,2016,1900000
"Asia, Central",,2017,2500000
"Asia, Central",,2018,2300000
Australia & New Zealand,,2014,700000
Australia & New Zealand,,2015,700000
Australia & New Zealand,,2016,900000
Australia & New Zealand,,2017,1200000
Australia & New Zealand,,2018,1100000
Central America,,2014,21900000
Central America,,2015,17800000
Central America,,2016,14800000
Central America,,2017,22500000
Central America,,2018,19000000
Central and Southern Asia,,2014,248500000
Central and Southern Asia,,2015,226600000
Central and Southern Asia,,2016,197700000
Central and Southern Asia,,2017,206800000
Central and Southern Asia,,2018,274000000
East Asia (exc China),,2014,1400000
East Asia (exc China),,2015,700000
East Asia (exc China),,2016,1100000
East Asia (exc China),,2017,1700000
East Asia (exc China),,2018,1600000
Eastern Africa,,2014,93000000
Eastern Africa,,2015,100200000
Eastern Africa,,2016,114300000
Eastern Africa,,2017,121300000
Eastern Africa,,2018,112500000
Eastern Asia,,2014,7500000
Eastern Asia,,2015,6800000
Eastern Asia,,2016,15400000
Eastern Asia,,2017,16600000.000000002
Eastern Asia,,2018,18400000
Eastern Europe,,2014,3400000
Eastern Europe,,2015,3600000
Eastern Europe,,2016,3400000
Eastern Europe,,2017,2400000
Eastern Europe,,2018,2600000
Eastern and South-Eastern Asia,,2014,35500000
Eastern and South-Eastern Asia,,2015,30500000
Eastern and South-Eastern Asia,,2016,42600000
Eastern and South-Eastern Asia,,2017,54100000
Eastern and South-Eastern Asia,,2018,52700000
Europe,,2014,12400000
Europe,,2015,12900000
Europe,,2016,9600000
Europe,,2017,9800000
Europe,,2018,7700000
Europe and Northern America,,2014,16100000.000000002
Europe and Northern America,,2015,16300000
Europe and Northern America,,2016,13400000
Europe and Northern America,,2017,13600000
Europe and Northern America,,2018,10600000
"Europe, Western",,2014,2800000
"Europe, Western",,2015,2700000
"Europe, Western",,2016,2100000
"Europe, Western",,2017,2100000
"Europe, Western",,2018,1700000
High income,,2014,23000000
High income,,2015,21300000
High income,,2016,20200000
High income,,2017,25600000
High income,,2018,21400000
Land Locked Developing Countries,,2014,76000000
Land Locked Developing Countries,,2015,80000000
Land Locked Developing Countries,,2016,95000000
Land Locked Developing Countries,,2017,100400000
Land Locked Developing Countries,,2018,100600000
Least Developed Countries,,2014,175500000
Least Developed Countries,,2015,190400000
Least Developed Countries,,2016,218000000
Least Developed Countries,,2017,230500000
Least Developed Countries,,2018,226500000
Low income,,2014,140500000
Low income,,2015,156900000
Low income,,2016,183200000
Low income,,2017,194800000
Low income,,2018,190100000
Lower middle income,,2014,330500000
Lower middle income,,2015,304300000
Lower middle income,,2016,286600000
Lower middle income,,2017,313600000
Lower middle income,,2018,372900000
North Africa (exc Sudan),,2014,15800000
North Africa (exc Sudan),,2015,13500000
North Africa (exc Sudan),,2016,17600000
North Africa (exc Sudan),,2017,19500000
North Africa (exc Sudan),,2018,15700000
Northern Africa,,2014,19100000
Northern Africa,,2015,16300000
Northern Africa,,2016,21200000
Northern Africa,,2017,23600000
Northern Africa,,2018,19000000
Northern Africa and Western Asia,,2014,41000000
Northern Africa and Western Asia,,2015,39200000
Northern Africa and Western Asia,,2016,45700000
Northern Africa and Western Asia,,2017,51200000
Northern Africa and Western Asia,,2018,46000000
Northern America,,2014,3700000
Northern America,,2015,3400000
Northern America,,2016,3800000
Northern America,,2017,3800000
Northern America,,2018,2900000
Northern Europe,,2014,3500000
Northern Europe,,2015,4200000
Northern Europe,,2016,1800000
Northern Europe,,2017,2300000
Northern Europe,,2018,1100000
South America,,2014,23100000
South America,,2015,20200000
South America,,2016,31700000
South America,,2017,37300000
South America,,2018,35700000
South Asia (exc India),,2014,50200000
South Asia (exc India),,2015,53400000
South Asia (exc India),,2016,49500000
South Asia (exc India),,2017,42100000
South Asia (exc India),,2018,54000000
South Eastern Asia,,2014,27900000
South Eastern Asia,,2015,23700000
South Eastern Asia,,2016,27300000
South Eastern Asia,,2017,37500000
South Eastern Asia,,2018,34300000
Southern Africa,,2014,13400000
Southern Africa,,2015,13100000
Southern Africa,,2016,19800000
Southern Africa,,2017,20100000
Southern Africa,,2018,20200000
Southern Asia,,2014,247100000
Southern Asia,,2015,225400000
Southern Asia,,2016,195800000
Southern Asia,,2017,204200000
Southern Asia,,2018,271700000
Southern Europe,,2014,2700000
Southern Europe,,2015,2400000
Southern Europe,,2016,2400000
Southern Europe,,2017,3000000
Southern Europe,,2018,2400000
Sub-Saharan Africa,,2014,191600000
Sub-Saharan Africa,,2015,210400000
Sub-Saharan Africa,,2016,246900000
Sub-Saharan Africa,,2017,263899999.99999997
Sub-Saharan Africa,,2018,258000000
Sub-Saharan Africa (inc. Sudan),,2014,194900000
Sub-Saharan Africa (inc. Sudan),,2015,213200000
Sub-Saharan Africa (inc. Sudan),,2016,250600000
Sub-Saharan Africa (inc. Sudan),,2017,268000000
Sub-Saharan Africa (inc. Sudan),,2018,261300000
Upper middle income,,2014,85000000
Upper middle income,,2015,79900000
Upper middle income,,2016,96800000
Upper middle income,,2017,109300000
Upper middle income,,2018,103600000
Western Africa,,2014,44400000
Western Africa,,2015,50900000
Western Africa,,2016,59600000
Western Africa,,2017,66000000
Western Africa,,2018,67200000
Western Asia,,2014,21900000
Western Asia,,2015,22900000
Western Asia,,2016,24500000
Western Asia,,2017,27600000
Western Asia,,2018,27000000
World,OWID_WRL,2014,585000000
World,OWID_WRL,2015,568200000
World,OWID_WRL,2016,600400000
World,OWID_WRL,2017,657600000
World,OWID_WRL,2018,704300000
