Entity,Code,Year,Sanitation - Proportion of population using improved sanitation facilities (excluding shared) - Safely managed - National - Population (people)
Albania,ALB,2000,1706684.4594318557
Albania,ALB,2001,1733503.6005264146
Albania,ALB,2002,1759769.3899767688
Albania,ALB,2003,1782438.4807114005
Albania,ALB,2004,1800143.4918288295
Albania,ALB,2005,1812062.983013913
Albania,ALB,2006,1817097.1245408556
Albania,ALB,2007,1815867.46053407
Albania,ALB,2008,1811581.0698847296
Albania,ALB,2009,1808890.5142969657
Albania,ALB,2010,1811338.4567138518
Albania,ALB,2011,1820399.460753113
Albania,ALB,2012,1835308.8714458947
Albania,ALB,2013,1854110.6214667077
Albania,ALB,2014,1872576.4057513203
Albania,ALB,2015,1877557.032420239
Algeria,DZA,2000,6605032.892677927
Algeria,DZA,2001,6654236.896394768
Algeria,DZA,2002,6700056.460738542
Algeria,DZA,2003,6744811.696076563
Algeria,DZA,2004,6791235.229556113
Algeria,DZA,2005,6841423.952064306
Algeria,DZA,2006,6895709.494027372
Algeria,DZA,2007,6954064.356942215
Algeria,DZA,2008,7017350.673412588
Algeria,DZA,2009,7086819.829664161
Algeria,DZA,2010,7162649.304587791
Algeria,DZA,2011,7245254.991199197
Algeria,DZA,2012,7333445.067141491
Algeria,DZA,2013,7423748.935424482
Algeria,DZA,2014,7511659.793433675
Algeria,DZA,2015,7593846.807283326
Andorra,AND,2000,4226.643942857972
Andorra,AND,2001,10378.78931868167
Andorra,AND,2002,17169.39795164818
Andorra,AND,2003,24692.196092309667
Andorra,AND,2004,32799.960153847635
Andorra,AND,2005,41198.09072088004
Andorra,AND,2006,49668.68599120912
Andorra,AND,2007,58078.56431648321
Andorra,AND,2008,66162.16312967247
Andorra,AND,2009,73618.47441758393
Andorra,AND,2010,80182.464953847
Andorra,AND,2011,82325.99999999999
Andorra,AND,2012,79316
Andorra,AND,2013,75902
Andorra,AND,2014,72786
Andorra,AND,2015,70473
Argentina,ARG,2000,10663764.792572359
Argentina,ARG,2001,10721987.798472522
Argentina,ARG,2002,10781595.957999041
Argentina,ARG,2003,10842298.276078628
Argentina,ARG,2004,10903562.858797053
Argentina,ARG,2005,10965079.338905178
Argentina,ARG,2006,11026608.004048528
Argentina,ARG,2007,11088598.503199412
Argentina,ARG,2008,11151852.024913762
Argentina,ARG,2009,11214734.414392332
Argentina,ARG,2010,11274967.923086667
Argentina,ARG,2011,11338640.904263059
Argentina,ARG,2012,11405408.918492157
Argentina,ARG,2013,11485821.605674703
Argentina,ARG,2014,11493933.673217243
Argentina,ARG,2015,11498494.039734472
Australia,AUS,2000,12506097.031771006
Australia,AUS,2001,12637937.196801007
Australia,AUS,2002,12772574.784585007
Australia,AUS,2003,12917138.837855007
Australia,AUS,2004,13080913.082475007
Australia,AUS,2005,13431427.985051982
Australia,AUS,2006,13815466.168827998
Australia,AUS,2007,14230419.416783972
Australia,AUS,2008,14668200.830587989
Australia,AUS,2009,15116391.518740008
Australia,AUS,2010,15565222.47639298
Australia,AUS,2011,16011305.104395999
Australia,AUS,2012,16455888.89137497
Australia,AUS,2013,16899151.30578999
Australia,AUS,2014,17342846.524363007
Australia,AUS,2015,17788237.746327978
Austria,AUT,2000,7791816.998504305
Austria,AUT,2001,7818915.224445191
Austria,AUT,2002,7853612.389547007
Austria,AUT,2003,7893029.795308776
Austria,AUT,2004,7932813.288933478
Austria,AUT,2005,7969766.391818989
Austria,AUT,2006,8003112.987836718
Austria,AUT,2007,8033952.524536599
Austria,AUT,2008,8063104.798020797
Austria,AUT,2009,8091987.64283628
Austria,AUT,2010,8121567.8006606875
Austria,AUT,2011,8152071.841294351
Austria,AUT,2012,8182909.358136839
Austria,AUT,2013,8213410.616852637
Austria,AUT,2014,8242519.819773687
Austria,AUT,2015,8269503.046240334
Belarus,BLR,2000,8130291.448533493
Belarus,BLR,2001,8090978.590208689
Belarus,BLR,2002,8047185.275472109
Belarus,BLR,2003,8002124.881735569
Belarus,BLR,2004,7924181.790411334
Belarus,BLR,2005,7849004.488156024
Belarus,BLR,2006,7777443.489036222
Belarus,BLR,2007,7709084.191521914
Belarus,BLR,2008,7644260.958990448
Belarus,BLR,2009,7582872.668875961
Belarus,BLR,2010,7524535.598192005
Belarus,BLR,2011,7469770.807942943
Belarus,BLR,2012,7417771.722278997
Belarus,BLR,2013,7364849.474103437
Belarus,BLR,2014,7306238.364609351
Belarus,BLR,2015,7238639.689442201
Belgium,BEL,2000,7170052.136215451
Belgium,BEL,2001,7200062.213579313
Belgium,BEL,2002,7237286.298158454
Belgium,BEL,2003,7280288.105838666
Belgium,BEL,2004,7565189.85280085
Belgium,BEL,2005,7854838.062097849
Belgium,BEL,2006,8148995.365950802
Belgium,BEL,2007,8448099.591190731
Belgium,BEL,2008,8751742.458075084
Belgium,BEL,2009,9059511.72594572
Belgium,BEL,2010,9371006.690428073
Belgium,BEL,2011,9685591.621478342
Belgium,BEL,2012,10002826.2321576
Belgium,BEL,2013,10322750.608981397
Belgium,BEL,2014,10645640.16674992
Belgium,BEL,2015,10971536.506757958
Bolivia,BOL,2000,1230913.5880065737
Bolivia,BOL,2001,1278688.8726788973
Bolivia,BOL,2002,1327339.529782818
Bolivia,BOL,2003,1376830.2338892908
Bolivia,BOL,2004,1427179.1638213263
Bolivia,BOL,2005,1478392.0859091943
Bolivia,BOL,2006,1530475.2376640677
Bolivia,BOL,2007,1583395.7377919753
Bolivia,BOL,2008,1637168.4697772716
Bolivia,BOL,2009,1691828.2277104286
Bolivia,BOL,2010,1747385.630306721
Bolivia,BOL,2011,1803838.821496897
Bolivia,BOL,2012,1861195.8614790232
Bolivia,BOL,2013,1919458.519628484
Bolivia,BOL,2014,1978665.1009514108
Bolivia,BOL,2015,2038832.7928525424
Bosnia and Herzegovina,BIH,2000,881837.3785513357
Bosnia and Herzegovina,BIH,2001,882811.9083873702
Bosnia and Herzegovina,BIH,2002,884190.2112996368
Bosnia and Herzegovina,BIH,2003,885647.116418033
Bosnia and Herzegovina,BIH,2004,887719.408547012
Bosnia and Herzegovina,BIH,2005,889552.1946353415
Bosnia and Herzegovina,BIH,2006,890838.1425589849
Bosnia and Herzegovina,BIH,2007,891383.2729427085
Bosnia and Herzegovina,BIH,2008,891153.9186114407
Bosnia and Herzegovina,BIH,2009,890439.0628759343
Bosnia and Herzegovina,BIH,2010,889440.1153654753
Bosnia and Herzegovina,BIH,2011,888139.477965864
Bosnia and Herzegovina,BIH,2012,886423.2551918953
Bosnia and Herzegovina,BIH,2013,884283.2668697529
Bosnia and Herzegovina,BIH,2014,881684.1081066704
Bosnia and Herzegovina,BIH,2015,879436.1399617029
Brazil,BRA,2000,46325084.86394417
Brazil,BRA,2001,48115444.356022395
Brazil,BRA,2002,49981860.16347
Brazil,BRA,2003,51922443.81266726
Brazil,BRA,2004,53924887.9099796
Brazil,BRA,2005,55980031.21997733
Brazil,BRA,2006,58082537.81226845
Brazil,BRA,2007,60235120.868948944
Brazil,BRA,2008,62447168.913277715
Brazil,BRA,2009,64733713.81329347
Brazil,BRA,2010,67107855.92909307
Brazil,BRA,2011,69574748.26307446
Brazil,BRA,2012,72131270.48298606
Brazil,BRA,2013,74776972.55040944
Brazil,BRA,2014,77508296.47575428
Brazil,BRA,2015,80322412.4908174
Bulgaria,BGR,2000,5745857.28703608
Bulgaria,BGR,2001,5721515.189819914
Bulgaria,BGR,2002,5699557.675206381
Bulgaria,BGR,2003,5677954.3392178165
Bulgaria,BGR,2004,5657207.110964363
Bulgaria,BGR,2005,5480431.4029767625
Bulgaria,BGR,2006,5284353.1144625945
Bulgaria,BGR,2007,5088227.7555235205
Bulgaria,BGR,2008,4891863.078316329
Bulgaria,BGR,2009,4695014.192308886
Bulgaria,BGR,2010,4497522.549521793
Bulgaria,BGR,2011,4299329.851265743
Bulgaria,BGR,2012,4100413.234378097
Bulgaria,BGR,2013,3900659.1774231624
Bulgaria,BGR,2014,3696168.6884619775
Bulgaria,BGR,2015,3493035.141778616
Canada,CAN,2000,22434605.053997573
Canada,CAN,2001,22646106.423193943
Canada,CAN,2002,22863297.93705514
Canada,CAN,2003,23228765.85962269
Canada,CAN,2004,23604755.06135864
Canada,CAN,2005,23992705.713629153
Canada,CAN,2006,24393928.871780615
Canada,CAN,2007,24807342.907945566
Canada,CAN,2008,25228823.637684714
Canada,CAN,2009,25652458.53987211
Canada,CAN,2010,26073590.865132537
Canada,CAN,2011,26490402.8807982
Canada,CAN,2012,26773156.84488136
Canada,CAN,2013,27051468.85526449
Canada,CAN,2014,27325726.671086486
Canada,CAN,2015,27596109.199039157
Chile,CHL,2000,4117092.991256041
Chile,CHL,2001,4713679.199328667
Chile,CHL,2002,5331343.39348809
Chile,CHL,2003,5970239.018878748
Chile,CHL,2004,6630590.798622598
Chile,CHL,2005,7312661.942536487
Chile,CHL,2006,8016586.10495323
Chile,CHL,2007,8742536.428396663
Chile,CHL,2008,9490908.136369033
Chile,CHL,2009,10262160.635857148
Chile,CHL,2010,11056708.73702475
Chile,CHL,2011,11874947.122366304
Chile,CHL,2012,12716915.503543995
Chile,CHL,2013,13574316.597595159
Chile,CHL,2014,14464087.51121619
Chile,CHL,2015,15341454.011860825
China,CHN,2000,369115646.5944334
China,CHN,2001,372380873.265345
China,CHN,2002,379197741.11567956
China,CHN,2003,405397494.59901345
China,CHN,2004,432831263.65134597
China,CHN,2005,461523032.5012041
China,CHN,2006,491473385.87505513
China,CHN,2007,522905387.36498976
China,CHN,2008,555663615.896328
China,CHN,2009,589765093.8925344
China,CHN,2010,625236628.2200476
China,CHN,2011,662091395.1601748
China,CHN,2012,700230994.5962973
China,CHN,2013,739564302.2078674
China,CHN,2014,779987084.5568551
China,CHN,2015,821387514.204731
"China, Hong Kong Special Administrative Region",,2000,1134480.6946929619
"China, Hong Kong Special Administrative Region",,2001,1143350.4964743627
"China, Hong Kong Special Administrative Region",,2002,1146397.1285554355
"China, Hong Kong Special Administrative Region",,2003,1145662.2709299074
"China, Hong Kong Special Administrative Region",,2004,1141129.8964283473
"China, Hong Kong Special Administrative Region",,2005,1138180.2853996113
"China, Hong Kong Special Administrative Region",,2006,1137327.78045226
"China, Hong Kong Special Administrative Region",,2007,1138026.401126824
"China, Hong Kong Special Administrative Region",,2008,1140210.0091617785
"China, Hong Kong Special Administrative Region",,2009,1143537.9799145602
"China, Hong Kong Special Administrative Region",,2010,1147727.1272299364
"China, Hong Kong Special Administrative Region",,2011,1152924.6113623988
"China, Hong Kong Special Administrative Region",,2012,1159229.9426806588
"China, Hong Kong Special Administrative Region",,2013,1166213.918554675
"China, Hong Kong Special Administrative Region",,2014,1173293.2958335443
"China, Hong Kong Special Administrative Region",,2015,1180031.3008676418
Colombia,COL,2000,6770691.804483103
Colombia,COL,2001,6959062.721904267
Colombia,COL,2002,7147896.318870459
Colombia,COL,2003,7336677.082543738
Colombia,COL,2004,7524636.68435636
Colombia,COL,2005,7711213.910236955
Colombia,COL,2006,7896112.304800737
Colombia,COL,2007,8079242.697575987
Colombia,COL,2008,8260364.564698978
Colombia,COL,2009,8439269.225125454
Colombia,COL,2010,8615769.49268526
Colombia,COL,2011,8789623.554832522
Colombia,COL,2012,8960726.687892115
Colombia,COL,2013,9129022.427568832
Colombia,COL,2014,9294587.088673864
Colombia,COL,2015,9457519.814453851
Croatia,HRV,2000,2640678.0233023185
Croatia,HRV,2001,2629641.252045877
Croatia,HRV,2002,2623781.3778940514
Croatia,HRV,2003,2621093.3189310143
Croatia,HRV,2004,2619197.1877769134
Croatia,HRV,2005,2616313.6250888417
Croatia,HRV,2006,2611963.66134521
Croatia,HRV,2007,2606548.4303963603
Croatia,HRV,2008,2600249.4690561425
Croatia,HRV,2009,2593530.5830235756
Croatia,HRV,2010,2586720.8273628997
Croatia,HRV,2011,2579735.264442206
Croatia,HRV,2012,2572366.7830766668
Croatia,HRV,2013,2564761.754047781
Croatia,HRV,2014,2557124.3913902966
Croatia,HRV,2015,2549590.053102437
Cuba,CUB,2000,3581349.2737264712
Cuba,CUB,2001,3597025.9235203112
Cuba,CUB,2002,3612067.172894489
Cuba,CUB,2003,3626554.6813374283
Cuba,CUB,2004,3640010.719014031
Cuba,CUB,2005,3631470.0880717216
Cuba,CUB,2006,3620775.8236876642
Cuba,CUB,2007,3608247.6337469383
Cuba,CUB,2008,3594752.2792220316
Cuba,CUB,2009,3581469.1717297905
Cuba,CUB,2010,3569168.1110975263
Cuba,CUB,2011,3558229.592244337
Cuba,CUB,2012,3548282.328108169
Cuba,CUB,2013,3538447.395836423
Cuba,CUB,2014,3527354.956780265
Cuba,CUB,2015,3514129.31895647
Cyprus,CYP,2000,721306.6661232
Cyprus,CYP,2001,735592.1881056
Cyprus,CYP,2002,749434.8999664
Cyprus,CYP,2003,762955.51624
Cyprus,CYP,2004,775835.7340555325
Cyprus,CYP,2005,787910.1644955891
Cyprus,CYP,2006,799134.4623666295
Cyprus,CYP,2007,809603.3538089143
Cyprus,CYP,2008,819458.1098371376
Cyprus,CYP,2009,828911.9665363805
Cyprus,CYP,2010,838134.1659894349
Cyprus,CYP,2011,847149.7164113832
Cyprus,CYP,2012,855917.1423374752
Cyprus,CYP,2013,864492.5450374996
Cyprus,CYP,2014,872842.6132769382
Cyprus,CYP,2015,880961.5611819773
Czech Republic,CZE,2000,8966902.116088118
Czech Republic,CZE,2001,8949159.45738227
Czech Republic,CZE,2002,8931666.925267052
Czech Republic,CZE,2003,8919153.363749612
Czech Republic,CZE,2004,8873168.58059486
Czech Republic,CZE,2005,8843232.609456753
Czech Republic,CZE,2006,8831899.644880861
Czech Republic,CZE,2007,8835956.142276242
Czech Republic,CZE,2008,8846731.05854447
Czech Republic,CZE,2009,8852284.983022062
Czech Republic,CZE,2010,8844310.88723642
Czech Republic,CZE,2011,8819826.98682388
Czech Republic,CZE,2012,8781632.588439228
Czech Republic,CZE,2013,8734393.05130979
Czech Republic,CZE,2014,8685012.747866632
Czech Republic,CZE,2015,8638413.628798423
Denmark,DNK,2000,4975556.234621799
Denmark,DNK,2001,4990861.446939247
Denmark,DNK,2002,5004240.097967986
Denmark,DNK,2003,5017190.935078382
Denmark,DNK,2004,5031816.649462269
Denmark,DNK,2005,5049569.380017738
Denmark,DNK,2006,5071010.248840988
Denmark,DNK,2007,5095515.713122978
Denmark,DNK,2008,5121905.7858408345
Denmark,DNK,2009,5148425.418988848
Denmark,DNK,2010,5173780.924643589
Denmark,DNK,2011,5197658.191534986
Denmark,DNK,2012,5220395.553978536
Denmark,DNK,2013,5242131.893186117
Denmark,DNK,2014,5263201.815962573
Denmark,DNK,2015,5283876.549375623
Ecuador,ECU,2000,5344188.027312168
Ecuador,ECU,2001,5444406.727848568
Ecuador,ECU,2002,5541862.259602765
Ecuador,ECU,2003,5638397.788869775
Ecuador,ECU,2004,5735375.207503178
Ecuador,ECU,2005,5834062.781748715
Ecuador,ECU,2006,5934912.539013223
Ecuador,ECU,2007,6037464.782425073
Ecuador,ECU,2008,6141031.347890275
Ecuador,ECU,2009,6244498.764618331
Ecuador,ECU,2010,6346996.513343581
Ecuador,ECU,2011,6448286.64280794
Ecuador,ECU,2012,6548284.609143358
Ecuador,ECU,2013,6646909.993516449
Ecuador,ECU,2014,6744107.703299513
Ecuador,ECU,2015,6839793.319701701
Egypt,EGY,2000,36042983.19820463
Egypt,EGY,2001,37077708.02026232
Egypt,EGY,2002,38149335.07617556
Egypt,EGY,2003,39251183.488520674
Egypt,EGY,2004,40372417.77654925
Egypt,EGY,2005,41506587.521609105
Egypt,EGY,2006,42647235.94480302
Egypt,EGY,2007,43795895.44256288
Egypt,EGY,2008,44977686.641545475
Egypt,EGY,2009,46228672.09702888
Egypt,EGY,2010,47571341.80470834
Egypt,EGY,2011,49017302.89094968
Egypt,EGY,2012,50559152.79207742
Egypt,EGY,2013,52171168.264586635
Egypt,EGY,2014,53814592.58311186
Egypt,EGY,2015,55459655.44140858
Estonia,EST,2000,1220042.2640355518
Estonia,EST,2001,1218306.1924489322
Estonia,EST,2002,1215093.670869539
Estonia,EST,2003,1211093.00402685
Estonia,EST,2004,1208087.483423585
Estonia,EST,2005,1206318.2561460128
Estonia,EST,2006,1205924.518956417
Estonia,EST,2007,1206534.8265587126
Estonia,EST,2008,1207880.3041216533
Estonia,EST,2009,1209536.0893038798
Estonia,EST,2010,1211176.6024256272
Estonia,EST,2011,1212711.9806384419
Estonia,EST,2012,1214221.1560970808
Estonia,EST,2013,1215785.0214360082
Estonia,EST,2014,1217497.752614947
Estonia,EST,2015,1219414.8646825526
Finland,FIN,2000,4596984.140886639
Finland,FIN,2001,4626848.289489615
Finland,FIN,2002,4655675.968088221
Finland,FIN,2003,4685324.786947592
Finland,FIN,2004,4716586.809814924
Finland,FIN,2005,4750033.587795704
Finland,FIN,2006,4785891.876180795
Finland,FIN,2007,4824001.480779093
Finland,FIN,2008,4849305.394222887
Finland,FIN,2009,4875963.201694086
Finland,FIN,2010,4903442.394801012
Finland,FIN,2011,4931805.201445791
Finland,FIN,2012,4960861.256620404
Finland,FIN,2013,4989611.572521091
Finland,FIN,2014,5016747.153226816
Finland,FIN,2015,5041364.139432847
France,FRA,2000,51968475.55050686
France,FRA,2001,52435362.56011169
France,FRA,2002,52938727.303647175
France,FRA,2003,53466605.50673752
France,FRA,2004,54001054.477040224
France,FRA,2005,54528344.846367195
France,FRA,2006,55044793.98338234
France,FRA,2007,55552661.554107
France,FRA,2008,56051134.27831927
France,FRA,2009,56540908.20477793
France,FRA,2010,57022625.991104804
France,FRA,2011,57494518.11874292
France,FRA,2012,57955641.10288677
France,FRA,2013,58408804.428861044
France,FRA,2014,58858179.4673534
France,FRA,2015,59306834.03311737
French Guiana,GUF,2001,84971.91304000076
French Guiana,GUF,2002,89076.86766536029
French Guiana,GUF,2003,93378.62494601986
French Guiana,GUF,2004,97558.31475693636
French Guiana,GUF,2005,101388.24389944621
French Guiana,GUF,2006,106487.51822806182
French Guiana,GUF,2007,111324.36527619061
French Guiana,GUF,2008,116037.8985001
French Guiana,GUF,2009,120862.95679068251
