Entity,Code,Year,Number of people without access to safe sanitation (people)
Albania,ALB,2000,1382342.541
Albania,ALB,2001,1326669.399
Albania,ALB,2002,1291240.61
Albania,ALB,2003,1257177.519
Albania,ALB,2004,1226795.508
Albania,ALB,2005,1199424.017
Albania,ALB,2006,1175449.875
Albania,ALB,2007,1154149.539
Albania,ALB,2008,1135732.93
Albania,ALB,2009,1118628.486
Albania,ALB,2010,1101682.543
Albania,ALB,2011,1084795.539
Albania,ALB,2012,1065092.129
Albania,ALB,2013,1040981.379
Albania,ALB,2014,1016527.594
Albania,ALB,2015,1003145.968
Algeria,DZA,2000,24578627.11
Algeria,DZA,2001,24937916.1
Algeria,DZA,2002,25294989.54
Algeria,DZA,2003,25658702.3
Algeria,DZA,2004,26039860.77
Algeria,DZA,2005,26447013.05
Algeria,DZA,2006,26882205.51
Algeria,DZA,2007,27346011.64
Algeria,DZA,2008,27843364.33
Algeria,DZA,2009,28378940.17
Algeria,DZA,2010,28954987.7
Algeria,DZA,2011,29574303.01
Algeria,DZA,2012,30232401.93
Algeria,DZA,2013,30914813.06
Algeria,DZA,2014,31601653.21
Algeria,DZA,2015,32277681.19
Andorra,AND,2000,61163.35606
Andorra,AND,2001,56962.21068
Andorra,AND,2002,52879.60205
Andorra,AND,2003,48489.80391
Andorra,AND,2004,43444.03985
Andorra,AND,2005,37668.90928
Andorra,AND,2006,31322.31401
Andorra,AND,2007,24604.43568
Andorra,AND,2008,17698.83687
Andorra,AND,2009,10843.52558
Andorra,AND,2010,4266.535046
Andorra,AND,2011,1425
Andorra,AND,2012,3115
Andorra,AND,2013,4886
Andorra,AND,2014,6437
Andorra,AND,2015,7541
Argentina,ARG,2000,26393687.21
Argentina,ARG,2001,26749521.2
Argentina,ARG,2002,27107774.04
Argentina,ARG,2003,27467080.72
Argentina,ARG,2004,27825133.14
Argentina,ARG,2005,28180408.66
Argentina,ARG,2006,28532282
Argentina,ARG,2007,28881625.5
Argentina,ARG,2008,29230536.98
Argentina,ARG,2009,29584672.59
Argentina,ARG,2010,29948921.08
Argentina,ARG,2011,30318238.1
Argentina,ARG,2012,30691330.08
Argentina,ARG,2013,31054103.39
Argentina,ARG,2014,31487581.33
Argentina,ARG,2015,31919270.96
Armenia,ARM,2000,3069588
Armenia,ARM,2001,3050655
Armenia,ARM,2002,3033897
Armenia,ARM,2003,3017806
Armenia,ARM,2004,3000612
Armenia,ARM,2005,2981259
Armenia,ARM,2006,2958500
Armenia,ARM,2007,2933056
Armenia,ARM,2008,2908220
Armenia,ARM,2009,2888584
Armenia,ARM,2010,2877311
Armenia,ARM,2011,2875581
Armenia,ARM,2012,2881922
Armenia,ARM,2013,2893509
Armenia,ARM,2014,2906220
Armenia,ARM,2015,2916950
Australia,AUS,2000,6646902.968
Australia,AUS,2001,6775062.803
Australia,AUS,2002,6878825.215
Australia,AUS,2003,6978261.162
Australia,AUS,2004,7046486.918
Australia,AUS,2005,6963372.015
Australia,AUS,2006,6882433.831
Australia,AUS,2007,6597180.583
Australia,AUS,2008,6580999.169
Australia,AUS,2009,6575308.481
Australia,AUS,2010,6466527.524
Australia,AUS,2011,6328718.896
Australia,AUS,2012,6286586.109
Australia,AUS,2013,6246749.694
Australia,AUS,2014,6161291.476
Australia,AUS,2015,6062546.254
Austria,AUT,2000,219749.0015
Austria,AUT,2001,223377.7756
Austria,AUT,2002,228344.6105
Austria,AUT,2003,228393.2047
Austria,AUT,2004,239152.7111
Austria,AUT,2005,258062.6082
Austria,AUT,2006,265528.0122
Austria,AUT,2007,261534.4755
Austria,AUT,2008,258391.202
Austria,AUT,2009,251335.3572
Austria,AUT,2010,241836.1993
Austria,AUT,2011,239571.1587
Austria,AUT,2012,247081.6419
Austria,AUT,2013,266412.3831
Austria,AUT,2014,303836.1802
Austria,AUT,2015,373195.9538
Azerbaijan,AZE,2000,8048600
Azerbaijan,AZE,2001,8111200
Azerbaijan,AZE,2002,8171950
Azerbaijan,AZE,2003,8234100
Azerbaijan,AZE,2004,8306500
Azerbaijan,AZE,2005,8391850
Azerbaijan,AZE,2006,8484550
Azerbaijan,AZE,2007,8581300
Azerbaijan,AZE,2008,8763400
Azerbaijan,AZE,2009,8947243
Azerbaijan,AZE,2010,9054332
Azerbaijan,AZE,2011,9173082
Azerbaijan,AZE,2012,9295784
Azerbaijan,AZE,2013,9416801
Azerbaijan,AZE,2014,9535079
Azerbaijan,AZE,2015,9649341
Bahrain,BHR,2000,664614
Bahrain,BHR,2001,697549
Bahrain,BHR,2002,735148
Bahrain,BHR,2003,778711
Bahrain,BHR,2004,829848
Bahrain,BHR,2005,889168
Bahrain,BHR,2006,958414
Bahrain,BHR,2007,1035891
Bahrain,BHR,2008,1114590
Bahrain,BHR,2009,1185029
Bahrain,BHR,2015,1371855
Bangladesh,BGD,2000,131581243
Bangladesh,BGD,2001,134107160
Bangladesh,BGD,2002,136600667
Bangladesh,BGD,2003,139019001
Bangladesh,BGD,2004,141307489
Bangladesh,BGD,2005,143431101
Bangladesh,BGD,2006,145368004
Bangladesh,BGD,2007,147139191
Bangladesh,BGD,2008,148805814
Bangladesh,BGD,2009,150454708
Bangladesh,BGD,2010,152149102
Bangladesh,BGD,2011,153911916
Bangladesh,BGD,2012,155727053
Bangladesh,BGD,2013,157571292
Bangladesh,BGD,2014,159405279
Bangladesh,BGD,2015,161200886
Belarus,BLR,2000,1849318.551
Belarus,BLR,2001,1837570.41
Belarus,BLR,2002,1818362.725
Belarus,BLR,2003,1794624.118
Belarus,BLR,2004,1805964.21
Belarus,BLR,2005,1814910.512
Belarus,BLR,2006,1827480.511
Belarus,BLR,2007,1851868.808
Belarus,BLR,2008,1883724.041
Belarus,BLR,2009,1923892.331
Belarus,BLR,2010,1966047.402
Belarus,BLR,2011,2003401.192
Belarus,BLR,2012,2046723.278
Belarus,BLR,2013,2101147.526
Belarus,BLR,2014,2168272.635
Belarus,BLR,2015,2250976.311
Belgium,BEL,2000,3081197.864
Belgium,BEL,2001,3086507.786
Belgium,BEL,2002,3095498.702
Belgium,BEL,2003,3095844.894
