Entity,Code,Year,Oil - Proved reserves (barrels)
Africa,,1998,77172286000
Africa,,2008,120411290000
Africa,,2017,125280702000
Africa,,2018,16585152691.025702
Algeria,DZA,1998,11314000000
Algeria,DZA,2008,12200000000
Algeria,DZA,2017,12200000000
Algeria,DZA,2018,1536523929.47103
Angola,AGO,1998,4030000000.0000005
Angola,AGO,2008,9500000000
Angola,AGO,2017,8384000000
Angola,AGO,2018,1131443994.6018898
Argentina,ARG,1998,2753414971.60629
Argentina,ARG,2008,2520308295.62846
Argentina,ARG,2017,2016765042.7042801
Argentina,ARG,2018,278174488.648866
Asia Pacific,,1998,40759214054.5822
Asia Pacific,,2008,48013116739.1251
Asia Pacific,,2017,47676535304.758194
Asia Pacific,,2018,6345467256.953581
Australia,AUS,1998,4773966354.58215
Australia,AUS,2008,4239200355.32928
Australia,AUS,2017,3994892909.71559
Australia,AUS,2018,442971555.675111
Azerbaijan,AZE,1998,1157000000
Azerbaijan,AZE,2008,7000000000
Azerbaijan,AZE,2017,7000000000
Azerbaijan,AZE,2018,958904109.589041
Brazil,BRA,1998,7357254525.18878
Brazil,BRA,2008,12801420000
Brazil,BRA,2017,12793924804.61
Brazil,BRA,2018,1952806250
Brunei,BRN,1998,1020000000
Brunei,BRN,2008,1078000000
Brunei,BRN,2017,1100000000
Brunei,BRN,2018,149863760.217984
CIS,,1998,121058993400
CIS,,2008,144810166000
CIS,,2017,144743167767.03
CIS,,2018,19639681506.4123
Canada,CAN,1998,49823087876.9929
Canada,CAN,2008,176349920880.188
Canada,CAN,2017,168878273491.523
Canada,CAN,2018,27060764319.069603
Chad,TCD,1998,0
Chad,TCD,2008,1500000000
Chad,TCD,2017,1500000000
Chad,TCD,2018,215827338.129496
China,CHN,1998,17422823600
China,CHN,2008,21186851900
China,CHN,2017,25948200000
China,CHN,2018,3540000000
Colombia,COL,1998,2477800000
Colombia,COL,2008,1362000000
Colombia,COL,2017,1665490000
Colombia,COL,2018,257172871.57287198
Congo,COG,1998,1700000000
Congo,COG,2008,1600000000
Congo,COG,2017,1600000000
Congo,COG,2018,225988700.564972
Denmark,DNK,1998,880573504.139
Denmark,DNK,2008,811385585.95665
Denmark,DNK,2017,427707130.5818
Denmark,DNK,2018,57103755.751909204
Ecuador,ECU,1998,4102000000.0000005
Ecuador,ECU,2008,4277000000
Ecuador,ECU,2017,2974462910.63405
Ecuador,ECU,2018,409358004.842956
Egypt,EGY,1998,3756700000
Egypt,EGY,2008,4200000000
Egypt,EGY,2017,3325000000
Egypt,EGY,2018,436672926.447574
Equatorial Guinea,GNQ,1998,555000000
Equatorial Guinea,GNQ,2008,1705000000
Equatorial Guinea,GNQ,2017,1100000000
Equatorial Guinea,GNQ,2018,149253731.343284
Europe,,1998,21376258847.466
Europe,,2008,14179297298.054401
Europe,,2017,13659029662.213299
Europe,,2018,1862202852.3448
Europe (other),,1998,1896463917.62423
Europe (other),,2008,1867593568.51405
Europe (other),,2017,1621096807.6302402
Europe (other),,2018,220476705.747408
Gabon,GAB,1998,2565000000
Gabon,GAB,2008,2000000000
Gabon,GAB,2017,2000000000
Gabon,GAB,2018,273597811.21751
India,IND,1998,5394266100
India,IND,2008,5798100000
India,IND,2017,4548865470
India,IND,2018,594499000
Indonesia,IDN,1998,5100000000
Indonesia,IDN,2008,3747500000
Indonesia,IDN,2017,3170900000
Indonesia,IDN,2018,436279391.42462003
Iran,IRN,1998,93700000000
Iran,IRN,2008,137620000000
Iran,IRN,2017,155600000000
Iran,IRN,2018,21373626373.6264
Iraq,IRQ,1998,112500000000
Iraq,IRQ,2008,115000000000
Iraq,IRQ,2017,147223000000
Iraq,IRQ,2018,19868151147.098503
Italy,ITA,1998,635796000
Italy,ITA,2008,469520208
Italy,ITA,2017,592228836
Italy,ITA,2018,75832000
Kazakhstan,KAZ,1998,5400000000
Kazakhstan,KAZ,2008,30000000000
Kazakhstan,KAZ,2017,30000000000
Kazakhstan,KAZ,2018,3931847968.54522
Kuwait,KWT,1998,96500000000
Kuwait,KWT,2008,101500000000
Kuwait,KWT,2017,101500000000
Kuwait,KWT,2018,13980716253.4435
Libya,LBY,1998,29500000000
Libya,LBY,2008,44271000000
Libya,LBY,2017,48363000000
Libya,LBY,2018,6297265625
Malaysia,MYS,1998,3420000000
Malaysia,MYS,2008,5520000000
Malaysia,MYS,2017,3018000000
Malaysia,MYS,2018,395026178.01047105
Mexico,MEX,1998,21638000000
Mexico,MEX,2008,11865500000
Mexico,MEX,2017,7694700000
Mexico,MEX,2018,1066591765.4627299
Middle East,,1998,685241730000
Middle East,,2008,753685500000
Middle East,,2017,834333230000
Middle East,,2018,113216254197.292
Nigeria,NGA,1998,22500000000
Nigeria,NGA,2008,37200000000
Nigeria,NGA,2017,37453000000
Nigeria,NGA,2018,5054385964.91228
North America,,1998,100019087876.993
North America,,2008,216611420880.18802
North America,,2017,237805973491.52298
North America,,2018,35423147292.9256
Norway,NOR,1998,11663025425.702702
Norway,NOR,2008,7490797935.5837
Norway,NOR,2017,7917996888.00123
Norway,NOR,2018,1095563582.1459699
Oman,OMN,1998,5400000000
Oman,OMN,2008,5572000000
Oman,OMN,2017,5373000000
Oman,OMN,2018,729036635.006784
Other Africa,,1998,699486000
Other Africa,,2008,658290000
Other Africa,,2017,3930702000
Other Africa,,2018,534162256.705082
Other Asia & Pacific,,1998,1339858000
Other Asia & Pacific,,2008,1259464483.7958798
Other Asia & Pacific,,2017,1173176925.0425901
Other Asia & Pacific,,2018,153439120.044815
Other CIS,,1998,250000000
Other CIS,,2008,250000000
Other CIS,,2017,250000000
Other CIS,,2018,34246575.3424658
Other Middle East,,1998,164230000
Other Middle East,,2008,127500000
Other Middle East,,2017,135230000
Other Middle East,,2018,19442529.9583348
Other S. & Cent. America,,1998,1078453000
Other S. & Cent. America,,2008,812070000
Other S. & Cent. America,,2017,520854000.00000006
Other S. & Cent. America,,2018,73215988.9316389
Peru,PER,1998,937383000
Peru,PER,2008,1121480000
Peru,PER,2017,985075000
Peru,PER,2018,113116636.194564
Qatar,QAT,1998,13485500000
Qatar,QAT,2008,26833000000
Qatar,QAT,2017,25244000000
Qatar,QAT,2018,2646173574.8991303
Romania,ROU,1998,1162900000
Romania,ROU,2008,480000000
Romania,ROU,2017,600000000
Romania,ROU,2018,79893475.3661784
Russia,RUS,1998,113111993400
Russia,RUS,2008,106366166000
Russia,RUS,2017,106299167767.03
Russia,RUS,2018,14551121209.1
Saudi Arabia,SAU,1998,261541999999.99997
Saudi Arabia,SAU,2008,264063000000
Saudi Arabia,SAU,2017,295958000000
Saudi Arabia,SAU,2018,40888873626.373604
South & Central America,,1998,95554375496.7951
South & Central America,,2008,196047278295.628
South & Central America,,2017,324007553757.948
South & Central America,,2018,51070987565.4773
South Sudan,SSD,2017,3500000000
South Sudan,SSD,2018,472334682.860999
Sudan,SDN,1998,262100000
Sudan,SDN,2008,5000000000
Sudan,SDN,2017,1500000000
Sudan,SDN,2018,202429149.797571
Syria,SYR,1998,2300000000
Syria,SYR,2008,2500000000
Syria,SYR,2017,2500000000
Syria,SYR,2018,341064120.05456996
Thailand,THA,1998,388300000
Thailand,THA,2008,454000000
Thailand,THA,2017,322500000
Thailand,THA,2018,38793656.9859847
Trinidad and Tobago,TTO,1998,740070000
Trinidad and Tobago,TTO,2008,830000000
Trinidad and Tobago,TTO,2017,242982000
Trinidad and Tobago,TTO,2018,32969063.7720488
Tunisia,TUN,1998,290000000
Tunisia,TUN,2008,577000000
Tunisia,TUN,2017,425000000
Tunisia,TUN,2018,55266579.973992206
Turkmenistan,TKM,1998,546000000
Turkmenistan,TKM,2008,600000000
Turkmenistan,TKM,2017,600000000
Turkmenistan,TKM,2018,82191780.8219178
United Arab Emirates,ARE,1998,97800000000
United Arab Emirates,ARE,2008,97800000000
United Arab Emirates,ARE,2017,97800000000
United Arab Emirates,ARE,2018,12975985139.976099
United Kingdom,GBR,1998,5137500000
United Kingdom,GBR,2008,3060000000
United Kingdom,GBR,2017,2500000000
United Kingdom,GBR,2018,333333333.33333296
United States,USA,1998,28558000000
United States,USA,2008,28396000000
United States,USA,2017,61233000000
United States,USA,2018,7295791208.3932
Uzbekistan,UZB,1998,594000000
Uzbekistan,UZB,2008,594000000
Uzbekistan,UZB,2017,594000000
Uzbekistan,UZB,2018,81369863.0136986
Venezuela,VEN,1998,76108000000
Venezuela,VEN,2008,172323000000
Venezuela,VEN,2017,302808000000
Venezuela,VEN,2018,47954174261.5143
Vietnam,VNM,1998,1900000000
Vietnam,VNM,2008,4730000000
Vietnam,VNM,2017,4400000000
Vietnam,VNM,2018,594594594.594595
World,OWID_WRL,1998,1141181945675.84
World,OWID_WRL,2008,1493758069213
World,OWID_WRL,2017,1727506191983.47
World,OWID_WRL,2018,244142893362.431
Yemen,YEM,1998,1850000000
Yemen,YEM,2008,2670000000
Yemen,YEM,2017,3000000000
Yemen,YEM,2018,393184796.854522
