Entity,Code,Year,Chemical (patents granted),Computers & Communications (patents granted),Medical (patents granted),Electronics (patents granted),Mechanical (patents granted),Other (patents granted)
United States,USA,1840,53,3,9,5,179,212
United States,USA,1841,49,0,8,9,212,213
United States,USA,1842,64,2,8,11,169,240
United States,USA,1843,56,1,11,3,176,250
United States,USA,1844,66,0,13,4,167,228
United States,USA,1845,64,1,13,3,172,222
United States,USA,1846,67,3,15,3,193,287
United States,USA,1847,60,0,13,6,203,213
United States,USA,1848,65,3,10,12,237,256
United States,USA,1849,103,10,22,14,394,442
United States,USA,1850,97,8,15,18,343,402
United States,USA,1851,64,4,12,23,325,329
United States,USA,1852,93,6,10,19,348,409
United States,USA,1853,93,8,11,14,329,389
United States,USA,1854,188,9,20,30,743,765
United States,USA,1855,199,8,17,32,810,813
United States,USA,1856,246,14,24,40,947,1033
United States,USA,1857,288,14,28,42,1017,1285
United States,USA,1858,353,14,23,80,1268,1715
United States,USA,1859,437,19,43,78,1565,2017
United States,USA,1860,448,13,36,97,1541,2221
United States,USA,1861,291,11,28,72,1053,1566
United States,USA,1862,410,13,30,95,1128,1538
United States,USA,1863,470,11,74,94,1368,1755
United States,USA,1864,594,14,79,85,1667,2190
United States,USA,1865,727,16,97,116,2131,3002
United States,USA,1866,1040,13,158,161,2949,4541
United States,USA,1867,1276,28,219,197,4185,6370
United States,USA,1868,1120,26,231,193,4242,6712
United States,USA,1869,1265,33,224,239,4420,6749
United States,USA,1870,1223,37,163,219,4076,6419
United States,USA,1871,1035,72,195,261,4022,6071
United States,USA,1872,1091,107,185,250,4234,6312
United States,USA,1873,973,71,140,205,4119,6108
United States,USA,1874,1089,85,132,213,4473,6238
United States,USA,1875,1172,90,160,273,4561,7035
United States,USA,1876,1139,79,155,304,4743,7752
United States,USA,1877,1085,62,125,247,4174,7227
United States,USA,1878,1030,66,145,323,4004,6777
United States,USA,1879,1011,77,156,350,4103,6426
United States,USA,1880,1161,146,134,482,4380,6598
