Entity,Code,Year,Coal per capita (kWh) (kilowatt-hours)
Africa,,1965,1048.207209048788
Africa,,1966,1009.4560710356476
Africa,,1967,1012.9799788497205
Africa,,1968,1029.291755690744
Africa,,1969,1009.2576641004439
Africa,,1970,1012.4089903746891
Africa,,1971,1042.1822617932673
Africa,,1972,1025.059024505811
Africa,,1973,1055.6097622805592
Africa,,1974,1070.571323319589
Africa,,1975,1107.0532378647715
Africa,,1976,1130.9250066982054
Africa,,1977,1125.2282233915246
Africa,,1978,1061.1011732868715
Africa,,1979,1089.3026522034443
Africa,,1980,1141.6791866645262
Africa,,1981,1298.3362857319532
Africa,,1982,1393.8760508918385
Africa,,1983,1369.4545220357586
Africa,,1984,1429.8547841726056
Africa,,1985,1434.7951287711887
Africa,,1986,1427.1089822588951
Africa,,1987,1427.0942142824902
Africa,,1988,1491.4337947547688
Africa,,1989,1362.0285534679028
Africa,,1990,1392.5752982374797
Africa,,1991,1317.9925488559409
Africa,,1992,1291.6256564083117
Africa,,1993,1278.2737102952176
Africa,,1994,1278.3975022127258
Africa,,1995,1285.1545715739219
Africa,,1996,1270.8748600680528
Africa,,1997,1271.4251098872576
Africa,,1998,1212.1471244870156
Africa,,1999,1219.8051052213257
Africa,,2000,1187.7841179073819
Africa,,2001,1174.1294594698863
Africa,,2002,1097.2666974416331
Africa,,2003,1165.6233572151498
Africa,,2004,1251.1033695005422
Africa,,2005,1133.0314181072208
Africa,,2006,1120.9058962627043
Africa,,2007,1111.276476227829
Africa,,2008,1194.2641223714693
Africa,,2009,1159.3032549836316
Africa,,2010,1120.1179648101036
Africa,,2011,1073.3521026001572
Africa,,2012,1019.8684551368831
Africa,,2013,1006.7610326664454
Africa,,2014,1027.8445494591983
Africa,,2015,960.7474503450089
Africa,,2016,950.1868102173105
Africa,,2017,912.5311804221406
Africa,,2018,924.585761939761
Algeria,DZA,1965,64.86335750139432
Algeria,DZA,1966,61.29117259552043
Algeria,DZA,1967,45.55630885122411
Algeria,DZA,1968,46.81279274004684
Algeria,DZA,1969,57.89361399516428
Algeria,DZA,1970,66.73280331835466
Algeria,DZA,1971,17.986148466917697
Algeria,DZA,1972,15.216538008635354
Algeria,DZA,1973,17.026734563971992
Algeria,DZA,1974,13.683200198154685
Algeria,DZA,1975,16.806358381502893
Algeria,DZA,1976,31.99168910218893
Algeria,DZA,1977,40.347494739236765
Algeria,DZA,1978,19.916583802894706
Algeria,DZA,1979,44.90347490347491
Algeria,DZA,1980,38.72229736759963
Algeria,DZA,1981,26.399818401937043
Algeria,DZA,1982,474.79831809514496
Algeria,DZA,1983,410.5937825798503
Algeria,DZA,1984,441.3885315199412
Algeria,DZA,1985,446.908880171184
Algeria,DZA,1986,445.5263613539953
Algeria,DZA,1987,517.5628838226635
Algeria,DZA,1988,473.42183856318786
Algeria,DZA,1989,389.58137497012666
Algeria,DZA,1990,297.53367754959436
Algeria,DZA,1991,299.5606060606061
Algeria,DZA,1992,347.67796359331066
Algeria,DZA,1993,276.90476190476187
Algeria,DZA,1994,255.5681576522294
Algeria,DZA,1995,250.73370888100703
Algeria,DZA,1996,116.0377229549648
Algeria,DZA,1997,200.2003832834617
Algeria,DZA,1998,211.08336369357136
Algeria,DZA,1999,222.93080364431967
Algeria,DZA,2000,181.70704207203144
Algeria,DZA,2001,207.07109245834928
Algeria,DZA,2002,268.3424894051169
Algeria,DZA,2003,218.44098685841806
Algeria,DZA,2004,257.2032913250948
Algeria,DZA,2005,208.39276018099545
Algeria,DZA,2006,304.91543057578554
Algeria,DZA,2007,257.6729007521878
Algeria,DZA,2008,253.48852610060177
Algeria,DZA,2009,159.96434029546614
Algeria,DZA,2010,100.21124607388055
Algeria,DZA,2011,87.2384823109026
Algeria,DZA,2012,90.83993152150653
Algeria,DZA,2013,48.178814892501315
Algeria,DZA,2014,53.48294111602097
Algeria,DZA,2015,38.934504631494164
Algeria,DZA,2016,14.053167616088386
Algeria,DZA,2017,51.140641233177895
Algeria,DZA,2018,50.12456190205551
Argentina,ARG,1965,381.54554068005416
Argentina,ARG,1966,309.9412418631635
Argentina,ARG,1967,343.44022927942535
Argentina,ARG,1968,328.86029318715475
Argentina,ARG,1969,387.8803468585764
Argentina,ARG,1970,490.87552387420965
Argentina,ARG,1971,423.6414687390767
Argentina,ARG,1972,350.9226014963696
Argentina,ARG,1973,379.01189229326314
Argentina,ARG,1974,464.4537689199592
Argentina,ARG,1975,445.0220480182479
Argentina,ARG,1976,443.2737562075005
Argentina,ARG,1977,412.90660818874017
Argentina,ARG,1978,495.8868984024981
Argentina,ARG,1979,455.0862300804485
Argentina,ARG,1980,399.4906129773811
Argentina,ARG,1981,372.6478423652917
Argentina,ARG,1982,370.41417443445044
Argentina,ARG,1983,330.80319974608716
Argentina,ARG,1984,241.62570833977875
Argentina,ARG,1985,350.79447180599686
Argentina,ARG,1986,394.45419477800584
Argentina,ARG,1987,430.9797580650334
Argentina,ARG,1988,434.8842601575674
Argentina,ARG,1989,463.5675058572851
Argentina,ARG,1990,376.042557788099
Argentina,ARG,1991,326.3101206070317
Argentina,ARG,1992,362.91460057621765
Argentina,ARG,1993,237.56217898145422
Argentina,ARG,1994,205.36310758916375
Argentina,ARG,1995,212.87907464999427
Argentina,ARG,1996,220.36021526981787
Argentina,ARG,1997,171.85164234091485
Argentina,ARG,1998,228.41719663339157
Argentina,ARG,1999,271.07986785395013
Argentina,ARG,2000,203.75491037915978
Argentina,ARG,2001,165.16933893523986
Argentina,ARG,2002,121.71053790801976
Argentina,ARG,2003,146.86685131878806
Argentina,ARG,2004,247.3194279824379
Argentina,ARG,2005,281.84107552258763
Argentina,ARG,2006,252.57878805064902
Argentina,ARG,2007,361.8677829220845
Argentina,ARG,2008,437.02766297230534
Argentina,ARG,2009,237.65378212681867
Argentina,ARG,2010,329.422927660896
Argentina,ARG,2011,353.7910277422556
Argentina,ARG,2012,327.36631731457317
Argentina,ARG,2013,354.04547157195003
Argentina,ARG,2014,372.7125240123834
Argentina,ARG,2015,367.13010505327924
Argentina,ARG,2016,280.1471304426772
Argentina,ARG,2017,285.0738143480438
Argentina,ARG,2018,319.1506262140168
Australia,AUS,1965,17858.019778820828
Australia,AUS,1966,18061.66556669542
Australia,AUS,1967,18088.235294445378
Australia,AUS,1968,18147.875282113622
Australia,AUS,1969,18314.3843601965
Australia,AUS,1970,18111.032945454546
Australia,AUS,1971,17844.65928803806
Australia,AUS,1972,18342.68767447146
Australia,AUS,1973,18834.58242742704
Australia,AUS,1974,19408.30842354844
Australia,AUS,1975,19788.11200860379
Australia,AUS,1976,20220.412358452933
Australia,AUS,1977,20874.232280451288
Australia,AUS,1978,21184.72251748895
Australia,AUS,1979,21892.851363137444
Australia,AUS,1980,22262.399838223202
Australia,AUS,1981,22544.419629112814
Australia,AUS,1982,22476.83794292009
Australia,AUS,1983,22149.098756775253
Australia,AUS,1984,23076.10567537444
Australia,AUS,1985,23502.22732944331
Australia,AUS,1986,23714.418336826235
Australia,AUS,1987,24307.057473558674
Australia,AUS,1988,25149.762269869927
Australia,AUS,1989,25963.762912887407
Australia,AUS,1990,26198.173585018572
Australia,AUS,1991,26369.415839397287
Australia,AUS,1992,26201.49024887944
Australia,AUS,1993,26068.788777799244
Australia,AUS,1994,26308.438049474695
Australia,AUS,1995,26908.612607202806
Australia,AUS,1996,27706.764164275115
Australia,AUS,1997,28795.253895246646
Australia,AUS,1998,29756.46061023296
Australia,AUS,1999,31263.006026421117
Australia,AUS,2000,31150.73416411458
Australia,AUS,2001,30508.564112852306
