Entity,Code,Year,Beef (kilograms per year),Pork (kilograms per year),Poultry (kilograms per year)
EU28,,1990,13.32262254,33.74927528,13.7005563
EU28,,1991,13.23123322,32.53313173,14.53989776
EU28,,1992,13.17973991,32.41517238,15.04549147
EU28,,1993,13.33673856,32.5875281,14.89658177
EU28,,1994,13.43233653,32.75104668,15.71252538
EU28,,1995,12.71036906,32.70797422,16.11415112
EU28,,1996,11.7421129,32.56630902,16.91920533
EU28,,1997,12.01958829,32.50791908,17.18741265
EU28,,1998,12.35099078,34.70566431,17.85023066
EU28,,1999,12.56840828,33.44483423,17.57002912
EU28,,2000,11.88832752,32.65878239,18.03887058
EU28,,2001,11.34928954,33.09678743,19.442498
EU28,,2002,11.98862202,33.49355473,20.00826981
EU28,,2003,11.86111856,33.26542546,19.3131395
EU28,,2004,12.10200383,32.62006191,19.23547117
EU28,,2005,12.01897569,32.57842091,19.78649831
EU28,,2006,12.07714177,32.76849418,19.03798052
EU28,,2007,12.10962475,33.92292307,19.93345068
EU28,,2008,11.61885718,32.92030199,19.93922481
EU28,,2009,11.50625843,32.20915572,20.28677005
EU28,,2010,11.36843213,32.65401816,20.55971665
EU28,,2011,11.1077498,32.50693807,20.74813801
EU28,,2012,10.76116101,31.71596548,21.25492486
EU28,,2013,10.45840556,31.34461697,21.31608851
EU28,,2014,10.61101952,32.02973069,22.08530026
EU28,,2015,10.70208163,32.68229268,23.00262111
EU28,,2016,10.93803317,32.15791616,24.01007831
EU28,,2017,10.88459372,32.10021602,24.23008842
EU28,,2018,10.84433781,32.31127982,24.4741333
EU28,,2019,10.70287067,32.06050282,24.79596491
EU28,,2020,10.5803014,31.93079411,24.89539059
EU28,,2021,10.45495516,31.84561826,24.92082783
EU28,,2022,10.40083427,31.99907679,25.00824588
EU28,,2023,10.36590117,31.98469836,25.02701991
EU28,,2024,10.34656642,31.95581574,25.04408843
EU28,,2025,10.30006828,31.91292258,25.01502773
EU28,,2026,10.27965747,31.70638942,25.00326597
EU28,,2027,10.26794185,31.6968282,24.9658091
