Entity,Code,Year,Per capita waste generation rate (kilograms per person per day)
Albania,ALB,2010,0.77
Algeria,DZA,2010,1.2
Angola,AGO,2010,0.48
Anguilla,AIA,2010,2.1
Antigua and Barbuda,ATG,2010,5.5
Argentina,ARG,2010,1.22
Aruba,ABW,2010,2.1
Australia,AUS,2010,2.23
Bahamas,BHS,2010,3.25
Bahrain,BHR,2010,1.1
Bangladesh,BGD,2010,0.43
Barbados,BRB,2010,4.75
Belgium,BEL,2010,1.33
Belize,BLZ,2010,2.87
Benin,BEN,2010,0.54
Bermuda,BMU,2010,2.1
Bosnia and Herzegovina,BIH,2010,1.2
Brazil,BRA,2010,1.03
British Virgin Islands,VGB,2010,2.1
Brunei,BRN,2010,0.87
Bulgaria,BGR,2010,1.28
Cambodia,KHM,2010,0.6
Cameroon,CMR,2010,0.77
Canada,CAN,2010,2.33
Cape Verde,CPV,2010,0.5
Cayman Islands,CYM,2010,2.1
Channel Islands,OWID_CIS,2010,2.1
Chile,CHL,2010,1.08
China,CHN,2010,1.1
Christmas Island,CXR,2010,2.1
Cocos Islands,CCK,2010,2.1
Colombia,COL,2010,1.2
Comoros,COM,2010,2.23
Congo,COG,2010,0.53
Cook Islands,COK,2010,1.2
Costa Rica,CRI,2010,1.36
Cote d'Ivoire,CIV,2010,0.79
Croatia,HRV,2010,2.1
Cuba,CUB,2010,0.81
Curacao,CUW,2010,2.1
Cyprus,CYP,2010,2.07
Democratic Republic of Congo,COD,2010,0.5
Denmark,DNK,2010,2.34
Djibouti,DJI,2010,0.79
Dominica,DMA,2010,1.24
Dominican Republic,DOM,2010,1.2
Ecuador,ECU,2010,1.13
Egypt,EGY,2010,1.37
El Salvador,SLV,2010,1.13
Equatorial Guinea,GNQ,2010,1.2
Eritrea,ERI,2010,0.5
Estonia,EST,2010,1.47
Faeroe Islands,FRO,2010,2.1
Falkland Islands,FLK,2010,2.1
Fiji,FJI,2010,2.1
Finland,FIN,2010,2.13
France,FRA,2010,1.92
French Guiana,GUF,2010,1.2
French Polynesia,PYF,2010,2.1
Gabon,GAB,2010,0.45
Gambia,GMB,2010,0.53
Georgia,GEO,2010,1.69
Germany,DEU,2010,2.11
Ghana,GHA,2010,0.79
Gibraltar,GIB,2010,2.1
Greece,GRC,2010,2
Greenland,GRL,2010,2.1
Grenada,GRD,2010,2.71
Guadeloupe,GLP,2010,1.2
Guam,GUM,2010,2.1
Guatemala,GTM,2010,2
Guernsey,GGY,2010,2.1
Guinea,GIN,2010,0.6
Guinea-Bissau,GNB,2010,0.6
Guyana,GUY,2010,5.33
Haiti,HTI,2010,1
Honduras,HND,2010,1.45
Hong Kong,HKG,2010,1.99
Iceland,ISL,2010,1.56
India,IND,2010,0.34
Indonesia,IDN,2010,0.52
Iran,IRN,2010,1.2
Iraq,IRQ,2010,0.79
Ireland,IRL,2010,3.58
Israel,ISR,2010,2.12
Italy,ITA,2010,2.23
Jamaica,JAM,2010,0.18
Japan,JPN,2010,1.71
Jordan,JOR,2010,1.2
Kenya,KEN,2010,0.3
Kiribati,KIR,2010,0.79
Kuwait,KWT,2010,5.72
Latvia,LVA,2010,1.03
Lebanon,LBN,2010,1.18
Liberia,LBR,2010,0.6
Libya,LBY,2010,1.2
Lithuania,LTU,2010,1.1
Macao,MAC,2010,1.47
Madagascar,MDG,2010,0.8
Malaysia,MYS,2010,1.52
Maldives,MDV,2010,2.48
Malta,MLT,2010,1.78
Marshall Islands,MHL,2010,1.2
Martinique,MTQ,2010,2.1
Mauritania,MRT,2010,0.5
Mauritius,MUS,2010,2.3
Mexico,MEX,2010,1.24
Micronesia (country),FSM,2010,0.79
Monaco,MCO,2010,2.1
Montenegro,MNE,2010,1.2
Montserrat,MSR,2010,1.2
Morocco,MAR,2010,1.46
Mozambique,MOZ,2010,0.14
Myanmar,MMR,2010,0.44
Namibia,NAM,2010,1.2
Nauru,NRU,2010,1.2
Netherlands,NLD,2010,2.12
Netherlands Antilles,ANT,2010,2.1
New Caledonia,NCL,2010,2.1
New Zealand,NZL,2010,3.68
Nicaragua,NIC,2010,1.1
Nigeria,NGA,2010,0.79
Niue,NIU,2010,2.1
Norfolk Island,NFK,2010,0.79
North Korea,PRK,2010,0.6
Northern Mariana Islands,MNP,2010,2.1
Norway,NOR,2010,2.8
Oman,OMN,2010,0.7
Pakistan,PAK,2010,0.79
Palau,PLW,2010,1.2
Palestine,PSE,2010,0.79
Panama,PAN,2010,1.21
Papua New Guinea,PNG,2010,0.79
Peru,PER,2010,1.2
Philippines,PHL,2010,0.5
Poland,POL,2010,0.88
Portugal,PRT,2010,2.21
Puerto Rico,PRI,2010,2.1
Qatar,QAT,2010,1.33
Reunion,REU,2010,1.2
Romania,ROU,2010,1.04
Russia,RUS,2010,0.93
Saint Helena,SHN,2010,1.2
Saint Kitts and Nevis,KNA,2010,5.45
Saint Lucia,LCA,2010,4.35
Saint Pierre and Miquelon,SPM,2010,2.1
Saint Vincent and the Grenadines,VCT,2010,1.7
Samoa,WSM,2010,0.79
Sao Tome and Principe,STP,2010,0.79
Saudi Arabia,SAU,2010,1.3
Senegal,SEN,2010,0.79
Seychelles,SYC,2010,2.98
Sierra Leone,SLE,2010,0.45
Singapore,SGP,2010,1.49
Sint Maarten (Dutch part),SXM,2010,2.1
Slovenia,SVN,2010,1.21
Solomon Islands,SLB,2010,0.79
Somalia,SOM,2010,0.6
South Africa,ZAF,2010,2
South Korea,KOR,2010,1.24
Spain,ESP,2010,2.13
Sri Lanka,LKA,2010,5.1
Sudan,SDN,2010,0.79
Suriname,SUR,2010,1.36
Sweden,SWE,2010,1.61
Syria,SYR,2010,1.37
Taiwan,TWN,2010,2.1
