Entity,Code,Year,"Percentage of Americans living alone, by year, total (IPUMS) (%)"
Year 1900,,18,0.32366127
Year 1900,,19,0.47053155
Year 1900,,20,0.68903071
Year 1900,,21,0.90678537
Year 1900,,22,0.9634617
Year 1900,,23,1.138548
Year 1900,,24,1.1125293
Year 1900,,25,1.3297296
Year 1900,,26,1.2485067
Year 1900,,27,1.2231714
Year 1900,,28,1.2840724
Year 1900,,29,1.228027
Year 1900,,30,1.4848396
Year 1900,,31,1.2246521
Year 1900,,32,1.3056455
Year 1900,,33,1.3241925
Year 1900,,34,1.3437994
Year 1900,,35,1.6423898
Year 1900,,36,1.2674977
Year 1900,,37,1.3756334
Year 1900,,38,1.4070709
Year 1900,,39,1.5288826
Year 1900,,40,1.8359694
Year 1900,,41,1.4646596
Year 1900,,42,1.5089867
Year 1900,,43,1.4840837
Year 1900,,44,1.4765133
Year 1900,,45,2.1130319
Year 1900,,46,1.6410732
Year 1900,,47,1.7002374
Year 1900,,48,1.9116884
Year 1900,,49,2.0313923
Year 1900,,50,2.6865418
Year 1900,,51,2.1033776
Year 1900,,52,2.1898439
Year 1900,,53,2.2336555
Year 1900,,54,2.5023012
Year 1900,,55,3.0841923
Year 1900,,56,2.6679018
Year 1900,,57,2.7157109
Year 1900,,58,2.9904063
Year 1900,,59,3.3892126
Year 1900,,60,4.2974615
Year 1900,,61,3.8825448
Year 1900,,62,4.1199417
Year 1900,,63,4.0764933
Year 1900,,64,3.9081202
Year 1900,,65,5.2081046
Year 1900,,66,4.6736083
Year 1900,,67,5.1816201
Year 1900,,68,5.0956354
Year 1900,,69,5.5172963
Year 1900,,70,6.3434877
Year 1900,,71,5.6752629
Year 1900,,72,6.0067739
Year 1900,,73,5.7820263
Year 1900,,74,5.6966009
Year 1900,,75,6.198422
Year 1900,,76,7.3431945
Year 1900,,77,6.6603193
Year 1900,,78,7.1323156
Year 1900,,79,7.5321302
Year 1900,,80,7.3624239
Year 1900,,81,7.4943361
Year 1900,,82,6.9934711
Year 1900,,83,6.4722443
Year 1900,,84,6.6152258
Year 1900,,85,7.1029143
Year 1900,,86,4.952888
Year 1900,,87,6.5004854
Year 1900,,88,6.0544095
Year 1900,,89,4.1172104
Year 1920,,18,0.50073725
Year 1920,,19,0.47186753
Year 1920,,20,0.57071245
Year 1920,,21,0.73423553
Year 1920,,22,0.76395166
Year 1920,,23,0.87517381
Year 1920,,24,0.9217822
Year 1920,,25,0.97937554
Year 1920,,26,1.001946
Year 1920,,27,1.0344436
Year 1920,,28,1.1132102
Year 1920,,29,1.0754156
Year 1920,,30,1.3358891
Year 1920,,31,1.0838503
Year 1920,,32,1.3257076
Year 1920,,33,1.2718822
Year 1920,,34,1.4487343
Year 1920,,35,1.6832719
Year 1920,,36,1.45869
Year 1920,,37,1.3226105
Year 1920,,38,1.6150475
Year 1920,,39,1.6442859
Year 1920,,40,2.2470021
Year 1920,,41,1.5669379
Year 1920,,42,1.5960103
Year 1920,,43,1.9374905
Year 1920,,44,1.6112411
Year 1920,,45,2.512579
Year 1920,,46,2.1879437
Year 1920,,47,2.0654542
Year 1920,,48,2.6173928
Year 1920,,49,2.4506342
Year 1920,,50,2.77389
Year 1920,,51,2.5145409
Year 1920,,52,2.8119495
Year 1920,,53,3.0056303
Year 1920,,54,2.9923067
Year 1920,,55,3.6687002
Year 1920,,56,3.7003973
Year 1920,,57,3.8285148
Year 1920,,58,3.5441387
Year 1920,,59,3.7819982
Year 1920,,60,5.0512276
Year 1920,,61,4.4172783
Year 1920,,62,5.4357076
Year 1920,,63,5.119103
Year 1920,,64,5.3333306
Year 1920,,65,6.0205765
Year 1920,,66,5.5862188
Year 1920,,67,5.8564572
Year 1920,,68,6.7321672
Year 1920,,69,6.0734615
Year 1920,,70,7.3282061
Year 1920,,71,6.2391691
Year 1920,,72,8.1353235
Year 1920,,73,8.0018454
Year 1920,,74,7.6136394
Year 1920,,75,8.5680437
Year 1920,,76,6.8547382
Year 1920,,77,8.0553169
Year 1920,,78,7.9135618
Year 1920,,79,7.7849722
Year 1920,,80,9.001956
Year 1920,,81,7.831882
Year 1920,,82,8.1016159
Year 1920,,83,8.497942
Year 1920,,84,7.2776108
Year 1920,,85,6.4778132
Year 1920,,86,5.8334355
Year 1920,,87,3.0584223
Year 1920,,88,5.5596247
Year 1920,,89,6.2839484
Year 1940,,18,0.16829008
Year 1940,,19,0.28399053
Year 1940,,20,0.43934691
Year 1940,,21,0.65781522
Year 1940,,22,0.66394597
Year 1940,,23,0.88370609
Year 1940,,24,1.0447067
Year 1940,,25,1.0877326
Year 1940,,26,1.011646
Year 1940,,27,0.90371418
Year 1940,,28,1.0920138
Year 1940,,29,1.0699215
Year 1940,,30,1.5331241
Year 1940,,31,1.2235416
Year 1940,,32,1.284191
Year 1940,,33,1.491902
Year 1940,,34,1.494766
Year 1940,,35,1.795765
Year 1940,,36,1.7811279
Year 1940,,37,1.6995605
Year 1940,,38,1.8478429
Year 1940,,39,2.2365465
Year 1940,,40,2.2093863
Year 1940,,41,2.005065
Year 1940,,42,2.216768
Year 1940,,43,2.2370365
Year 1940,,44,2.2233312
Year 1940,,45,2.8379397
Year 1940,,46,2.3746529
Year 1940,,47,2.6194401
Year 1940,,48,2.9964476
Year 1940,,49,3.0620861
Year 1940,,50,3.4395435
Year 1940,,51,3.1861284
Year 1940,,52,3.349755
Year 1940,,53,3.493536
Year 1940,,54,3.8137338
Year 1940,,55,4.8672056
Year 1940,,56,4.8652811
Year 1940,,57,4.8664417
Year 1940,,58,5.1637273
Year 1940,,59,5.4868321
Year 1940,,60,6.3179531
Year 1940,,61,6.0317092
Year 1940,,62,6.1361122
Year 1940,,63,6.708602
Year 1940,,64,7.4076695
Year 1940,,65,8.2233038
Year 1940,,66,8.4217033
Year 1940,,67,9.5329409
Year 1940,,68,9.3969727
Year 1940,,69,10.419006
Year 1940,,70,10.454247
Year 1940,,71,10.43634
Year 1940,,72,11.176064
Year 1940,,73,12.345484
Year 1940,,74,11.285363
Year 1940,,75,12.162435
Year 1940,,76,11.235511
Year 1940,,77,11.389522
Year 1940,,78,12.710611
Year 1940,,79,11.847528
Year 1940,,80,12.685733
Year 1940,,81,12.27788
Year 1940,,82,10.711356
Year 1940,,83,10.958308
Year 1940,,84,11.863401
Year 1940,,85,10.064314
Year 1940,,86,10.101807
Year 1940,,87,9.3491545
Year 1940,,88,6.1242986
Year 1940,,89,8.7721777
Year 1960,,18,0.50808835
Year 1960,,19,1.0333772
Year 1960,,20,1.2522459
Year 1960,,21,1.6465194
Year 1960,,22,1.911859
Year 1960,,23,1.964318
Year 1960,,24,2.1047497
Year 1960,,25,2.1553745
Year 1960,,26,2.2264686
Year 1960,,27,2.2912285
Year 1960,,28,2.3274515
Year 1960,,29,2.3917725
Year 1960,,30,2.4077144
Year 1960,,31,2.3570867
Year 1960,,32,2.2778854
Year 1960,,33,2.300741
Year 1960,,34,2.4656227
Year 1960,,35,2.473393
Year 1960,,36,2.3830142
Year 1960,,37,2.4824307
Year 1960,,38,2.566834
Year 1960,,39,2.848973
Year 1960,,40,2.9108005
Year 1960,,41,3.1121199
Year 1960,,42,3.124074
Year 1960,,43,3.3687201
Year 1960,,44,3.7005141
Year 1960,,45,3.8069024
Year 1960,,46,4.0193028
Year 1960,,47,4.244051
Year 1960,,48,4.6582212
Year 1960,,49,5.4166942
Year 1960,,50,5.5225873
Year 1960,,51,5.7649078
Year 1960,,52,6.2776527
Year 1960,,53,6.5439434
Year 1960,,54,7.2993479
Year 1960,,55,7.8800569
Year 1960,,56,8.3941307
Year 1960,,57,8.7816486
Year 1960,,58,9.3310785
Year 1960,,59,10.280283
Year 1960,,60,10.958211
Year 1960,,61,11.518107
Year 1960,,62,12.009369
Year 1960,,63,12.588626
Year 1960,,64,13.311207
Year 1960,,65,14.226142
Year 1960,,66,14.78554
Year 1960,,67,15.619254
Year 1960,,68,16.259237
Year 1960,,69,17.115246
Year 1960,,70,17.897318
Year 1960,,71,18.707575
Year 1960,,72,19.026423
Year 1960,,73,19.581091
Year 1960,,74,20.240475
Year 1960,,75,20.639933
Year 1960,,76,20.691053
Year 1960,,77,21.288033
Year 1960,,78,21.350565
Year 1960,,79,21.246136
Year 1960,,80,21.33116
Year 1960,,81,20.796057
Year 1960,,82,20.225742
Year 1960,,83,19.189127
Year 1960,,84,19.317114
Year 1960,,85,18.742735
Year 1960,,86,17.62763
Year 1960,,87,16.053408
Year 1960,,88,15.650365
Year 1960,,89,14.518483
Year 1980,,18,1.0791981
Year 1980,,19,2.4349909
Year 1980,,20,4.0447688
Year 1980,,21,5.5592036
Year 1980,,22,7.6593108
Year 1980,,23,9.2768841
Year 1980,,24,9.9664879
Year 1980,,25,10.37466
Year 1980,,26,10.249133
Year 1980,,27,10.085257
Year 1980,,28,9.8304052
Year 1980,,29,9.5276995
Year 1980,,30,8.9690161
Year 1980,,31,8.394165
Year 1980,,32,7.8885651
Year 1980,,33,7.306643
Year 1980,,34,6.9873343
Year 1980,,35,6.8420029
Year 1980,,36,6.1510692
Year 1980,,37,5.8592734
Year 1980,,38,5.6572752
Year 1980,,39,5.9062786
Year 1980,,40,5.9464006
Year 1980,,41,5.7515244
Year 1980,,42,5.5961952
Year 1980,,43,5.7752209
Year 1980,,44,5.9379687
Year 1980,,45,6.1046829
Year 1980,,46,6.3156018
Year 1980,,47,6.5231996
Year 1980,,48,6.7679329
Year 1980,,49,7.2756953
Year 1980,,50,7.7496276
Year 1980,,51,8.0976124
Year 1980,,52,8.3898697
Year 1980,,53,8.7471781
Year 1980,,54,9.3072462
Year 1980,,55,9.9476089
Year 1980,,56,10.321854
Year 1980,,57,10.97718
Year 1980,,58,11.581773
Year 1980,,59,12.352173
Year 1980,,60,13.569151
Year 1980,,61,14.102774
Year 1980,,62,15.212089
Year 1980,,63,16.239281
Year 1980,,64,17.304758
Year 1980,,65,18.700823
Year 1980,,66,19.964174
Year 1980,,67,21.2446
Year 1980,,68,22.689751
Year 1980,,69,24.187555
Year 1980,,70,25.083408
Year 1980,,71,26.581018
Year 1980,,72,27.605614
Year 1980,,73,29.25609
Year 1980,,74,30.631298
Year 1980,,75,31.746202
Year 1980,,76,32.596581
Year 1980,,77,33.886753
Year 1980,,78,34.938999
Year 1980,,79,35.181366
Year 1980,,80,36.714165
Year 1980,,81,36.500843
Year 1980,,82,36.16658
Year 1980,,83,35.981117
Year 1980,,84,35.501331
Year 1980,,85,34.521126
Year 1980,,86,34.054302
Year 1980,,87,32.543907
Year 1980,,88,31.563732
Year 1980,,89,29.159912
Year 2000,,18,0.88557899
Year 2000,,19,2.1294532
Year 2000,,20,3.4894004
Year 2000,,21,4.7959294
Year 2000,,22,6.5130763
Year 2000,,23,8.1187983
Year 2000,,24,8.7763672
Year 2000,,25,9.4213161
Year 2000,,26,9.5291939
Year 2000,,27,9.3453026
Year 2000,,28,9.7359133
Year 2000,,29,9.774271
Year 2000,,30,9.7933722
Year 2000,,31,9.1159191
Year 2000,,32,9.0012608
Year 2000,,33,8.8194771
Year 2000,,34,8.8060169
Year 2000,,35,8.8631248
Year 2000,,36,8.5298243
Year 2000,,37,8.4441214
Year 2000,,38,8.6298237
Year 2000,,39,8.6062746
Year 2000,,40,9.1453266
Year 2000,,41,9.0744886
Year 2000,,42,9.356143
Year 2000,,43,9.4936304
Year 2000,,44,9.8429899
Year 2000,,45,10.512973
Year 2000,,46,10.564914
Year 2000,,47,11.051273
Year 2000,,48,11.576382
Year 2000,,49,11.887293
Year 2000,,50,12.417985
Year 2000,,51,12.717776
Year 2000,,52,12.821124
Year 2000,,53,13.265567
Year 2000,,54,13.887875
Year 2000,,55,14.134933
Year 2000,,56,14.421272
Year 2000,,57,14.626211
Year 2000,,58,14.758895
Year 2000,,59,15.178527
Year 2000,,60,15.704637
Year 2000,,61,15.488592
Year 2000,,62,16.324728
Year 2000,,63,16.861536
Year 2000,,64,17.470661
Year 2000,,65,19.229511
Year 2000,,66,19.175064
Year 2000,,67,20.000629
Year 2000,,68,21.033688
Year 2000,,69,21.147758
Year 2000,,70,22.262167
Year 2000,,71,23.251144
Year 2000,,72,24.592381
Year 2000,,73,25.896349
Year 2000,,74,27.385632
Year 2000,,75,28.880363
Year 2000,,76,30.128288
Year 2000,,77,31.012493
Year 2000,,78,32.599171
Year 2000,,79,33.504822
Year 2000,,80,34.902416
Year 2000,,81,35.971851
Year 2000,,82,36.879051
Year 2000,,83,38.280235
Year 2000,,84,38.983017
Year 2000,,85,39.675293
Year 2000,,86,39.991875
Year 2000,,87,40.179287
Year 2000,,88,40.261059
Year 2000,,89,40.842579
Year 2016,,18,0.50550985
Year 2016,,19,1.1873084
Year 2016,,20,2.6786757
Year 2016,,21,3.3864293
Year 2016,,22,5.0319471
Year 2016,,23,6.6090093
Year 2016,,24,7.6367736
Year 2016,,25,8.124033
Year 2016,,26,8.789752
Year 2016,,27,9.454977
Year 2016,,28,9.4536047
Year 2016,,29,9.1458979
Year 2016,,30,9.4703979
Year 2016,,31,8.9143887
Year 2016,,32,9.2730732
Year 2016,,33,8.8258924
Year 2016,,34,8.7699842
Year 2016,,35,8.4982786
Year 2016,,36,8.1153727
Year 2016,,37,7.9286628
Year 2016,,38,7.9248095
Year 2016,,39,7.5564613
Year 2016,,40,8.2110901
Year 2016,,41,7.9326935
Year 2016,,42,7.8033843
Year 2016,,43,8.5352077
Year 2016,,44,8.6376095
Year 2016,,45,9.4477129
Year 2016,,46,9.711545
Year 2016,,47,9.6842785
Year 2016,,48,10.511349
Year 2016,,49,10.639128
Year 2016,,50,12.226289
Year 2016,,51,12.406669
Year 2016,,52,12.56912
Year 2016,,53,13.318169
Year 2016,,54,14.17306
Year 2016,,55,14.870029
Year 2016,,56,15.247671
Year 2016,,57,15.926611
Year 2016,,58,16.702023
Year 2016,,59,16.95867
Year 2016,,60,17.891239
Year 2016,,61,17.719164
Year 2016,,62,18.794466
Year 2016,,63,19.048639
Year 2016,,64,19.397514
Year 2016,,65,20.162132
Year 2016,,66,20.60775
Year 2016,,67,20.524437
Year 2016,,68,20.989964
Year 2016,,69,21.680927
Year 2016,,70,21.868107
Year 2016,,71,22.501993
Year 2016,,72,23.163397
Year 2016,,73,23.422913
Year 2016,,74,24.378963
Year 2016,,75,25.07984
Year 2016,,76,25.088293
Year 2016,,77,26.310495
Year 2016,,78,27.737049
Year 2016,,79,28.296242
Year 2016,,80,29.516426
Year 2016,,81,31.489498
Year 2016,,82,31.142187
Year 2016,,83,32.272514
Year 2016,,84,34.620785
Year 2016,,85,33.719574
Year 2016,,86,37.278061
Year 2016,,87,38.490356
Year 2016,,88,39.698318
Year 2016,,89,39.979752
