Entity,Code,Year,Male (% of male children ages 7-14),Female (% of female children ages 7-14)
Afghanistan,AFG,2011,13.1,5.1
Albania,ALB,2000,41.1191,31.84332
Albania,ALB,2005,25,18.8
Albania,ALB,2010,6.4,4.6
Algeria,DZA,2013,8.46683524603521,6.48955221272624
Angola,AGO,2001,30,30.1
Argentina,ARG,2004,15.7,9.8
Argentina,ARG,2012,6.394649,3.486703
Armenia,ARM,2010,12,7.5
Azerbaijan,AZE,2000,12.01427,7.330279
Azerbaijan,AZE,2005,5.8,4.5
Bangladesh,BGD,2003,20.9036756108,13.9129715635
Bangladesh,BGD,2006,25.7,6.4
Bangladesh,BGD,2013,5.72861,4.224495
Belarus,BLR,2005,12.1,11.2
Belarus,BLR,2012,2,2.6
Benin,BEN,2006,72.8,76.1
Benin,BEN,2012,24.4,23.7
Bolivia,BOL,2002,24,22.5
Bolivia,BOL,2005,23.9,20.1
Bolivia,BOL,2008,33,31.1
Bolivia,BOL,2009,21.8,18.4
Bolivia,BOL,2013,19.89117,20.52219
Bolivia,BOL,2015,15.19,12.59
Bosnia and Herzegovina,BIH,2000,22.8,17.6
Bosnia and Herzegovina,BIH,2006,11.7,9.5
Brazil,BRA,2004,9.4,4.60644
Brazil,BRA,2007,8.1,4
Brazil,BRA,2008,6.9,3.5
Brazil,BRA,2009,6.6,3.3
Brazil,BRA,2011,5.75,2.59
Brazil,BRA,2013,4.297545,2.071282
Brazil,BRA,2014,4.77860482242506,2.20961609178223
Brazil,BRA,2015,3.52,1.53
Burkina Faso,BFA,2003,49,51
Burkina Faso,BFA,2006,49,34.5
Burkina Faso,BFA,2010,55.6,44.8
Burundi,BDI,2000,38.38014,35.67728
Burundi,BDI,2005,12.5,11
Burundi,BDI,2010,31.3,32.4
Cambodia,KHM,2001,52.4,52.1
Cambodia,KHM,2004,49.6,48.1
Cambodia,KHM,2009,35,33.9
Cambodia,KHM,2012,11,12.1
Cameroon,CMR,2001,14.46574,17.40652
Cameroon,CMR,2007,43.5,43.4
Cameroon,CMR,2011,63.6,60.4
Central African Republic,CAF,2000,66.5,67.6
Central African Republic,CAF,2010,36.6,37.9
Chad,TCD,2004,64.4,56.2
Chad,TCD,2010,32.1,34.2
Chad,TCD,2015,56.7090705335878,55.0893846020297
Chile,CHL,2003,5.1,3.1
Chile,CHL,2012,6.2,2.8
Colombia,COL,2005,6.2,1.8
Colombia,COL,2007,5.3,2.3
Colombia,COL,2009,8.29,4.39
Colombia,COL,2012,9.5,4.7
Colombia,COL,2014,8.569861,4.455055
Colombia,COL,2015,6.92,4.1
Congo,COG,2005,29.9,30.183
Congo,COG,2012,31.4,31.6
Costa Rica,CRI,2004,8.1,3.5
Costa Rica,CRI,2011,3.4,1.6
Costa Rica,CRI,2016,1.94,0.63
Cote d'Ivoire,CIV,2000,40.9,40.5
Cote d'Ivoire,CIV,2006,47.7,43.6
Cote d'Ivoire,CIV,2012,36.6,36.4
Democratic Republic of Congo,COD,2000,39.9,39.8
Democratic Republic of Congo,COD,2007,29.5,31.5
Democratic Republic of Congo,COD,2010,19.5,21.4
Democratic Republic of Congo,COD,2014,39.1563205839221,43.6084959730716
Dominican Republic,DOM,2002,5.9,0.9
Dominican Republic,DOM,2005,9,2.7
Dominican Republic,DOM,2009,19.85296,7.873248
Dominican Republic,DOM,2012,3.854917,1.405777
Dominican Republic,DOM,2014,15.7139390262961,10.3160329660876
Ecuador,ECU,2004,14.6,9.3
Ecuador,ECU,2006,16.9,11.6
Ecuador,ECU,2009,7.4,5.2
Ecuador,ECU,2011,3.8,2.5
Ecuador,ECU,2015,5.911136,5.179114
Egypt,EGY,2005,11.5,4.3
Egypt,EGY,2009,4.8,0.9
El Salvador,SLV,2003,17.0550538663,8.1127204865
El Salvador,SLV,2007,10.1,3.8
El Salvador,SLV,2009,10.6,4.1
El Salvador,SLV,2011,10.35156,4.357373
El Salvador,SLV,2012,10,4
El Salvador,SLV,2013,10.94549,4.569547
Ethiopia,ETH,2005,64.3,47.1
Ethiopia,ETH,2011,32.5,19.5
Gabon,GAB,2012,25.6,22.6
Gambia,GMB,2000,25.36261,25.27115
Gambia,GMB,2005,33.9,52.3
Gambia,GMB,2008,37.6,34.3
Gambia,GMB,2015,26.19,21.24
Georgia,GEO,2006,33.6,29.9
Ghana,GHA,2003,6,5.9
Ghana,GHA,2006,49.9,48
Ghana,GHA,2012,28.83964,28.67899
Guatemala,GTM,2003,26.2,16
Guatemala,GTM,2004,23.1,10.5
Guatemala,GTM,2006,24.5,11.7
Guatemala,GTM,2012,26.6,11.4
Guatemala,GTM,2014,14.6219,6.323827
Guatemala,GTM,2015,10.0378030108829,4.24633155138556
Guinea,GIN,1994,47.2,49.5
Guinea,GIN,2010,45.1,44.7
Guinea,GIN,2012,40.3,35.9
Guinea-Bissau,GNB,2000,67.4,67.5
Guinea-Bissau,GNB,2006,52.8,48.1
Guinea-Bissau,GNB,2014,65.3495248300313,62.4593338755161
Haiti,HTI,2006,37.3,29.6
Haiti,HTI,2012,40.3,35.2
Honduras,HND,2004,10.4,3.2
Honduras,HND,2007,13.3,4.1
Honduras,HND,2011,12.4,3
Honduras,HND,2013,14.6,3.8
Honduras,HND,2014,15.11724,5.753953
India,IND,2000,5.3,5.1
India,IND,2005,4.2,4.2
India,IND,2006,17.4,13.1
India,IND,2010,2.8,2.1
India,IND,2012,1.9,1.6
Indonesia,IDN,2000,8.777495,9.101751
Indonesia,IDN,2009,7,6.2
Indonesia,IDN,2010,4.2,3.2
Iraq,IRQ,2000,17.44824,9.674926
Iraq,IRQ,2006,17.9,11.3
Iraq,IRQ,2011,8.3,4.3
Jamaica,JAM,2002,1.5,0.6
Jamaica,JAM,2005,11.3,8.3
Jamaica,JAM,2011,6.4,6
Jordan,JOR,2007,1.6,0.4
Jordan,JOR,2016,2.01,0.4
Kazakhstan,KAZ,1996,30.3,29.1
Kazakhstan,KAZ,2006,4.4,2.8
Kenya,KEN,1999,6.9,6.4
Kenya,KEN,2000,40.1,35.2
Kenya,KEN,2009,34.9416710075228,33.9214473789197
Kyrgyzstan,KGZ,1998,9.7,7.6
Kyrgyzstan,KGZ,2006,5.8,4.6
Kyrgyzstan,KGZ,2007,37.5,35.6
Kyrgyzstan,KGZ,2014,47.2424449040143,33.7031322400892
Laos,LAO,2006,17.9,19.2
Laos,LAO,2010,7.6,9.7
Lesotho,LSO,2000,34.18427,27.52267
Lesotho,LSO,2002,4,1.3
Liberia,LBR,2007,37.8,37.1
Liberia,LBR,2010,21.7,15
Macedonia,MKD,2006,14.8,8.6
Macedonia,MKD,2011,20.3,19.2
Madagascar,MDG,2001,26.12072,25.13218
Madagascar,MDG,2007,27.7,24.2
Malawi,MWI,2004,45,40.3
Malawi,MWI,2006,41.3,39.4
Malawi,MWI,2011,26.3,23.8
Malawi,MWI,2014,50.88541,44.3497
Malawi,MWI,2015,50.79,47
Mali,MLI,2005,64.4,39.4
Mali,MLI,2006,55,44.1
Mali,MLI,2007,24.2,21.6
Mali,MLI,2013,32.3,27
Mauritania,MRT,2007,23.9,18.6
Mauritania,MRT,2011,16.41397,12.77774
Mexico,MEX,2004,12.2,5.6
Mexico,MEX,2007,10.9,5.6
Mexico,MEX,2009,16.5,7.6
Mexico,MEX,2010,11.3,4.7
Mexico,MEX,2011,9.1,4.4
Mexico,MEX,2013,7.350553,3.795669
Moldova,MDA,2000,34.121,32.8
Moldova,MDA,2009,34.5,23
Mongolia,MNG,2000,23.47364,20.59043
Mongolia,MNG,2005,14.1,10.7
Mongolia,MNG,2007,11.4,8.6
Mongolia,MNG,2012,16.5,15.5
Mongolia,MNG,2013,17.2155760816837,12.176944811783
Morocco,MAR,1999,13.5,12.8
Morocco,MAR,2004,6,3
Mozambique,MOZ,1996,1.9,1.7
Mozambique,MOZ,2008,27.2,27.7
Namibia,NAM,1999,16.1932208973685,14.6857321465481
Nepal,NPL,1999,42.2,52.4
Nepal,NPL,2008,36.2,45.4
Nepal,NPL,2014,41.5049127269705,44.0913556662385
Nicaragua,NIC,2001,17.5197539097,6.4996287654
Nicaragua,NIC,2005,16.2,3.9
Nicaragua,NIC,2010,40.5,21.2
Nicaragua,NIC,2012,56.22113,38.95829
Niger,NER,2007,49.2,45
Niger,NER,2009,52.6,57.7
Niger,NER,2012,50.3,46.7
Nigeria,NGA,2007,41.2,40.1
Nigeria,NGA,2010,23.3,18.7
Nigeria,NGA,2011,34.07294,36.04485
Pakistan,PAK,2008,15.6,16.2
Pakistan,PAK,2011,12.5,13.5
Panama,PAN,2003,7.7,2.2
Panama,PAN,2008,12.1,5.4
Panama,PAN,2010,7.5,3.1
Panama,PAN,2012,5.4,3.5
Panama,PAN,2014,7.020013,4.133818
Paraguay,PRY,2005,22.6,7.7
Paraguay,PRY,2014,15.70421,4.736176
Peru,PER,2000,25.7,22.3
Peru,PER,2007,44.8,39.4
Peru,PER,2011,21.9,19.4
Peru,PER,2014,27.37085,24.79848
Peru,PER,2015,23.1219325657262,21.9941019785013
Philippines,PHL,2001,16.26185,10.04384
Philippines,PHL,2011,10.9,7.2
Portugal,PRT,2001,4.58618580669755,2.63149165339076
Romania,ROU,2000,1.7,1.1
Rwanda,RWA,2000,36.1,30.3
Rwanda,RWA,2008,8,7
Rwanda,RWA,2010,18.4,19.8
Rwanda,RWA,2011,4.992462,5.009021
Rwanda,RWA,2014,6,5.7
Senegal,SEN,2005,24.4,12.6
Senegal,SEN,2011,17.6,8.7
Senegal,SEN,2015,37.2640556863648,13.0532759871257
Serbia,SRB,2005,7.2,6.6
Serbia,SRB,2014,23.42707,12.88802
Sierra Leone,SLE,2000,64.7,65.4
Sierra Leone,SLE,2005,63.6,61.8
Sierra Leone,SLE,2007,14.9,14.9
Sierra Leone,SLE,2008,55,52.5
Sierra Leone,SLE,2010,40.8,39.1
Sierra Leone,SLE,2013,60.7,57.5
Somalia,SOM,2006,45.5,41.5
South Africa,ZAF,1999,29,26.4
South Sudan,SSD,2008,45.6,45.7
Sri Lanka,LKA,1999,20.4,13.4
Sri Lanka,LKA,2009,13,8.5
Sudan,SDN,2000,21.45267,16.78005
Sudan,SDN,2008,15.2,9.5
Sudan,SDN,2014,34.2583960979143,26.8674516848202
Swaziland,SWZ,2000,11.4,10.9
Swaziland,SWZ,2010,14.5,12.1
Syrian Arab Republic,,2006,8.8,4.3
Tajikistan,TJK,1999,7.9,6.8
Tajikistan,TJK,2005,8.7,9.1
Tanzania,TZA,2001,41.4733688044,39.2195644612
Tanzania,TZA,2006,35,27.1
Tanzania,TZA,2011,30.8,28.1
Tanzania,TZA,2014,35.26557,34.17038
Thailand,THA,2005,15.7,14.4
Thailand,THA,2006,15.7,14.4
Timor,TLS,2001,7.1,8.1
Timor,TLS,2007,22.2,17.7
Togo,TGO,2006,39.84446,37.4305
Togo,TGO,2010,50.3,47
Togo,TGO,2014,37.0804016326208,33.0719731364292
Trinidad and Tobago,TTO,2000,5.2,2.8
Trinidad and Tobago,TTO,2006,4.1,2.7
Tunisia,TUN,2012,3.9,2.7
Turkey,TUR,1999,5.2047754395,3.8463579373
Turkey,TUR,2006,3.3,1.8
Uganda,UGA,2006,39.82124,36.49879
Uganda,UGA,2012,37.1,36.3
Ukraine,UKR,2005,18,16.6
Ukraine,UKR,2012,5.1,5
Uruguay,URY,2009,9.4,5
Uzbekistan,UZB,2000,21.99937,13.98417
Uzbekistan,UZB,2005,5.3,4.9
Uzbekistan,UZB,2006,5.3,4.9
Venezuela,VEN,2003,11.4,6.6
Venezuela,VEN,2005,7.1,3.6
Venezuela,VEN,2006,6.9,3.3
Venezuela,VEN,2013,5.368505,2.389926
Vietnam,VNM,2006,21,21.6
Vietnam,VNM,2011,12.5,13.5
Vietnam,VNM,2012,11.7,10.1
Yemen,YEM,1999,12.38181,13.97018
Yemen,YEM,2006,20.7,15.9
Yemen,YEM,2010,17.1,15
Zambia,ZMB,2005,48.9289,46.76866
Zambia,ZMB,2008,35.4,33.3
Zimbabwe,ZWE,1999,15.3,13.3
