Entity,Code,Year,"Percentage of teachers in lower secondary education who are qualified, both sexes (%) (%)"
Albania,ALB,2013,90.53899
Albania,ALB,2014,91.82078
Bahrain,BHR,2013,96.71327
Bahrain,BHR,2014,97.14421
Bangladesh,BGD,2013,98.22174
Belarus,BLR,2014,98.14112
Belize,BLZ,2013,41.16875
Belize,BLZ,2014,45.52632
Benin,BEN,2014,72.08113
Bermuda,BMU,2014,100
Brunei,BRN,2014,83.49515
Burundi,BDI,2014,71.06829
Cambodia,KHM,2013,100
Cambodia,KHM,2014,100
Cameroon,CMR,2013,33.01315
Cape Verde,CPV,2014,73.10377
Colombia,COL,2013,96.90964
Colombia,COL,2014,98.1918
Cuba,CUB,2013,83.35577
Cuba,CUB,2014,82.32616
Djibouti,DJI,2014,100
Djibouti,DJI,2015,100
Dominica,DMA,2014,46.15385
Dominican Republic,DOM,2013,81.26828
Dominican Republic,DOM,2014,81.28488
Egypt,EGY,2013,78.41023
Egypt,EGY,2014,83.99298
Eritrea,ERI,2013,85.73624
Gambia,GMB,2014,90.45656
Ghana,GHA,2014,65.79701
Ghana,GHA,2015,69.80592
Grenada,GRD,2014,40.55202
Iran,IRN,2013,99.9825
Iran,IRN,2014,99.6457
Kiribati,KIR,2014,91.77719
Laos,LAO,2013,84.75599
Laos,LAO,2014,86.71497
Macao,MAC,2013,100
Macao,MAC,2014,100
Madagascar,MDG,2014,93.96901
Maldives,MDV,2013,98.92892
Maldives,MDV,2014,92.80598
Mozambique,MOZ,2013,73.79632
Nepal,NPL,2014,78.6208
Nepal,NPL,2015,81.58287
Niger,NER,2013,100
Niger,NER,2014,100
Palestine,PSE,2013,27.66555
Palestine,PSE,2014,29.98505
Panama,PAN,2013,100
Puerto Rico,PRI,2013,100
Qatar,QAT,2013,100
Qatar,QAT,2014,100
Saudi Arabia,SAU,2013,100
Saudi Arabia,SAU,2014,100
Serbia,SRB,2013,100
Serbia,SRB,2014,100
Sierra Leone,SLE,2013,56.98316
Sri Lanka,LKA,2013,89.13144
Suriname,SUR,2013,2.61274
Suriname,SUR,2014,86.13599
Vanuatu,VUT,2013,72.80285
Vietnam,VNM,2013,91.45416
Vietnam,VNM,2014,99.3273
