Entity,Code,Year,"Percentage of teachers in primary education who are qualified, both sexes (%) (%)"
Albania,ALB,2013,68.22726
Albania,ALB,2014,72.47414
Andorra,AND,2013,100
Andorra,AND,2014,100
Bahrain,BHR,2013,95.99429
Bahrain,BHR,2014,96.26799
Barbados,BRB,2014,100
Belarus,BLR,2014,99.43707
Belize,BLZ,2013,46.50064
Belize,BLZ,2014,28.82378
Benin,BEN,2013,66.97951
Benin,BEN,2014,100
Bermuda,BMU,2014,100
Botswana,BWA,2012,99.53284
Botswana,BWA,2013,98.63651
Brunei,BRN,2014,47.82717
Burkina Faso,BFA,2013,85.58639
Burundi,BDI,2013,94.04415
Burundi,BDI,2014,91.44112
Cambodia,KHM,2013,100
Cambodia,KHM,2014,100
Cameroon,CMR,2014,57.51456
Cape Verde,CPV,2014,91.23103
Cayman Islands,CYM,2013,88.11881
Colombia,COL,2013,92.25733
Colombia,COL,2014,94.25102
Comoros,COM,2013,75.05784
Cote d'Ivoire,CIV,2013,89.55503
Cote d'Ivoire,CIV,2014,88.27089
Cuba,CUB,2013,80.43943
Cuba,CUB,2014,81.39035
Democratic Republic of Congo,COD,2014,100
Djibouti,DJI,2014,83.46253
Djibouti,DJI,2015,100
Dominica,DMA,2013,91.68242
Dominica,DMA,2014,64.81481
Dominican Republic,DOM,2013,81.26603
Dominican Republic,DOM,2014,81.26632
Egypt,EGY,2013,83.75706
Egypt,EGY,2014,85.15631
Eritrea,ERI,2013,99.67742
Ethiopia,ETH,2014,54.3563
Gambia,GMB,2014,84.1104
Ghana,GHA,2014,50.02265
Ghana,GHA,2015,54.69452
Grenada,GRD,2013,53.71429
Grenada,GRD,2014,48.66962
Guinea,GIN,2013,74.1184
Guinea,GIN,2014,70.69693
Hong Kong,HKG,2013,100
Hong Kong,HKG,2014,100
Iran,IRN,2013,100
Iran,IRN,2014,100
Jamaica,JAM,2013,69.75549
Jamaica,JAM,2014,95.66155
Kazakhstan,KAZ,2014,100
Kazakhstan,KAZ,2015,100
Kiribati,KIR,2014,96.90554
Kuwait,KWT,2013,76.42531
Kuwait,KWT,2014,77.36805
Kyrgyzstan,KGZ,2013,73.02015
Kyrgyzstan,KGZ,2014,73.69432
Laos,LAO,2013,78.90181
Laos,LAO,2014,82.62515
Lesotho,LSO,2013,72.03285
Lesotho,LSO,2014,75.7858
Macao,MAC,2013,100
Macao,MAC,2014,100
Madagascar,MDG,2014,99.30696
Malaysia,MYS,2013,100
Malaysia,MYS,2014,100
Maldives,MDV,2013,90.1202
Maldives,MDV,2014,86.05711
Mauritius,MUS,2013,100
Mauritius,MUS,2014,100
Mongolia,MNG,2013,99.57279
Mongolia,MNG,2014,97.93064
Morocco,MAR,2013,100
Morocco,MAR,2014,100
Mozambique,MOZ,2013,87.32589
Mozambique,MOZ,2014,89.95685
Nauru,NRU,2014,50
Nepal,NPL,2014,91.89711
Nepal,NPL,2015,93.85137
Niger,NER,2013,100
Niger,NER,2014,100
Palestine,PSE,2013,43.93159
Palestine,PSE,2014,46.79377
Panama,PAN,2013,100
Paraguay,PRY,2012,86.61728
Peru,PER,2013,85.54092
Peru,PER,2014,84.42413
Philippines,PHL,2013,99.43544
Puerto Rico,PRI,2013,100
Qatar,QAT,2013,100
Qatar,QAT,2014,100
Saint Kitts and Nevis,KNA,2013,100
Saint Kitts and Nevis,KNA,2014,100
Saint Vincent and the Grenadines,VCT,2014,16.23832
Saudi Arabia,SAU,2013,100
Saudi Arabia,SAU,2014,100
Senegal,SEN,2014,100
Serbia,SRB,2013,100
Serbia,SRB,2014,100
Seychelles,SYC,2014,76.35328
Sierra Leone,SLE,2013,51.92808
Sint Maarten (Dutch part),SXM,2012,95.91195
Sint Maarten (Dutch part),SXM,2014,68.91496
Solomon Islands,SLB,2013,67.84836
Solomon Islands,SLB,2014,68.63917
Sri Lanka,LKA,2013,92.74474
Suriname,SUR,2013,93.56199
Suriname,SUR,2014,94.13611
Swaziland,SWZ,2013,65.78112
Tajikistan,TJK,2014,94.05272
Tajikistan,TJK,2015,94.88727
Tanzania,TZA,2013,98.98621
Thailand,THA,2014,100
Togo,TGO,2013,66.29527
Tonga,TON,2013,99.55224
Tunisia,TUN,2013,100
Tunisia,TUN,2014,100
Turks and Caicos Islands,TCA,2015,90.41096
Ukraine,UKR,2013,84.30305
Ukraine,UKR,2014,84.75552
United Arab Emirates,ARE,2013,100
United Arab Emirates,ARE,2014,100
Vanuatu,VUT,2013,70.09298
Vietnam,VNM,2013,89.17815
Vietnam,VNM,2014,99.70617
Zambia,ZMB,2013,65.90218
Zimbabwe,ZWE,2013,74.29868
