Entity,Code,Year,,
World,OWID_WRL,1900,100,100
World,OWID_WRL,1901,108.5597967,98.5097782
World,OWID_WRL,1902,82.44910921,85.63706089
World,OWID_WRL,1903,87.29401646,89.31512049
World,OWID_WRL,1904,103.9409797,92.21994694
World,OWID_WRL,1905,110.678936,92.23912741
World,OWID_WRL,1906,93.49070699,107.1252041
World,OWID_WRL,1907,122.1284921,116.9757148
World,OWID_WRL,1908,75.83799169,121.5072388
World,OWID_WRL,1909,101.561416,118.7732421
World,OWID_WRL,1910,78.2929018,101.1885095
World,OWID_WRL,1911,86.22981109,96.0182937
World,OWID_WRL,1912,83.95964895,94.79628688
World,OWID_WRL,1913,78.85495941,89.51248994
World,OWID_WRL,1914,80.93548402,82.13339024
World,OWID_WRL,1915,116.2642714,68.67182179
World,OWID_WRL,1916,583.3848319,63.5057429
World,OWID_WRL,1917,452.2898724,53.23767296
World,OWID_WRL,1918,376.7901504,49.68488491
World,OWID_WRL,1919,162.569395,67.8914476
World,OWID_WRL,1920,118.7032328,69.13155939
World,OWID_WRL,1921,90.67285698,75.24311506
World,OWID_WRL,1922,46.83982142,58.67943156
World,OWID_WRL,1923,46.45211454,51.13840057
World,OWID_WRL,1924,43.68981815,47.33798112
World,OWID_WRL,1925,43.11287195,42.94163662
World,OWID_WRL,1926,51.65854036,43.42759812
World,OWID_WRL,1927,55.77838941,46.34040671
World,OWID_WRL,1928,52.14791357,46.990018
World,OWID_WRL,1929,55.61961933,47.38711674
World,OWID_WRL,1930,56.30984606,48.47089927
World,OWID_WRL,1931,63.0464786,54.48950333
World,OWID_WRL,1932,64.66925619,55.77338345
World,OWID_WRL,1933,58.02868444,55.28690668
World,OWID_WRL,1934,51.44619386,59.94361236
World,OWID_WRL,1935,37.35844915,60.77367866
World,OWID_WRL,1936,43.71240125,55.62196564
World,OWID_WRL,1937,42.7080551,51.79122641
World,OWID_WRL,1938,45.63682264,55.67812252
World,OWID_WRL,1939,38.35528774,53.37924928
World,OWID_WRL,1940,30.1131192,49.77597579
