Entity,Code,Year,"Political competition (How Was Life, OECD (2014)) (%)"
East Asia,,1820,0
East Asia,,1821,0
East Asia,,1822,0
East Asia,,1823,0
East Asia,,1824,0
East Asia,,1825,0
East Asia,,1826,0
East Asia,,1827,0
East Asia,,1828,0
East Asia,,1829,0
East Asia,,1830,0
East Asia,,1831,0
East Asia,,1832,0
East Asia,,1833,0
East Asia,,1834,0
East Asia,,1835,0
East Asia,,1836,0
East Asia,,1837,0
East Asia,,1838,0
East Asia,,1839,0
East Asia,,1840,0
East Asia,,1841,0
East Asia,,1842,0
East Asia,,1843,0
East Asia,,1844,0
East Asia,,1845,0
East Asia,,1846,0
East Asia,,1847,0
East Asia,,1848,0
East Asia,,1849,0
East Asia,,1850,0
East Asia,,1851,0
East Asia,,1852,0
East Asia,,1853,0
East Asia,,1854,0
East Asia,,1855,0
East Asia,,1856,0
East Asia,,1857,0
East Asia,,1858,0
East Asia,,1859,0
East Asia,,1860,0
East Asia,,1861,0
East Asia,,1862,0
East Asia,,1863,0
East Asia,,1864,0
East Asia,,1865,0
East Asia,,1866,0
East Asia,,1867,0
East Asia,,1868,0
East Asia,,1869,0
East Asia,,1870,0
East Asia,,1871,0
East Asia,,1872,0
East Asia,,1873,0
East Asia,,1874,0
East Asia,,1875,0
East Asia,,1876,0
East Asia,,1877,0
East Asia,,1878,0
East Asia,,1879,0
East Asia,,1880,0
East Asia,,1881,0
East Asia,,1882,0
East Asia,,1883,0
East Asia,,1884,0
East Asia,,1885,0
East Asia,,1886,0
East Asia,,1887,0
East Asia,,1888,0
East Asia,,1889,0
East Asia,,1890,2.7
East Asia,,1891,2.7
East Asia,,1892,2.0999999
East Asia,,1893,2.0999999
East Asia,,1894,2.0999999
East Asia,,1895,2.0999999
East Asia,,1896,2.0999999
East Asia,,1897,2.0999999
East Asia,,1898,1.6
East Asia,,1899,1.7
East Asia,,1900,1.7
East Asia,,1901,1.7
East Asia,,1902,2.5
East Asia,,1903,2.4000001
East Asia,,1904,2.5
East Asia,,1905,2.5
East Asia,,1906,2.5
East Asia,,1907,2.5
East Asia,,1908,2.4000001
East Asia,,1909,2.4000001
East Asia,,1910,2.4000001
East Asia,,1911,2.4000001
East Asia,,1912,24.1
East Asia,,1913,43.599998
East Asia,,1914,2.4000001
East Asia,,1915,3.0999999
East Asia,,1916,3.0999999
East Asia,,1917,2.9000001
East Asia,,1918,2.9000001
East Asia,,1919,2.9000001
East Asia,,1920,2
East Asia,,1921,2
East Asia,,1922,2
East Asia,,1923,2.0999999
East Asia,,1924,3.5999999
East Asia,,1925,3.5999999
East Asia,,1926,3.5999999
East Asia,,1927,3.7
East Asia,,1928,2.9000001
East Asia,,1929,3
East Asia,,1930,2.3
East Asia,,1931,2.3
East Asia,,1932,2.9000001
East Asia,,1933,2.9000001
East Asia,,1934,3
East Asia,,1935,3
East Asia,,1936,3.5
East Asia,,1937,3.9000001
East Asia,,1938,3.9000001
East Asia,,1939,3.9000001
East Asia,,1940,3.9000001
East Asia,,1941,4
East Asia,,1942,1.1
East Asia,,1943,1.1
East Asia,,1944,1.1
East Asia,,1945,8.6000004
East Asia,,1946,8.6999998
East Asia,,1947,16.200001
East Asia,,1948,17.4
East Asia,,1949,8.3000002
East Asia,,1950,7.9000001
East Asia,,1951,9
East Asia,,1952,9.3000002
East Asia,,1953,9.5
East Asia,,1954,8.8000002
East Asia,,1955,8.8000002
East Asia,,1956,6.5999999
East Asia,,1957,6.5999999
East Asia,,1958,6.5999999
East Asia,,1959,6.5999999
East Asia,,1960,6
East Asia,,1961,5.5999999
East Asia,,1962,5.5
East Asia,,1963,7.3000002
East Asia,,1964,7.3000002
East Asia,,1965,7.8000002
East Asia,,1966,7.6999998
East Asia,,1967,7.5999999
East Asia,,1968,7.5999999
East Asia,,1969,7.5
East Asia,,1970,7.5
East Asia,,1971,7.4000001
East Asia,,1972,5.6999998
East Asia,,1973,5.6999998
East Asia,,1974,6.1999998
East Asia,,1975,6.1999998
East Asia,,1976,6.0999999
East Asia,,1977,5.8000002
East Asia,,1978,5.4000001
East Asia,,1979,5.4000001
East Asia,,1980,5.9000001
East Asia,,1981,6.3000002
East Asia,,1982,6.1999998
East Asia,,1983,6.1999998
East Asia,,1984,5.8000002
East Asia,,1985,5.6999998
East Asia,,1986,5.6999998
East Asia,,1987,7
East Asia,,1988,7.3000002
East Asia,,1989,7.1999998
East Asia,,1990,7.1999998
East Asia,,1991,8.1000004
East Asia,,1992,7.9000001
East Asia,,1993,7.9000001
East Asia,,1994,7.5999999
East Asia,,1995,7.5999999
East Asia,,1996,7.5999999
East Asia,,1997,7.5999999
East Asia,,1998,6.6999998
East Asia,,1999,2.0999999
East Asia,,2000,2
Eastern Europe,,1820,0
Eastern Europe,,1821,0
Eastern Europe,,1822,0
Eastern Europe,,1823,0
Eastern Europe,,1824,0
Eastern Europe,,1825,0
Eastern Europe,,1826,0
Eastern Europe,,1827,0
Eastern Europe,,1828,0
Eastern Europe,,1829,0
Eastern Europe,,1830,0
Eastern Europe,,1831,0
Eastern Europe,,1832,0
Eastern Europe,,1833,0
Eastern Europe,,1834,0
Eastern Europe,,1835,0
Eastern Europe,,1836,0
Eastern Europe,,1837,0
Eastern Europe,,1838,0
Eastern Europe,,1839,0
Eastern Europe,,1840,0
Eastern Europe,,1841,0
Eastern Europe,,1842,0
Eastern Europe,,1843,0
Eastern Europe,,1844,0
Eastern Europe,,1845,0
Eastern Europe,,1846,0
Eastern Europe,,1847,0
Eastern Europe,,1848,0
Eastern Europe,,1849,0
Eastern Europe,,1850,0
Eastern Europe,,1851,0
Eastern Europe,,1852,0
Eastern Europe,,1853,0
Eastern Europe,,1854,0
Eastern Europe,,1855,0
Eastern Europe,,1856,0
Eastern Europe,,1857,0
Eastern Europe,,1858,0
Eastern Europe,,1859,0
Eastern Europe,,1860,0
Eastern Europe,,1861,0
Eastern Europe,,1862,0
Eastern Europe,,1863,0
Eastern Europe,,1864,0
Eastern Europe,,1865,0
Eastern Europe,,1866,0
Eastern Europe,,1867,0
Eastern Europe,,1868,0
Eastern Europe,,1869,5.5
Eastern Europe,,1870,5.5
Eastern Europe,,1871,6.3000002
Eastern Europe,,1872,5.3000002
Eastern Europe,,1873,2.7
Eastern Europe,,1874,1.5
Eastern Europe,,1875,1.2
Eastern Europe,,1876,1.6
Eastern Europe,,1877,1.6
Eastern Europe,,1878,2.5999999
Eastern Europe,,1879,3.7
Eastern Europe,,1880,3.5999999
Eastern Europe,,1881,3.5
Eastern Europe,,1882,3.5
Eastern Europe,,1883,3.5
Eastern Europe,,1884,3.2
Eastern Europe,,1885,3.2
Eastern Europe,,1886,3.7
Eastern Europe,,1887,3.7
Eastern Europe,,1888,3.7
Eastern Europe,,1889,3.7
Eastern Europe,,1890,3.5999999
Eastern Europe,,1891,4
Eastern Europe,,1892,4
Eastern Europe,,1893,3.5999999
Eastern Europe,,1894,3.5999999
Eastern Europe,,1895,3.5999999
Eastern Europe,,1896,4.0999999
Eastern Europe,,1897,4
Eastern Europe,,1898,4.0999999
Eastern Europe,,1899,4.5999999
Eastern Europe,,1900,4.5999999
Eastern Europe,,1901,4.4000001
Eastern Europe,,1902,4.3000002
Eastern Europe,,1903,4.3000002
Eastern Europe,,1904,4.3000002
Eastern Europe,,1905,5.0999999
Eastern Europe,,1906,4.3000002
Eastern Europe,,1907,4.0999999
Eastern Europe,,1908,4.4000001
Eastern Europe,,1909,4.3000002
Eastern Europe,,1910,5.5
Eastern Europe,,1911,5.9000001
Eastern Europe,,1912,5.9000001
Eastern Europe,,1913,6.0999999
Eastern Europe,,1914,5.0999999
Eastern Europe,,1915,5.0999999
Eastern Europe,,1916,5
Eastern Europe,,1917,5
Eastern Europe,,1918,5.8000002
Eastern Europe,,1919,12
Eastern Europe,,1920,12.9
Eastern Europe,,1921,13.2
Eastern Europe,,1922,15
Eastern Europe,,1923,12.5
Eastern Europe,,1924,12.3
Eastern Europe,,1925,12.4
Eastern Europe,,1926,5.8000002
Eastern Europe,,1927,5.8000002
Eastern Europe,,1928,10.1
Eastern Europe,,1929,10.1
Eastern Europe,,1930,8.6000004
Eastern Europe,,1931,13.1
Eastern Europe,,1932,13.2
Eastern Europe,,1933,14.3
Eastern Europe,,1934,12.7
Eastern Europe,,1935,11.8
Eastern Europe,,1936,11.9
Eastern Europe,,1937,12.2
Eastern Europe,,1938,10.3
Eastern Europe,,1939,0.60000002
Eastern Europe,,1940,0.5
Eastern Europe,,1941,0.5
Eastern Europe,,1942,0.5
Eastern Europe,,1943,0.5
Eastern Europe,,1944,0
Eastern Europe,,1945,1.7
Eastern Europe,,1946,3.3
Eastern Europe,,1947,4.6999998
Eastern Europe,,1948,0.40000001
Eastern Europe,,1949,0.69999999
Eastern Europe,,1950,0.69999999
Eastern Europe,,1951,0.69999999
Eastern Europe,,1952,0.30000001
Eastern Europe,,1953,0.30000001
Eastern Europe,,1954,0.2
Eastern Europe,,1955,0.2
Eastern Europe,,1956,0.2
Eastern Europe,,1957,0.30000001
Eastern Europe,,1958,0.30000001
Eastern Europe,,1959,0.30000001
Eastern Europe,,1960,0.30000001
Eastern Europe,,1961,0.2
Eastern Europe,,1962,0.2
Eastern Europe,,1963,0.2
Eastern Europe,,1964,0.2
Eastern Europe,,1965,0.2
Eastern Europe,,1966,0.2
Eastern Europe,,1967,0.2
Eastern Europe,,1968,0.2
Eastern Europe,,1969,0.2
Eastern Europe,,1970,0.2
Eastern Europe,,1971,0.1
Eastern Europe,,1972,0.1
Eastern Europe,,1973,0.1
Eastern Europe,,1974,0
Eastern Europe,,1975,0.1
Eastern Europe,,1976,0.1
Eastern Europe,,1977,6.6999998
Eastern Europe,,1978,6.6999998
Eastern Europe,,1979,6.8000002
Eastern Europe,,1980,6.8000002
Eastern Europe,,1981,6.8000002
Eastern Europe,,1982,5.3000002
Eastern Europe,,1983,5.1999998
Eastern Europe,,1984,5.1999998
Eastern Europe,,1985,5.3000002
Eastern Europe,,1986,5.6999998
Eastern Europe,,1987,5.5999999
Eastern Europe,,1988,5.5999999
Eastern Europe,,1989,16.1
Eastern Europe,,1990,19.1
Eastern Europe,,1991,35.099998
Eastern Europe,,1992,36.900002
Eastern Europe,,1993,28.299999
Eastern Europe,,1994,30.299999
Eastern Europe,,1995,31.299999
Eastern Europe,,1996,32.400002
Eastern Europe,,1997,31.4
Eastern Europe,,1998,32
Eastern Europe,,1999,31.5
Eastern Europe,,2000,30.5
Latin America and Caribbean,,1820,0
Latin America and Caribbean,,1821,0
Latin America and Caribbean,,1822,0
Latin America and Caribbean,,1823,0
Latin America and Caribbean,,1824,0
Latin America and Caribbean,,1825,0
Latin America and Caribbean,,1826,0
Latin America and Caribbean,,1827,0
Latin America and Caribbean,,1828,0
Latin America and Caribbean,,1829,0
Latin America and Caribbean,,1830,0
Latin America and Caribbean,,1831,0
Latin America and Caribbean,,1832,0
Latin America and Caribbean,,1833,0
Latin America and Caribbean,,1834,0
Latin America and Caribbean,,1835,0
Latin America and Caribbean,,1836,0
Latin America and Caribbean,,1837,0
Latin America and Caribbean,,1838,0
Latin America and Caribbean,,1839,0
Latin America and Caribbean,,1840,0
Latin America and Caribbean,,1841,0
Latin America and Caribbean,,1842,0
Latin America and Caribbean,,1843,0
Latin America and Caribbean,,1844,0
Latin America and Caribbean,,1845,0.89999998
Latin America and Caribbean,,1846,0.89999998
Latin America and Caribbean,,1847,0.89999998
Latin America and Caribbean,,1848,0.89999998
Latin America and Caribbean,,1849,3.9000001
Latin America and Caribbean,,1850,5.3000002
Latin America and Caribbean,,1851,15.8
Latin America and Caribbean,,1852,15.8
Latin America and Caribbean,,1853,11.3
Latin America and Caribbean,,1854,8.1000004
