Entity,Code,Year,Universal right to vote (% sovereign countries),First female MP (% sovereign countries),10% women in parliament  (% sovereign countries),20% women in parliament  (% sovereign countries),30% women in parliament  (% sovereign countries)
World,OWID_WRL,1907,2.0408163,,,,
World,OWID_WRL,1908,2,,,,
World,OWID_WRL,1909,2,,,,
World,OWID_WRL,1910,1.9607843,,,,
World,OWID_WRL,1911,1.9607843,1.9607843,,,
World,OWID_WRL,1912,1.9230769,1.9230769,,,
World,OWID_WRL,1913,3.8461537,1.9230769,,,
World,OWID_WRL,1914,3.8461537,1.9230769,,,
World,OWID_WRL,1915,5.7692308,1.9230769,,,
World,OWID_WRL,1916,5.7692308,1.9230769,,,
World,OWID_WRL,1917,7.5471697,5.6603775,,,
World,OWID_WRL,1918,12.068966,10.344828,,,
World,OWID_WRL,1919,16.949152,16.949152,,,
World,OWID_WRL,1920,22.033897,16.949152,,,
World,OWID_WRL,1921,21.311476,22.950819,,,
World,OWID_WRL,1922,22.222221,23.809525,,,
World,OWID_WRL,1923,21.875,23.4375,,,
World,OWID_WRL,1924,23.4375,23.4375,,,
World,OWID_WRL,1925,23.4375,23.4375,,,
World,OWID_WRL,1926,23.4375,23.4375,,,
World,OWID_WRL,1927,23.4375,23.4375,,,
World,OWID_WRL,1928,26.5625,23.4375,,,
World,OWID_WRL,1929,28.125,23.4375,,,
World,OWID_WRL,1930,29.6875,23.4375,,,
World,OWID_WRL,1931,31.25,25,,,
World,OWID_WRL,1932,33.333332,24.242424,,,
World,OWID_WRL,1933,33.333332,28.787878,,,
World,OWID_WRL,1934,36.363636,30.30303,,,
World,OWID_WRL,1935,36.363636,31.818182,,,
World,OWID_WRL,1936,36.363636,31.818182,,,
World,OWID_WRL,1937,36.363636,31.818182,,,
World,OWID_WRL,1938,36.363636,31.818182,,,
World,OWID_WRL,1939,37.878788,31.818182,,,
World,OWID_WRL,1940,37.878788,33.333332,,,
World,OWID_WRL,1941,37.313435,32.835819,,,
World,OWID_WRL,1942,38.805969,35.820896,,,
World,OWID_WRL,1943,38.235294,38.235294,,,
World,OWID_WRL,1944,42.028984,39.130436,,,
World,OWID_WRL,1945,45.070423,45.070423,,,
World,OWID_WRL,1946,54.054054,52.702702,1.3513514,,
World,OWID_WRL,1947,56.578949,53.947369,1.3157895,,
World,OWID_WRL,1948,60.493828,55.555557,3.7037036,,
World,OWID_WRL,1949,63.855423,56.626507,7.2289157,,
World,OWID_WRL,1950,66.26506,59.036144,9.6385546,1.2048193,
World,OWID_WRL,1951,66.666664,60.714287,11.904762,2.3809524,
World,OWID_WRL,1952,70.238098,65.476189,15.476191,2.3809524,
World,OWID_WRL,1953,72.093025,65.11628,15.116279,2.3255813,
World,OWID_WRL,1954,73.563217,66.666664,17.241379,3.4482758,
World,OWID_WRL,1955,79.310349,66.666664,17.241379,4.5977011,
World,OWID_WRL,1956,77.777779,67.777779,16.666666,4.4444447,
World,OWID_WRL,1957,78.260872,69.565216,16.304348,4.347826,
World,OWID_WRL,1958,79.569893,70.967743,16.129032,4.3010755,
World,OWID_WRL,1959,81.720428,73.118279,16.129032,4.3010755,
World,OWID_WRL,1960,81.818184,63.636364,13.636364,4.5454545,
World,OWID_WRL,1961,83.185844,66.371681,13.274336,4.4247789,
World,OWID_WRL,1962,84.297523,66.1157,12.396694,4.1322312,
World,OWID_WRL,1963,86.065575,70.491806,14.754098,4.0983605,
World,OWID_WRL,1964,88.095238,72.222221,14.285714,3.9682539,
World,OWID_WRL,1965,89.147285,75.193802,13.953488,3.8759689,
World,OWID_WRL,1966,89.473686,75.187973,15.037594,3.7593985,
World,OWID_WRL,1967,90.298508,74.626869,14.925373,3.7313433,0.74626863
World,OWID_WRL,1968,90.579712,73.188408,15.217391,4.347826,0.72463769
World,OWID_WRL,1969,90.579712,73.91304,15.217391,4.347826,0.72463769
World,OWID_WRL,1970,91.428574,75,15,5,1.4285715
World,OWID_WRL,1971,89.583336,75,15.277778,6.25,1.3888888
World,OWID_WRL,1972,90.277779,76.388885,15.277778,7.6388888,1.3888888
World,OWID_WRL,1973,91.034485,77.241379,15.862069,8.2758617,1.3793104
