Entity,Code,Year,Population using informal saving (%) (World Bank World Development Report (2013)) (%)
Afghanistan,AFG,2011,11.7
Albania,ALB,2011,14.2
Algeria,DZA,2011,16.5
Angola,AGO,2011,20.700001
Argentina,ARG,2011,20.6
Armenia,ARM,2011,9.6999998
Australia,AUS,2011,6.3000002
Austria,AUT,2011,26.799999
Azerbaijan,AZE,2011,9.1999998
Bangladesh,BGD,2011,10.2
Belarus,BLR,2011,19.6
Belgium,BEL,2011,15.2
Benin,BEN,2011,25.299999
Bolivia,BOL,2011,27.200001
Bosnia and Herzegovina,BIH,2011,7.5
Brazil,BRA,2011,10.8
Bulgaria,BGR,2011,6.0999999
Burkina Faso,BFA,2011,30.1
Burundi,BDI,2011,21.9
Cambodia,KHM,2011,30.200001
Cameroon,CMR,2011,42
Canada,CAN,2011,12.3
Central African Republic,CAF,2011,22.9
Chad,TCD,2011,21.9
Chile,CHL,2011,14.6
China,CHN,2011,6.3000002
Colombia,COL,2011,23.700001
Congo,COG,2011,25
Costa Rica,CRI,2011,21.1
Croatia,HRV,2011,9.6999998
Czech Republic,CZE,2011,13.5
Democratic Republic of Congo,COD,2011,22.6
Denmark,DNK,2011,16.1
Dominican Republic,DOM,2011,21.299999
Ecuador,ECU,2011,15.7
Egypt,EGY,2011,7.4000001
El Salvador,SLV,2011,13
Finland,FIN,2011,12.5
France,FRA,2011,12.3
Georgia,GEO,2011,5.9000001
Germany,DEU,2011,11.4
Ghana,GHA,2011,20.5
Greece,GRC,2011,7.9000001
Guatemala,GTM,2011,14.6
Guinea,GIN,2011,25.1
Haiti,HTI,2011,13.6
High income,,2011,13.5
Honduras,HND,2011,13.3
Hong Kong,HKG,2011,16.299999
Hungary,HUN,2011,9.3999996
India,IND,2011,10.8
Indonesia,IDN,2011,25.200001
Iran,IRN,2011,12.6
Iraq,IRQ,2011,20.799999
Ireland,IRL,2011,13.3
Israel,ISR,2011,20.1
Italy,ITA,2011,10.9
Japan,JPN,2011,12
Jordan,JOR,2011,9.8999996
Kazakhstan,KAZ,2011,15.2
Kenya,KEN,2011,16.9
Kyrgyzstan,KGZ,2011,35.5
Laos,LAO,2011,35.099998
Lebanon,LBN,2011,13.7
Liberia,LBR,2011,20.9
Lithuania,LTU,2011,12.2
Low & middle income,,2011,13.5
Low income,,2011,18.5
Lower middle income,,2011,16.4
Madagascar,MDG,2011,18.299999
Malawi,MWI,2011,24.799999
Malaysia,MYS,2011,15.6
Mali,MLI,2011,32.900002
Mauritania,MRT,2011,16.4
Mexico,MEX,2011,20.4
Middle income,,2011,12.9
Moldova,MDA,2011,18.700001
Morocco,MAR,2011,18.200001
Mozambique,MOZ,2011,25.200001
Nepal,NPL,2011,8.5
Netherlands,NLD,2011,15.2
New Zealand,NZL,2011,12.2
Nicaragua,NIC,2011,19.5
Niger,NER,2011,24
Nigeria,NGA,2011,40.799999
Pakistan,PAK,2011,6
Palestine,PSE,2011,10.7
Panama,PAN,2011,22.5
Paraguay,PRY,2011,8.3999996
Peru,PER,2011,20.6
Philippines,PHL,2011,30.799999
Poland,POL,2011,12.8
Portugal,PRT,2011,8.1999998
Romania,ROU,2011,9.5
Russia,RUS,2011,11.8
Rwanda,RWA,2011,12.6
Saudi Arabia,SAU,2011,16.1
Senegal,SEN,2011,11.6
Serbia,SRB,2011,11.7
Sierra Leone,SLE,2011,18.1
Singapore,SGP,2011,2.5
Slovakia,SVK,2011,12.4
Somalia,SOM,2011,8.1999998
South Africa,ZAF,2011,9.3999996
South Korea,KOR,2011,17.6
Spain,ESP,2011,11.2
Sri Lanka,LKA,2011,8.1999998
Sudan,SDN,2011,19.299999
Sweden,SWE,2011,19.299999
Syria,SYR,2011,43.200001
Tajikistan,TJK,2011,13.5
Tanzania,TZA,2011,28.200001
Thailand,THA,2011,17.200001
Togo,TGO,2011,16
Tunisia,TUN,2011,20.1
Turkey,TUR,2011,5.4000001
Turkmenistan,TKM,2011,44.400002
Uganda,UGA,2011,28.1
Ukraine,UKR,2011,19.6
United Arab Emirates,ARE,2011,11
United Kingdom,GBR,2011,12.9
United States,USA,2011,16.4
Upper middle income,,2011,9.6000004
Uruguay,URY,2011,11.2
Uzbekistan,UZB,2011,30.6
Venezuela,VEN,2011,14.8
Vietnam,VNM,2011,27.5
World,OWID_WRL,2011,13.5
Yemen,YEM,2011,10.8
Zambia,ZMB,2011,20.4
Zimbabwe,ZWE,2011,22.6
