Entity,Code,Year,Poverty rate (<60% of median) (LIS Key Figures) (%)
Australia,AUS,1981,18.271
Australia,AUS,1985,19.635
Australia,AUS,1989,18.993
Australia,AUS,1995,20.636
Australia,AUS,2001,21.576
Australia,AUS,2003,20.37
Australia,AUS,2008,21.079
Australia,AUS,2010,21.174
Austria,AUT,1987,11.738
Austria,AUT,1994,14.735
Austria,AUT,1995,17.047
Austria,AUT,1997,14.232
Austria,AUT,2000,13.431
Austria,AUT,2004,13.397
Austria,AUT,2007,15.878
Austria,AUT,2010,15.146
Austria,AUT,2013,14.177
Belgium,BEL,1985,10.523
Belgium,BEL,1988,11.37
Belgium,BEL,1992,10.378
Belgium,BEL,1995,16.18
Belgium,BEL,1997,14.413
Belgium,BEL,2000,16.117
Brazil,BRA,2006,26.521
Brazil,BRA,2009,26.067
Brazil,BRA,2011,25.415
Brazil,BRA,2013,24.884
Canada,CAN,1971,22.155
Canada,CAN,1975,19.631
Canada,CAN,1981,18.931
Canada,CAN,1987,17.467
Canada,CAN,1991,16.63
Canada,CAN,1994,17.59
Canada,CAN,1997,18.387
Canada,CAN,1998,19.756
Canada,CAN,2000,18.892
Canada,CAN,2004,19.891
Canada,CAN,2007,18.982
Canada,CAN,2010,20.19
Canada,CAN,2013,20.974
China,CHN,2002,31.47
Colombia,COL,2004,26.496
Colombia,COL,2007,28.378
Colombia,COL,2010,26.494
Colombia,COL,2013,26.343
Czech Republic,CZE,1992,6.822
Czech Republic,CZE,1996,10.497
Czech Republic,CZE,2002,9.79
Czech Republic,CZE,2004,11.515
Czech Republic,CZE,2007,10.825
Czech Republic,CZE,2010,11.336
Czech Republic,CZE,2013,11.348
Denmark,DNK,1987,17.348
Denmark,DNK,1992,14.638
Denmark,DNK,1995,12.017
Denmark,DNK,2000,13.057
Denmark,DNK,2004,13.198
Denmark,DNK,2007,13.745
Denmark,DNK,2010,13.506
Denmark,DNK,2013,12.401
Dominican Republic,DOM,2007,26.801
Egypt,EGY,2012,24.944
Estonia,EST,2000,19.92
Estonia,EST,2004,20.381
Estonia,EST,2007,20.593
Estonia,EST,2010,19.369
Estonia,EST,2013,22.959
Finland,FIN,1987,10.707
Finland,FIN,1991,10.692
Finland,FIN,1995,9.143
Finland,FIN,2000,12.689
Finland,FIN,2004,13.681
Finland,FIN,2007,15.433
Finland,FIN,2010,14.985
Finland,FIN,2013,13.993
France,FRA,1978,16.349
France,FRA,1984,17.003
France,FRA,1989,15.487
France,FRA,1994,14.077
France,FRA,2000,13.753
France,FRA,2005,14.855
France,FRA,2010,15.474
Georgia,GEO,2010,26.311
Georgia,GEO,2013,23.663
Germany,DEU,1973,12.234
Germany,DEU,1978,11.339
Germany,DEU,1981,10.579
Germany,DEU,1983,11.688
Germany,DEU,1984,14.248
Germany,DEU,1989,11.779
Germany,DEU,1994,13.131
Germany,DEU,2000,12.74
Germany,DEU,2004,14.342
Germany,DEU,2007,14.79
Germany,DEU,2010,16.043
Germany,DEU,2013,15.369
Greece,GRC,1995,21.463
Greece,GRC,2000,21.37
Greece,GRC,2004,19.553
Greece,GRC,2007,19.207
Greece,GRC,2010,21.056
Greece,GRC,2013,20.125
Guatemala,GTM,2006,29.107
Guatemala,GTM,2011,29.185
Guatemala,GTM,2014,22.346
