Entity,Code,Year,Percentage of enrolment in primary education in private institutions (%) (%)
Afghanistan,AFG,2011,1.67142999172211
Afghanistan,AFG,2012,2.48132991790771
Afghanistan,AFG,2014,2.47764992713928
Albania,ALB,2001,2.16422009468079
Albania,ALB,2005,4.27776002883911
Albania,ALB,2006,4.83808994293213
Albania,ALB,2007,5.4167799949646
Albania,ALB,2008,5.90312004089355
Albania,ALB,2009,4.87713003158569
Albania,ALB,2010,5.1926097869873
Albania,ALB,2011,5.39413976669312
Albania,ALB,2012,5.48745012283325
Albania,ALB,2013,5.54909992218018
Albania,ALB,2014,5.77865982055664
Algeria,DZA,1972,1.89382994174957
Algeria,DZA,1973,1.69059002399445
Algeria,DZA,1974,1.370609998703
Algeria,DZA,1975,0.866249978542328
Algeria,DZA,1976,0.818620026111603
Algeria,DZA,2007,0.195040002465248
Algeria,DZA,2008,0.263000011444092
Algeria,DZA,2009,0.166199997067451
Algeria,DZA,2010,0.136759996414185
Algeria,DZA,2011,0.515900015830994
Algeria,DZA,2012,0.643959999084473
Algeria,DZA,2014,0.925480008125305
Andorra,AND,1975,29.4279193878174
Andorra,AND,1983,21.6044006347656
Andorra,AND,2002,0.851999998092651
Andorra,AND,2003,1.27957999706268
Andorra,AND,2004,1.45403003692627
Andorra,AND,2005,1.61566996574402
Andorra,AND,2006,1.754390001297
Andorra,AND,2007,1.62637996673584
Andorra,AND,2008,2.0480899810791
Andorra,AND,2009,2.01162004470825
Andorra,AND,2010,2.06090998649597
Andorra,AND,2011,1.97044003009796
Andorra,AND,2012,1.96125996112823
Andorra,AND,2013,1.74532997608185
Andorra,AND,2014,1.84502005577087
Angola,AGO,1998,5.22377014160156
Angola,AGO,2008,1.99437999725342
Angola,AGO,2009,1.93709003925323
Angola,AGO,2010,1.94600999355316
Angola,AGO,2011,3.0025999546051
Antigua and Barbuda,ATG,1971,18.9284191131592
Antigua and Barbuda,ATG,1972,15.0944995880127
Antigua and Barbuda,ATG,1974,34.7717514038086
Antigua and Barbuda,ATG,1975,32.3429908752441
Antigua and Barbuda,ATG,1976,30.8730201721191
Antigua and Barbuda,ATG,1984,31.0514297485352
Antigua and Barbuda,ATG,2000,38.1957817077637
Antigua and Barbuda,ATG,2007,49.701789855957
Antigua and Barbuda,ATG,2008,51.6952095031738
Antigua and Barbuda,ATG,2009,52.7935409545898
Antigua and Barbuda,ATG,2010,51.9370918273926
Antigua and Barbuda,ATG,2011,52.1971397399902
Antigua and Barbuda,ATG,2012,52.597339630127
Antigua and Barbuda,ATG,2014,51.3763313293457
Arab World,,1970,7.82800006866455
Arab World,,1971,7.80005979537964
Arab World,,1972,7.56329011917114
Arab World,,1973,7.19568014144897
Arab World,,1974,6.82947015762329
Arab World,,1975,6.31910991668701
Arab World,,1976,6.06540012359619
Arab World,,1977,5.2703800201416
Arab World,,1978,4.95134019851685
Arab World,,1979,4.61670017242432
Arab World,,1980,4.37594985961914
Arab World,,1981,4.2121901512146
Arab World,,1982,4.215980052948
Arab World,,1983,4.15530014038086
Arab World,,1984,4.70900011062622
Arab World,,1985,4.47847986221313
Arab World,,1986,4.32568979263306
Arab World,,1987,4.44323015213013
Arab World,,1988,4.42594003677368
Arab World,,1989,4.66063022613525
Arab World,,1990,5.00275993347168
Arab World,,1991,4.90596008300781
Arab World,,1992,5.10271978378296
Arab World,,1993,5.20415019989014
Arab World,,1994,5.37454986572266
Arab World,,1995,5.20929002761841
Arab World,,1996,5.5418701171875
Arab World,,1997,5.49646997451782
Arab World,,1998,5.51486015319824
Arab World,,1999,5.61556005477905
Arab World,,2000,5.78497982025146
Arab World,,2001,6.03458976745605
Arab World,,2002,6.09049987792969
