Entity,Code,Year,Prevalence of night blindness (WHO (2009)) (%)
Afghanistan,AFG,2005,12.5
Africa,,2005,9.4
Albania,ALB,2005,3.2
Algeria,DZA,2005,5.3
Angola,AGO,2005,10.9
Antigua and Barbuda,ATG,2005,3.9
Argentina,ARG,2005,3.2
Armenia,ARM,2005,3.2
Asia,,2005,7.8
Azerbaijan,AZE,2005,3.3
Bangladesh,BGD,2005,6.5
Barbados,BRB,2005,3.2
Belarus,BLR,2005,2.6
Belize,BLZ,2005,4.6
Benin,BEN,2005,9.9
Bhutan,BTN,2005,6.8
Bolivia,BOL,2005,14.1
Bosnia and Herzegovina,BIH,2005,4.5
Botswana,BWA,2005,4.3
Brazil,BRA,2005,3.5
Bulgaria,BGR,2005,2.8
Burkina Faso,BFA,2005,13
Burundi,BDI,2005,8
Cambodia,KHM,2005,8
Cameroon,CMR,2005,6
Cape Verde,CPV,2005,6.7
Central African Republic,CAF,2005,13.3
Chad,TCD,2005,2.7
Chile,CHL,2005,3.4
China,CHN,2005,4.2
Colombia,COL,2005,4.1
Comoros,COM,2005,9.4
Congo,COG,2005,8
Cook Islands,COK,2005,2.8
Costa Rica,CRI,2005,4.4
Cote d'Ivoire,CIV,2005,10.3
Croatia,HRV,2005,3
Cuba,CUB,2005,3
Czech Republic,CZE,2005,2.9
Democratic Republic of Congo,COD,2005,10.4
Djibouti,DJI,2005,9.1
Dominica,DMA,2005,3.6
Dominican Republic,DOM,2005,4.5
Ecuador,ECU,2005,3.7
Egypt,EGY,2005,5
El Salvador,SLV,2005,4.3
Equatorial Guinea,GNQ,2005,8.3
Eritrea,ERI,2005,11.6
Estonia,EST,2005,2.6
Ethiopia,ETH,2005,22.1
Europe,,2005,2.9
Fiji,FJI,2005,3.8
Gabon,GAB,2005,10.5
Gambia,GMB,2005,7.9
Georgia,GEO,2005,3.7
Ghana,GHA,2005,7.7
Grenada,GRD,2005,3.2
Guatemala,GTM,2005,6.8
Guinea,GIN,2005,17.8
Guinea-Bissau,GNB,2005,11.3
Guyana,GUY,2005,3.5
Haiti,HTI,2005,9.4
Honduras,HND,2005,4.8
Hungary,HUN,2005,2.7
India,IND,2005,12.1
Indonesia,IDN,2005,1.7
Iran,IRN,2005,4
Iraq,IRQ,2005,7
Jamaica,JAM,2005,4.5
Jordan,JOR,2005,4.4
Kazakhstan,KAZ,2005,2.6
Kenya,KEN,2005,6.4
Kiribati,KIR,2005,4.6
Kyrgyzstan,KGZ,2005,3.3
Laos,LAO,2005,11.9
Latin America and the Caribbean,,2005,4.4
Latvia,LVA,2005,2.6
Lebanon,LBN,2005,3.7
Lesotho,LSO,2005,4.4
Liberia,LBR,2005,13.3
Libya,LBY,2005,4.2
Lithuania,LTU,2005,2.6
Macedonia,MKD,2005,3.3
Madagascar,MDG,2005,7.5
Malawi,MWI,2005,5.8
Malaysia,MYS,2005,4.4
Maldives,MDV,2005,4.6
Mali,MLI,2005,19.1
Malta,MLT,2005,3.7
Marshall Islands,MHL,2005,4.3
Mauritania,MRT,2005,9.7
Mauritius,MUS,2005,4
Mexico,MEX,2005,3.8
Micronesia (country),FSM,2005,3.6
Moldova,MDA,2005,5.1
Mongolia,MNG,2005,3.4
Montenegro,MNE,2005,3.3
Morocco,MAR,2005,2.2
Mozambique,MOZ,2005,5.3
Myanmar,MMR,2005,1.1
Namibia,NAM,2005,6.2
Nauru,NRU,2005,8.9
Nepal,NPL,2005,19.6
Nicaragua,NIC,2005,5.1
Niger,NER,2005,17.1
Nigeria,NGA,2005,7.7
Niue,NIU,2005,3
North America,,2005,0
North Korea,PRK,2005,5.3
Oceania,,2005,9.2
Oman,OMN,2005,4.4
Pakistan,PAK,2005,7.8
Palau,PLW,2005,3.7
Panama,PAN,2005,4.7
Papua New Guinea,PNG,2005,10.3
Paraguay,PRY,2005,4.5
Peru,PER,2005,6.5
Philippines,PHL,2005,7.9
Poland,POL,2005,2.8
Romania,ROU,2005,3
Russia,RUS,2005,2.8
Rwanda,RWA,2005,7.9
Saint Kitts and Nevis,KNA,2005,2.9
Saint Lucia,LCA,2005,3.7
Saint Vincent and the Grenadines,VCT,2005,3.8
Samoa,WSM,2005,3.3
Sao Tome and Principe,STP,2005,5
Saudi Arabia,SAU,2005,5.1
Senegal,SEN,2005,12.7
Serbia,SRB,2005,3.3
Seychelles,SYC,2005,3.2
Sierra Leone,SLE,2005,9.7
Slovakia,SVK,2005,2.9
Solomon Islands,SLB,2005,6.6
Somalia,SOM,2005,12.8
South Africa,ZAF,2005,4.5
Sri Lanka,LKA,2005,3.5
Sudan,SDN,2005,9.6
Suriname,SUR,2005,4.8
Swaziland,SWZ,2005,4.1
Syria,SYR,2005,4.6
Tajikistan,TJK,2005,3.8
Tanzania,TZA,2005,2.7
Thailand,THA,2005,3.7
Timor,TLS,2005,13.4
Togo,TGO,2005,9.5
Tonga,TON,2005,3
Trinidad and Tobago,TTO,2005,3.7
Tunisia,TUN,2005,4.5
Turkey,TUR,2005,5.4
Turkmenistan,TKM,2005,3.4
Tuvalu,TUV,2005,3.6
Uganda,UGA,2005,8.3
Ukraine,UKR,2005,2.5
Uruguay,URY,2005,3.2
Uzbekistan,UZB,2005,3.4
Vanuatu,VUT,2005,11.8
Venezuela,VEN,2005,4.7
Vietnam,VNM,2005,4.1
World,OWID_WRL,2005,7.8
Yemen,YEM,2005,9.8
Zambia,ZMB,2005,5.7
Zimbabwe,ZWE,2005,4.6
