Entity,Code,Year, (%)
Afghanistan,AFG,2005,16
Africa,,2005,14.3
Albania,ALB,2005,1.4
Algeria,DZA,2005,21.2
Angola,AGO,2005,15
Antigua and Barbuda,ATG,2005,2.3
Argentina,ARG,2005,2
Armenia,ARM,2005,23.3
Asia,,2005,18.4
Azerbaijan,AZE,2005,23.2
Bangladesh,BGD,2005,23.7
Barbados,BRB,2005,2.3
Belarus,BLR,2005,2.2
Belize,BLZ,2005,1.8
Benin,BEN,2005,18
Bhutan,BTN,2005,17
Bolivia,BOL,2005,1.7
Bosnia and Herzegovina,BIH,2005,2.1
Botswana,BWA,2005,19.3
Brazil,BRA,2005,2.1
Bulgaria,BGR,2005,2.2
Burkina Faso,BFA,2005,16.7
Burundi,BDI,2005,2.2
Cambodia,KHM,2005,16.5
Cameroon,CMR,2005,17.9
Cape Verde,CPV,2005,21.2
Central African Republic,CAF,2005,16.8
Chad,TCD,2005,17.1
Chile,CHL,2005,2.4
China,CHN,2005,22.8
Colombia,COL,2005,2
Comoros,COM,2005,15.1
Congo,COG,2005,18.2
Cook Islands,COK,2005,2.2
Costa Rica,CRI,2005,2.2
Cote d'Ivoire,CIV,2005,19
Croatia,HRV,2005,2.4
Cuba,CUB,2005,2.3
Czech Republic,CZE,2005,2.3
Djibouti,DJI,2005,18.2
Dominica,DMA,2005,1.8
Dominican Republic,DOM,2005,2.2
Ecuador,ECU,2005,1.7
Egypt,EGY,2005,21.5
El Salvador,SLV,2005,1.7
Equatorial Guinea,GNQ,2005,16.5
Eritrea,ERI,2005,15.7
Estonia,EST,2005,2.4
Ethiopia,ETH,2005,13.2
Europe,,2005,2.2
Fiji,FJI,2005,2.3
Gabon,GAB,2005,20
Gambia,GMB,2005,34
Georgia,GEO,2005,23.6
Ghana,GHA,2005,18.1
Grenada,GRD,2005,2.3
Guatemala,GTM,2005,1.1
Guinea,GIN,2005,18.8
Guinea-Bissau,GNB,2005,18
Guyana,GUY,2005,1
Haiti,HTI,2005,2
Honduras,HND,2005,1.5
Hungary,HUN,2005,2.2
India,IND,2005,16.4
Indonesia,IDN,2005,17.1
Iran,IRN,2005,15.2
Iraq,IRQ,2005,21
Jamaica,JAM,2005,14.4
Jordan,JOR,2005,24.2
Kazakhstan,KAZ,2005,23.6
Kenya,KEN,2005,17.3
Kiribati,KIR,2005,1.5
Kyrgyzstan,KGZ,2005,20.1
Laos,LAO,2005,16.6
Latin America and the Caribbean,,2005,2
Latvia,LVA,2005,2.4
Lebanon,LBN,2005,23.5
Lesotho,LSO,2005,14.7
Liberia,LBR,2005,12
Libya,LBY,2005,21.7
Lithuania,LTU,2005,2.4
Macedonia,MKD,2005,2.1
Madagascar,MDG,2005,13.8
Malawi,MWI,2005,13.7
Malaysia,MYS,2005,22.2
Maldives,MDV,2005,19.9
Mali,MLI,2005,16.7
Malta,MLT,2005,2.4
Marshall Islands,MHL,2005,2.2
Mauritania,MRT,2005,17.1
Mauritius,MUS,2005,22.5
Mexico,MEX,2005,1.9
Micronesia (country),FSM,2005,2.2
Moldova,MDA,2005,2.2
Mongolia,MNG,2005,19.3
Montenegro,MNE,2005,2.2
Morocco,MAR,2005,20.9
Mozambique,MOZ,2005,14.3
Myanmar,MMR,2005,18
Namibia,NAM,2005,19.2
Nauru,NRU,2005,2.2
Nepal,NPL,2005,31.5
Nicaragua,NIC,2005,1.7
Niger,NER,2005,14.7
Nigeria,NGA,2005,1.7
Niue,NIU,2005,2.2
North America,,2005,0
North Korea,PRK,2005,17.8
Oceania,,2005,1.4
Oman,OMN,2005,23.5
Pakistan,PAK,2005,10
Palau,PLW,2005,2.3
Panama,PAN,2005,1.8
Papua New Guinea,PNG,2005,1.2
Paraguay,PRY,2005,2
Peru,PER,2005,1.7
Philippines,PHL,2005,17.5
Poland,POL,2005,2.2
Romania,ROU,2005,2
Russia,RUS,2005,2.2
Rwanda,RWA,2005,6.2
Saint Kitts and Nevis,KNA,2005,2.3
Saint Lucia,LCA,2005,2.2
Saint Vincent and the Grenadines,VCT,2005,0.7
Samoa,WSM,2005,2.2
Sao Tome and Principe,STP,2005,17.9
Saudi Arabia,SAU,2005,22.5
Senegal,SEN,2005,19.4
Serbia,SRB,2005,2.2
Seychelles,SYC,2005,24.2
Sierra Leone,SLE,2005,17.6
Slovakia,SVK,2005,2.2
Solomon Islands,SLB,2005,1.5
Somalia,SOM,2005,18.8
South Africa,ZAF,2005,18.9
Sri Lanka,LKA,2005,22.7
Sudan,SDN,2005,16.1
Suriname,SUR,2005,2.1
Swaziland,SWZ,2005,17.7
Syria,SYR,2005,21.8
Tajikistan,TJK,2005,18
Tanzania,TZA,2005,14.8
Thailand,THA,2005,1.7
Timor,TLS,2005,15.4
Togo,TGO,2005,19.9
Tonga,TON,2005,2.3
Trinidad and Tobago,TTO,2005,2.3
Tunisia,TUN,2005,22.5
Turkey,TUR,2005,22.8
Turkmenistan,TKM,2005,20.7
Tuvalu,TUV,2005,2.2
Uganda,UGA,2005,23.3
Ukraine,UKR,2005,2.3
Uruguay,URY,2005,2.1
Uzbekistan,UZB,2005,21
Vanuatu,VUT,2005,1.7
Venezuela,VEN,2005,2
Vietnam,VNM,2005,17.7
World,OWID_WRL,2005,15.3
Yemen,YEM,2005,15.8
Zambia,ZMB,2005,14
Zimbabwe,ZWE,2005,20
