Entity,Code,Year,Clothing (%),New cars (%),Toys (%),TVs (%),Software (%),Household energy (%),Public transportation (%),Education (%),College tuition fees (%),Childcare (%),Food & Beverages (%),Housing (%),Medical care (%)
United States,USA,1997,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,1998,1.082826748,-0.071022727,-3.65755627,-1.625,-4.516666667,-1.784686241,3.278169651,2.108333333,1.599270799,2.386143411,1.251833229,1.685690129,2.122873612
United States,USA,1999,-0.234295846,-0.887784091,-9.358252947,-8.775,-11.59166667,-2.000575705,7.261710978,6.966666667,5.631974367,7.661094961,3.430756338,3.920946946,5.686770702
United States,USA,2000,-1.538753799,-0.887784091,-15.19962487,-17.05833333,-14.56666667,6.016119747,13.70500995,12.53333333,9.99889515,13.55377907,5.819191284,7.514267597,9.974694222
United States,USA,2001,-3.292806484,-1.349431818,-19.56299328,-25.59166667,-20.89166667,16.58816141,14.31460563,18.76363636,15.8646458,19.48995772,9.092813744,11.83153667,15.03936454
United States,USA,2002,-5.756079027,-2.485795455,-24.48419078,-33.36666667,-26.025,9.880541163,12.50678242,25.96666667,23.51121423,25.3754845,11.09888959,14.30987106,20.45550401
United States,USA,2003,-8.149696049,-4.332386364,-29.70257235,-42.1,-32.59166667,19.31491077,13.56483993,34.35833333,33.85813722,31.05014535,13.47684894,17.17395899,25.29523408
United States,USA,2004,-8.485309017,-4.865056818,-33.07207931,-50.13333333,-37.56666667,24.72654001,13.43371315,43.71666667,46.54181858,35.99200581,17.30567777,20.18600719,30.80275552
United States,USA,2005,-9.162867275,-3.941761364,-37.63397642,-56.325,-41.05833333,39.50777202,17.87845903,52.66666667,57.48259861,41.96947674,20.15503876,24.11223843,36.32433572
United States,USA,2006,-9.232522796,-3.089488636,-40.46757771,-62.90833333,-44.61666667,52.90731146,22.93814433,62.08333333,68.03668103,49.70930233,22.97297297,28.82582963,41.78968087
United States,USA,2007,-9.575797872,-3.504971591,-43.26058414,-71.85833333,-47.48841667,56.9466753,24.79779345,71.38775,78.55062976,56.16067103,27.78100775,32.9018178,48.06140166
United States,USA,2008,-9.645200101,-3.834517045,-46.24946409,-76.75833333,-49.35891667,73.40939839,35.94614759,81.27658333,89.68608441,63.25236192,34.64817725,37.13612344,53.54906509
United States,USA,2009,-8.755192503,-2.922940341,-49.15233119,-82.8,-50.05741667,62.44681923,28.24091156,90.85725,101.0851011,69.2061531,37.17740415,37.63913549,58.4197596
United States,USA,2010,-9.192185917,-1.921519886,-52.44908896,-87.13333333,-53.57125,63.45919689,36.38121722,99.337,111.530632,74.73225533,38.26775613,37.13126189,63.82778012
United States,USA,2011,-7.210739615,1.013139205,-54.52880493,-89.30833333,-56.94291667,67.22661197,46.17643335,107.7678333,122.157966,79.55244671,43.22182066,38.93569013,68.81379165
United States,USA,2012,-4.054267984,2.399147727,-56.82824223,-91.275,-59.02033333,63.47833909,47.23354133,116.3280833,132.9326041,83.96856831,46.86978839,41.22717185,74.99954309
United States,USA,2013,-3.182877406,2.928622159,-59.14616827,-92.56666667,-61.44175,67.39212723,51.30281244,124.5211667,142.770854,88.52174176,48.94138906,44.16687804,79.30598903
United States,USA,2014,-3.104673252,2.605823864,-61.70726152,-93.69166667,-62.99866667,74.60470639,49.96952433,131.914,151.7384267,92.49594234,52.38749214,47.88543648,83.59015183
United States,USA,2015,-4.329407295,2.553622159,-64.10242497,-94.45182724,-63.22091667,68.10614565,45.80860011,140.5350833,160.4738979,100.1318435,55.12528808,50.95772564,88.42348517
United States,USA,2016,-4.220871327,2.052911932,-67.07033762,-95.46830011,-65.6375,64.98236903,44.00271297,147.5255833,167.484394,105.7406734,55.65849571,54.70672162,95.56080416
United States,USA,2017,-3.898176292,,-68.90080386,-96.01262458,-67.1842,68.36303972,45.34856213,151.1102,170.0887637,110.2236919,56.4956631,57.95852885,99.73859131
