Entity,Code,Year,"UIS: Net attendance rate, primary, both sexes (%) (%)"
Afghanistan,AFG,2011,51.4918212890625
Albania,ALB,2009,91.4227447509766
Armenia,ARM,2006,81.2962951660156
Armenia,ARM,2011,93.6013793945313
Azerbaijan,AZE,2006,87.8420028686523
Bangladesh,BGD,2006,75.9190902709961
Bangladesh,BGD,2011,83.0898361206055
Belize,BLZ,2006,88.0927581787109
Benin,BEN,2006,64.695426940918
Benin,BEN,2011,68.6961517333984
Bhutan,BTN,2010,89.6119232177734
Bolivia,BOL,2003,75.7966690063477
Bolivia,BOL,2008,92.7403411865234
Brazil,BRA,2006,79.4336547851563
Burkina Faso,BFA,2003,32.2845268249512
Burkina Faso,BFA,2006,44.4627571105957
Burkina Faso,BFA,2010,51.0473899841309
Burundi,BDI,2000,51.426326751709
Burundi,BDI,2010,83.9355621337891
Cambodia,KHM,2005,84.8818359375
Cambodia,KHM,2010,88.6095504760742
Cambodia,KHM,2014,87.5023040771484
Cameroon,CMR,2004,79.4545974731445
Cameroon,CMR,2006,77.5997543334961
Cameroon,CMR,2011,78.5490875244141
Central African Republic,CAF,2006,59.2231559753418
Chad,TCD,2004,41.0279884338379
Colombia,COL,2005,88.0833435058594
Colombia,COL,2010,89.3792572021484
Congo,COG,2005,89.0120010375977
Congo,COG,2012,92.1674423217773
Cote d'Ivoire,CIV,2006,60.5248794555664
Democratic Republic of Congo,COD,2007,69.4809112548828
Democratic Republic of Congo,COD,2010,73.2187805175781
Democratic Republic of Congo,COD,2013,83.9566192626953
Djibouti,DJI,2006,75.5734634399414
Dominican Republic,DOM,2007,84.7685241699219
Dominican Republic,DOM,2013,88.1214828491211
Egypt,EGY,2005,88.9833908081055
Egypt,EGY,2009,88.5242614746094
Egypt,EGY,2014,89.3023452758789
Ethiopia,ETH,2000,34.4854736328125
Ethiopia,ETH,2005,48.9042663574219
Ethiopia,ETH,2011,60.9722557067871
Gabon,GAB,2012,88.3796691894531
Gambia,GMB,2006,59.5415344238281
Ghana,GHA,2009,73.8030166625977
Ghana,GHA,2015,68.9607925415039
Guinea,GIN,2005,50.752384185791
Guinea,GIN,2012,55.0268630981445
Guyana,GUY,2006,85.8644485473633
Guyana,GUY,2009,82.2899780273438
Haiti,HTI,2005,49.5935821533203
Haiti,HTI,2012,83.9345626831055
India,IND,2006,72.4454727172852
Indonesia,IDN,2003,87.8661270141602
Indonesia,IDN,2008,80.3042602539063
Iraq,IRQ,2011,88.6659469604492
Jordan,JOR,2007,92.8058471679688
Kazakhstan,KAZ,2006,91.350700378418
Kenya,KEN,2003,74.7912139892578
Kenya,KEN,2008,84.5230407714844
Kyrgyzstan,KGZ,2006,85.8306655883789
Laos,LAO,2006,76.5646667480469
Laos,LAO,2012,83.2386703491211
Lesotho,LSO,2005,89.2068405151367
Lesotho,LSO,2009,91.6936187744141
Liberia,LBR,2007,30.7365264892578
Liberia,LBR,2013,42.0984802246094
Madagascar,MDG,2009,78.0358581542969
Malawi,MWI,2004,84.9985122680664
Malawi,MWI,2010,88.9182739257813
Maldives,MDV,2008,91.9161148071289
Mali,MLI,2006,43.4924201965332
Mali,MLI,2013,51.0941009521484
Mauritania,MRT,2007,57.1963081359863
Moldova,MDA,2005,86.9285049438477
Mongolia,MNG,2006,87.4142913818359
Morocco,MAR,2004,87.9995727539063
Mozambique,MOZ,2003,68.353515625
Mozambique,MOZ,2008,81.1220245361328
Mozambique,MOZ,2011,75.3934478759766
Namibia,NAM,2007,83.659309387207
Namibia,NAM,2013,85.7729339599609
Nepal,NPL,2007,86.6164779663086
Nepal,NPL,2011,89.3289413452148
Niger,NER,2006,37.0991401672363
Niger,NER,2012,47.385009765625
Nigeria,NGA,2003,64.5367050170898
Nigeria,NGA,2007,54.2281036376953
Nigeria,NGA,2008,62.1578636169434
Nigeria,NGA,2011,64.6038436889648
Nigeria,NGA,2013,61.1814575195313
Pakistan,PAK,2007,70.1814117431641
Pakistan,PAK,2012,62.0824699401855
Philippines,PHL,2004,87.2787399291992
Rwanda,RWA,2005,85.4719543457031
Rwanda,RWA,2010,92.8110656738281
Sao Tome and Principe,STP,2009,91.5771942138672
Senegal,SEN,2005,57.9326553344727
Senegal,SEN,2011,58.8209075927734
Serbia,SRB,2011,90.5366973876953
Sierra Leone,SLE,2008,66.4281692504883
Sierra Leone,SLE,2013,72.9258880615234
Sri Lanka,LKA,2006,87.7583465576172
Swaziland,SWZ,2006,89.3184814453125
Swaziland,SWZ,2010,95.4891510009766
Syria,SYR,2006,86.9465637207031
Tajikistan,TJK,2006,81.0497970581055
Tanzania,TZA,2004,81.0404586791992
Tanzania,TZA,2010,79.8156585693359
Timor,TLS,2009,71.1337280273438
Togo,TGO,2006,75.9459762573242
Togo,TGO,2010,84.8240203857422
Turkey,TUR,2004,86.0284118652344
Uganda,UGA,2006,82.046257019043
Uganda,UGA,2011,88.2420501708984
Ukraine,UKR,2007,91.2196426391602
Uzbekistan,UZB,2006,79.2666778564453
Vanuatu,VUT,2007,79.6758880615234
Vietnam,VNM,2011,93.7166748046875
Yemen,YEM,2006,68.333610534668
Zambia,ZMB,2001,71.4059982299805
Zambia,ZMB,2007,80.0272674560547
Zambia,ZMB,2013,81.2946548461914
Zimbabwe,ZWE,2005,86.7380065917969
Zimbabwe,ZWE,2010,89.1074981689453
