Entity,Code,Year,Measured agricultural area (hectares),FAO/IMAGE (hectares),IAASTD (hectares),OECD Outlook (hectares),MEA Scenario 1 (hectares),MEA Scenario 2 (hectares),MEA Scenario 3 (hectares),MEA Scenario 4 (hectares)
World,OWID_WRL,1961,4457982610,,,,,,,
World,OWID_WRL,1962,4469148500,,,,,,,
World,OWID_WRL,1963,4480710510,,,,,,,
World,OWID_WRL,1964,4490030170,,,,,,,
World,OWID_WRL,1965,4505415730,,,,,,,
World,OWID_WRL,1966,4511845090,,,,,,,
World,OWID_WRL,1967,4526101270,,,,,,,
World,OWID_WRL,1968,4535992050,,,,,,,
World,OWID_WRL,1969,4561351130,,,,,,,
World,OWID_WRL,1970,4565825570,,,,,,,
World,OWID_WRL,1971,4576486560,,,,,,,
World,OWID_WRL,1972,4587514500,,,,,,,
World,OWID_WRL,1973,4608486900,,,,,,,
World,OWID_WRL,1974,4617369000,,,,,,,
World,OWID_WRL,1975,4623117600,,,,,,,
World,OWID_WRL,1976,4622694600,,,,,,,
World,OWID_WRL,1977,4622064800,,,,,,,
World,OWID_WRL,1978,4626665900,,,,,,,
World,OWID_WRL,1979,4637612800,,,,,,,
World,OWID_WRL,1980,4649713300,4660000000,4671706000,4660000000,4772745000,4772745000,4772745000,4772744000
World,OWID_WRL,1981,4651242500,,,,,,,
World,OWID_WRL,1982,4670004440,,,,,,,
World,OWID_WRL,1983,4678081840,,,,,,,
World,OWID_WRL,1984,4707067560,,,,,,,
World,OWID_WRL,1985,4738020400,4700000000,4712374000,4700000000,4842898000,4842898000,4842898000,4842898000
World,OWID_WRL,1986,4763752600,,,,,,,
World,OWID_WRL,1987,4780078700,,,,,,,
World,OWID_WRL,1988,4800673400,,,,,,,
World,OWID_WRL,1989,4815425600,,,,,,,
World,OWID_WRL,1990,4831296500,4780000000,4795341000,4780000000,4873995000,4873995000,4873995000,4873993000
World,OWID_WRL,1991,4840746900,,,,,,,
World,OWID_WRL,1992,4882230180,,,,,,,
World,OWID_WRL,1993,4913005600,,,,,,,
World,OWID_WRL,1994,4929041900,,,,,,,
World,OWID_WRL,1995,4929021900,4770000000,4780332000,4770000000,4903360000,4903360000,4903360000,4903360000
World,OWID_WRL,1996,4932980860,,,,,,,
World,OWID_WRL,1997,4946720120,,,,,,,
World,OWID_WRL,1998,4953605520,,,,,,,
World,OWID_WRL,1999,4950130990,,,,,,,
World,OWID_WRL,2000,4954547600,4887287000,4871877000,4880000000,5108501000,5005188000,5043538000,4977307000
World,OWID_WRL,2001,4952448310,,,,,,,
World,OWID_WRL,2002,4940639260,,,,,,,
World,OWID_WRL,2003,4928316640,,,,,,,
World,OWID_WRL,2004,4938995360,,,,,,,
World,OWID_WRL,2005,4940412120,4853588000,4928842000,5040000000,5256705000,5072271000,5116994000,5016703000
World,OWID_WRL,2006,4924546650,,,,,,,
World,OWID_WRL,2007,4922923590,,,,,,,
World,OWID_WRL,2008,4919975520,,,,,,,
World,OWID_WRL,2009,4873236640,,,,,,,
World,OWID_WRL,2010,4869441830,4879198000,4974104000,5160000000,5367052000,5100299000,5160455000,5027098000
World,OWID_WRL,2011,4880222660,,,,,,,
World,OWID_WRL,2012,4889717050,,,,,,,
World,OWID_WRL,2013,4886231150,,,,,,,
World,OWID_WRL,2014,4900105170,,,,,,,
World,OWID_WRL,2015,,4917245000,5047647000,5320000000,5488788000,5131167000,5191925000,5009131000
World,OWID_WRL,2020,,4928607000,5072476000,5420000000,5534770000,5154101000,5200057000,5001812000
World,OWID_WRL,2025,,4929338000,5123920000,5410000000,5601268000,5142337000,5194166000,4995022000
World,OWID_WRL,2030,,4920924000,5144519000,5380000000,5670515000,5114970000,5213164000,5036932000
World,OWID_WRL,2035,,4932587000,5133486000,5320000000,5716547000,5091336000,5234827000,5085366000
World,OWID_WRL,2040,,4933298000,5137237000,5260000000,5737714000,5079698000,5234873000,5111401000
World,OWID_WRL,2045,,4923676000,5119171000,5190000000,5782910000,5066955000,5225970000,5112006000
World,OWID_WRL,2050,,4910530000,5113928000,5110000000,5819687000,5053664000,5219146000,5091759000
