Entity,Code,Year,Global Education Trends (GET) (people),Fast Track (FT) scenario (people),Constant Enrollment Rates (CER) (people)
Africa,,1970,368002720,368002720,368002720
Africa,,1975,420166976,420166976,420166976
Africa,,1980,482569664,482569664,482569664
Africa,,1985,553231936,553231936,553231936
Africa,,1990,634977088,634977088,634977088
Africa,,1995,720581760,720581760,720581760
Africa,,2000,810706752,810706752,810706752
Africa,,2005,910590464,910590464,910590464
Africa,,2010,1021612672,1021612992,1021612992
Africa,,2015,1141314304,1137929216,1143920128
Africa,,2020,1267694208,1255195136,1276558592
Africa,,2025,1396670336,1370687104,1414988032
Africa,,2030,1526196480,1483785472,1557408000
Africa,,2035,1654855168,1593405312,1702264064
Africa,,2040,1781015424,1697637504,1848027392
Africa,,2045,1902342144,1793916672,1992368384
Africa,,2050,2017273856,1880740480,2133191040
Africa,,2055,2121753984,1957467648,2268103424
Africa,,2060,2215744256,2023654400,2395619584
Africa,,2065,2300922368,2079852800,2516241408
Africa,,2070,2376477184,2125276800,2629522688
Africa,,2075,2441858304,2159811072,2735471872
Africa,,2080,2497132800,2183876608,2834258944
Africa,,2085,2542305536,2197915648,2925744896
Africa,,2090,2577286656,2202706176,3010143232
Africa,,2095,2603044608,2198896384,3087248896
Africa,,2100,2620471808,2187603200,3157225728
Asia,,1970,2120421760,2120421760,2120421760
Asia,,1975,2376965376,2376965376,2376965376
Asia,,1980,2619764224,2619764224,2619764224
Asia,,1985,2869767424,2869767424,2869767424
Asia,,1990,3179238400,3179238400,3179238400
Asia,,1995,3449278720,3449278720,3449278720
Asia,,2000,3697089280,3697089280,3697089280
Asia,,2005,3922263808,3922263808,3922263808
Asia,,2010,4141036032,4141036288,4141036288
Asia,,2015,4344922112,4335633920,4350533632
Asia,,2020,4531745792,4504892928,4551313408
Asia,,2025,4693511168,4647044608,4730967552
Asia,,2030,4828026880,4761824256,4886997504
Asia,,2035,4937270784,4848458752,5019680768
Asia,,2040,5020655104,4906186240,5130748928
Asia,,2045,5077730816,4935396864,5220887040
Asia,,2050,5106590720,4936994816,5288710144
Asia,,2055,5108270592,4911795712,5332366336
Asia,,2060,5082706432,4861467136,5352292352
Asia,,2065,5035232256,4790462976,5353512448
Asia,,2070,4971158528,4701896192,5340538368
Asia,,2075,4892130816,4597009408,5315886080
Asia,,2080,4799282176,4477037568,5281281536
Asia,,2085,4695324672,4345406976,5239598592
Asia,,2090,4584994816,4207162624,5194718208
Asia,,2095,4470257152,4065502976,5148381184
Asia,,2100,4355246592,3924136704,5102760448
Europe,,1970,655663680,655663680,655663680
Europe,,1975,675892352,675892352,675892352
Europe,,1980,692620608,692620608,692620608
Europe,,1985,689756736,689756736,689756736
Europe,,1990,720213760,720213760,720213760
Europe,,1995,727122048,727122048,727122048
Europe,,2000,726764992,726764992,726764992
Europe,,2005,730398528,730398528,730398528
Europe,,2010,737849088,737849344,737849344
Europe,,2015,743836160,743428608,744014528
Europe,,2020,748064192,746673920,748731008
Europe,,2025,751149504,748441920,752464448
Europe,,2030,753106176,748897984,755113792
Europe,,2035,754281344,748599552,757185792
Europe,,2040,755060544,747847360,759191040
Europe,,2045,755244032,746229888,760943296
Europe,,2050,754421888,743230656,761992512
Europe,,2055,752490112,738873792,762239104
Europe,,2060,749805248,733682752,762037120
Europe,,2065,745833344,727259456,760779136
Europe,,2070,741061376,720101376,758964800
Europe,,2075,735774336,712441088,756891136
Europe,,2080,729936448,704173056,754512576
Europe,,2085,723620672,695350528,751874624
Europe,,2090,716939584,686136128,749040128
Europe,,2095,709922304,676634240,745985344
Europe,,2100,702235200,666576960,742338752
Latin America and the Caribbean,,1970,286139456,286139456,286139456
Latin America and the Caribbean,,1975,322829024,322829024,322829024
Latin America and the Caribbean,,1980,362075648,362075648,362075648
Latin America and the Caribbean,,1985,399353792,399353792,399353792
Latin America and the Caribbean,,1990,442775872,442775872,442775872
Latin America and the Caribbean,,1995,482365024,482365024,482365024
Latin America and the Caribbean,,2000,521137248,521137248,521137248
Latin America and the Caribbean,,2005,556704576,556704576,556704576
