Entity,Code,Year,"11.6.1 - Municipal Solid Waste collection coverage, by cities (%) - EN_REF_WASCOL - All areas or breakdown by cities not available (%)"
Andorra,AND,2012,100
Armenia,ARM,2012,75.9
Australia and New Zealand,,2017,94
Bahrain,BHR,2008,100
Belarus,BLR,2012,100
Bosnia and Herzegovina,BIH,2012,74
Central and Southern Asia,,2017,66.7
Eastern and South-Eastern Asia,,2017,72
Europe and Northern America,,2017,89.6
Hong Kong,HKG,2015,100
Kosovo,OWID_KOS,2018,71
Latin America and the Caribbean	,,2017,80.4
Macao,MAC,2009,100
Macedonia,MKD,2012,73
Monaco,MCO,2012,100
Montenegro,MNE,2012,75.92
Northern Africa and Western Asia,,2017,73.5
Sub-Saharan Africa,,2017,43.4
