Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions (%) - IC_GEN_MGTN (%)
Albania,ALB,2007,22.8
Albania,ALB,2008,24.4
Albania,ALB,2009,22
Albania,ALB,2010,16.3
Albania,ALB,2012,14.7
Albania,ALB,2013,29.3
Argentina,ARG,2004,28.6
Argentina,ARG,2005,26.3
Argentina,ARG,2006,29.4
Argentina,ARG,2008,29.9
Argentina,ARG,2009,34.4
Argentina,ARG,2010,32.1
Argentina,ARG,2011,30.2
Argentina,ARG,2012,32.3
Argentina,ARG,2013,36.5
Argentina,ARG,2014,38.6
Argentina,ARG,2017,32.2
Austria,AUT,2000,28.1
Austria,AUT,2001,29.4
Austria,AUT,2002,30.8
Austria,AUT,2003,28.5
Austria,AUT,2004,22.2
Austria,AUT,2005,21.5
Austria,AUT,2006,21
Austria,AUT,2007,21
Austria,AUT,2008,25.2
Austria,AUT,2009,23.3
Austria,AUT,2010,25.4
Austria,AUT,2011,26.1
Austria,AUT,2012,27.1
Austria,AUT,2013,26.3
Austria,AUT,2014,27.9
Austria,AUT,2015,27.9
Austria,AUT,2016,29.5
Austria,AUT,2017,29.2
Bangladesh,BGD,2006,10.9
Bangladesh,BGD,2010,10
Bangladesh,BGD,2017,11.5
Belgium,BEL,2000,24.5
Belgium,BEL,2001,28.4
Belgium,BEL,2002,28
Belgium,BEL,2003,27.3
Belgium,BEL,2004,26.9
Belgium,BEL,2005,30.2
Belgium,BEL,2006,31.1
Belgium,BEL,2007,33.5
Belgium,BEL,2008,31.9
Belgium,BEL,2009,34.6
Belgium,BEL,2010,34.8
Belgium,BEL,2011,30.5
Belgium,BEL,2012,31.7
Belgium,BEL,2013,30.8
Belgium,BEL,2014,31.3
Belgium,BEL,2015,31
Belgium,BEL,2016,32
Belgium,BEL,2017,32.9
Belize,BLZ,2015,39.1
Bolivia,BOL,2016,30
Bolivia,BOL,2017,26.8
Bosnia and Herzegovina,BIH,2006,23.7
Bosnia and Herzegovina,BIH,2007,20.3
Bosnia and Herzegovina,BIH,2008,33.4
Bosnia and Herzegovina,BIH,2009,27.7
Bosnia and Herzegovina,BIH,2011,22.6
Bosnia and Herzegovina,BIH,2012,23
Bosnia and Herzegovina,BIH,2014,24.2
Botswana,BWA,2009,29.6
Brazil,BRA,2002,35
Brazil,BRA,2003,34.2
Brazil,BRA,2004,35.7
Brazil,BRA,2005,38.1
Brazil,BRA,2006,36.3
Brazil,BRA,2007,37.7
Brazil,BRA,2008,35.8
Brazil,BRA,2009,35.2
Brazil,BRA,2011,36.6
Brazil,BRA,2012,36.4
Brazil,BRA,2013,37
Brazil,BRA,2014,37.4
Brazil,BRA,2015,38
Brazil,BRA,2016,38.2
Brazil,BRA,2017,38.4
Brunei,BRN,2014,32.5
Bulgaria,BGR,2000,37.5
Bulgaria,BGR,2001,40.5
Bulgaria,BGR,2002,42.3
Bulgaria,BGR,2003,37.8
Bulgaria,BGR,2004,41.4
Bulgaria,BGR,2005,40.6
Bulgaria,BGR,2006,37.6
Bulgaria,BGR,2007,36.4
Bulgaria,BGR,2008,36.5
Bulgaria,BGR,2009,35.8
Bulgaria,BGR,2010,38.6
Bulgaria,BGR,2011,37
Bulgaria,BGR,2012,35.5
Bulgaria,BGR,2013,36
Bulgaria,BGR,2014,35.4
Bulgaria,BGR,2015,37.4
Bulgaria,BGR,2016,39.3
Bulgaria,BGR,2017,39.3
Cambodia,KHM,2012,16.7
Croatia,HRV,2002,26.8
Croatia,HRV,2003,28.3
Croatia,HRV,2004,17.5
Croatia,HRV,2005,28.2
Croatia,HRV,2006,27.5
Croatia,HRV,2007,22.7
Croatia,HRV,2008,32.1
Croatia,HRV,2009,37.2
Croatia,HRV,2010,27.4
Croatia,HRV,2011,23.6
Croatia,HRV,2012,25.8
Croatia,HRV,2013,23.9
Croatia,HRV,2014,24.4
Croatia,HRV,2015,26.1
Croatia,HRV,2016,29.5
Croatia,HRV,2017,27.9
Cyprus,CYP,2000,18.5
Cyprus,CYP,2001,18.6
Cyprus,CYP,2002,17.3
Cyprus,CYP,2004,17
Cyprus,CYP,2005,17.1
Cyprus,CYP,2006,17.2
Cyprus,CYP,2007,17.7
Cyprus,CYP,2008,20.4
Cyprus,CYP,2009,13.8
Cyprus,CYP,2010,14.3
Cyprus,CYP,2011,14.7
Cyprus,CYP,2012,16.4
Cyprus,CYP,2013,18.7
Cyprus,CYP,2014,18.1
Cyprus,CYP,2015,25.2
Cyprus,CYP,2016,27
Cyprus,CYP,2017,22.4
Czech Republic,CZE,2000,26.8
Czech Republic,CZE,2001,29.3
Czech Republic,CZE,2002,28.5
Czech Republic,CZE,2003,31.7
Czech Republic,CZE,2004,30.2
Czech Republic,CZE,2005,31.6
Czech Republic,CZE,2006,30.7
Czech Republic,CZE,2007,29.5
Czech Republic,CZE,2008,29.3
Czech Republic,CZE,2009,28.9
Czech Republic,CZE,2010,27.8
Czech Republic,CZE,2011,24
Czech Republic,CZE,2012,23.1
Czech Republic,CZE,2013,24.5
Czech Republic,CZE,2014,26.6
Czech Republic,CZE,2015,27.8
Czech Republic,CZE,2016,23.1
Czech Republic,CZE,2017,24.1
Democratic Republic of Congo,COD,2005,5.7
Denmark,DNK,2000,19.7
Denmark,DNK,2001,17.6
Denmark,DNK,2002,17.9
Denmark,DNK,2003,20.5
Denmark,DNK,2004,20.6
Denmark,DNK,2005,21.4
Denmark,DNK,2006,20.4
Denmark,DNK,2007,25.3
Denmark,DNK,2008,19.9
Denmark,DNK,2009,20.4
Denmark,DNK,2010,19.5
Denmark,DNK,2011,28.6
Denmark,DNK,2012,28.8
Denmark,DNK,2013,27.5
Denmark,DNK,2014,26.2
Denmark,DNK,2015,26.9
Denmark,DNK,2016,28.6
Denmark,DNK,2017,27.6
Dominican Republic,DOM,2000,36.9
Dominican Republic,DOM,2001,40
Dominican Republic,DOM,2002,31.5
Dominican Republic,DOM,2003,39.1
Dominican Republic,DOM,2004,40.3
Dominican Republic,DOM,2005,45.1
Dominican Republic,DOM,2006,45
Dominican Republic,DOM,2007,38.6
Dominican Republic,DOM,2008,37.5
Dominican Republic,DOM,2009,45.4
Dominican Republic,DOM,2010,46.2
Dominican Republic,DOM,2011,51.8
Dominican Republic,DOM,2012,58
Dominican Republic,DOM,2013,46.6
Dominican Republic,DOM,2014,46.7
Dominican Republic,DOM,2015,48.9
Dominican Republic,DOM,2016,47.4
Dominican Republic,DOM,2017,50.5
Ecuador,ECU,2003,34.4
Ecuador,ECU,2004,32.9
Ecuador,ECU,2005,33.7
Ecuador,ECU,2006,30.2
Ecuador,ECU,2007,40.1
Ecuador,ECU,2008,33.6
Ecuador,ECU,2009,32.7
Ecuador,ECU,2010,33.6
Ecuador,ECU,2011,43.9
Ecuador,ECU,2012,43.2
Ecuador,ECU,2013,35.6
Ecuador,ECU,2014,35.6
Ecuador,ECU,2015,33.3
Ecuador,ECU,2016,34
Ecuador,ECU,2017,35.2
Egypt,EGY,2008,9
El Salvador,SLV,2010,37.6
El Salvador,SLV,2011,42.9
El Salvador,SLV,2012,55.8
El Salvador,SLV,2013,42.7
El Salvador,SLV,2014,35.6
El Salvador,SLV,2015,40.7
El Salvador,SLV,2016,34.1
El Salvador,SLV,2017,32.7
Estonia,EST,2000,34.8
Estonia,EST,2001,38.2
Estonia,EST,2002,37.2
Estonia,EST,2003,34.8
Estonia,EST,2004,41.2
Estonia,EST,2005,41
Estonia,EST,2006,39.6
Estonia,EST,2007,34.9
Estonia,EST,2008,36.6
Estonia,EST,2009,34.3
Estonia,EST,2010,38.4
Estonia,EST,2011,34.6
Estonia,EST,2012,31.6
Estonia,EST,2013,32.8
Estonia,EST,2014,30.8
Estonia,EST,2015,27.8
Estonia,EST,2016,31.6
Estonia,EST,2017,34.3
Ethiopia,ETH,2005,15.1
Ethiopia,ETH,2013,21.1
Fiji,FJI,2011,30.7
Fiji,FJI,2016,38.6
Finland,FIN,2000,27.6
Finland,FIN,2001,29.7
Finland,FIN,2002,30.2
Finland,FIN,2003,30.9
Finland,FIN,2004,30.7
Finland,FIN,2005,32.7
Finland,FIN,2006,33.9
Finland,FIN,2007,32.3
Finland,FIN,2008,33.6
Finland,FIN,2009,34.7
Finland,FIN,2010,34.3
Finland,FIN,2011,31.1
Finland,FIN,2012,29.7
Finland,FIN,2013,29.5
Finland,FIN,2014,34.3
Finland,FIN,2015,33.5
Finland,FIN,2016,34.1
Finland,FIN,2017,31.5
France,FRA,2000,31.7
France,FRA,2001,32.6
France,FRA,2002,34.5
France,FRA,2003,32.5
France,FRA,2004,33.1
France,FRA,2005,36.3
France,FRA,2006,37
France,FRA,2007,36.5
France,FRA,2008,36.8
France,FRA,2009,37.4
France,FRA,2010,38.5
France,FRA,2011,39.1
France,FRA,2012,39.2
France,FRA,2013,35.6
France,FRA,2014,32
France,FRA,2015,30.9
France,FRA,2016,31.1
France,FRA,2017,32.5
Gambia,GMB,2012,33.7
Germany,DEU,2000,20.7
Germany,DEU,2001,20.6
Germany,DEU,2002,22
Germany,DEU,2003,23.1
Germany,DEU,2004,22.8
Germany,DEU,2005,23.6
Germany,DEU,2006,24.2
Germany,DEU,2007,24.8
Germany,DEU,2008,25.7
Germany,DEU,2009,26.8
Germany,DEU,2010,27.5
Germany,DEU,2011,27.9
Germany,DEU,2012,27.1
Germany,DEU,2013,27.5
Germany,DEU,2014,27.8
Germany,DEU,2015,28.1
Germany,DEU,2016,28.1
Germany,DEU,2017,28.2
Ghana,GHA,2013,26.7
Ghana,GHA,2015,33.1
Greece,GRC,2000,19.9
Greece,GRC,2001,18.6
Greece,GRC,2002,15.5
Greece,GRC,2003,20.7
Greece,GRC,2004,21.2
Greece,GRC,2005,23.7
Greece,GRC,2006,22.5
Greece,GRC,2007,22.8
Greece,GRC,2008,26.3
Greece,GRC,2009,27
Greece,GRC,2010,26.9
Greece,GRC,2011,22
Greece,GRC,2012,22.2
Greece,GRC,2013,25.8
Greece,GRC,2014,27.8
Greece,GRC,2015,24.7
Greece,GRC,2016,24.7
Greece,GRC,2017,29.7
Guatemala,GTM,2003,25.5
Guatemala,GTM,2004,46.6
Guatemala,GTM,2010,33.2
Guatemala,GTM,2011,60.9
Guatemala,GTM,2012,35.6
Guatemala,GTM,2013,29.4
Guatemala,GTM,2014,35.4
Guatemala,GTM,2015,34.6
Guyana,GUY,2017,35.4
Honduras,HND,2005,33.2
Honduras,HND,2006,33.8
