Entity,Code,Year,"Share of youth not in education, employment or training, total (% of youth population) (% of youth population)"
Albania,ALB,2007,33.7695999145508
Albania,ALB,2008,28.1175994873047
Albania,ALB,2009,30.7338008880615
Albania,ALB,2010,29.5018997192383
Albania,ALB,2011,30.0109996795654
Albania,ALB,2012,27.6543998718262
Albania,ALB,2013,30.9775009155273
Albania,ALB,2014,34.5
Albania,ALB,2015,32.7999992370605
Algeria,DZA,2009,25.4500007629395
Algeria,DZA,2010,24.5300006866455
Algeria,DZA,2011,26
Algeria,DZA,2012,22.7000007629395
Algeria,DZA,2013,21.5
Algeria,DZA,2014,22.7999992370605
Algeria,DZA,2015,21.2000007629395
Angola,AGO,2004,30.9573993682861
Angola,AGO,2011,10.0088996887207
Argentina,ARG,2004,20.9838008880615
Argentina,ARG,2005,19.8736000061035
Argentina,ARG,2006,19.5084991455078
Argentina,ARG,2008,19.4214000701904
Argentina,ARG,2009,20.0359001159668
Argentina,ARG,2010,19.4591999053955
Argentina,ARG,2011,18.404899597168
Argentina,ARG,2012,18.406099319458
Argentina,ARG,2013,19.0701007843018
Argentina,ARG,2014,19.6749000549316
Argentina,ARG,2017,19.2457008361816
Armenia,ARM,2011,44.5999984741211
Armenia,ARM,2012,39.9900016784668
Armenia,ARM,2013,44.3699989318848
Armenia,ARM,2014,38.0317993164063
Armenia,ARM,2015,35.560001373291
Armenia,ARM,2016,36.5834999084473
Aruba,ABW,2010,16.5599994659424
Australia,AUS,2009,11.3999996185303
Australia,AUS,2010,11.3199996948242
Australia,AUS,2011,10.5799999237061
Australia,AUS,2012,9.89999961853027
Australia,AUS,2013,11
Australia,AUS,2014,10.0600004196167
Australia,AUS,2015,9.77000045776367
Australia,AUS,2016,8.68000030517578
Austria,AUT,2004,9.64000034332275
Austria,AUT,2005,8.61999988555908
Austria,AUT,2006,7.80999994277954
Austria,AUT,2007,7.44000005722046
Austria,AUT,2008,7.38000011444092
Austria,AUT,2009,8.1899995803833
Austria,AUT,2010,7.42000007629395
Austria,AUT,2011,7.28000020980835
Austria,AUT,2012,6.80000019073486
Austria,AUT,2013,7.32999992370605
Austria,AUT,2014,7.69999980926514
Austria,AUT,2015,7.51999998092651
Austria,AUT,2016,7.69999980926514
Austria,AUT,2017,6.53999996185303
Bangladesh,BGD,2005,30.9899997711182
Bangladesh,BGD,2006,32.2555999755859
Bangladesh,BGD,2010,30.0596008300781
Bangladesh,BGD,2013,20.2080001831055
Bangladesh,BGD,2016,28.8799991607666
Bangladesh,BGD,2017,27.3862991333008
Belarus,BLR,2009,12.0799999237061
Belgium,BEL,2004,8.55000019073486
Belgium,BEL,2005,13.0200004577637
Belgium,BEL,2006,11.2399997711182
Belgium,BEL,2007,11.1599998474121
Belgium,BEL,2008,10.1400003433228
Belgium,BEL,2009,11.0799999237061
Belgium,BEL,2010,10.8599996566772
Belgium,BEL,2011,11.8100004196167
Belgium,BEL,2012,12.3400001525879
Belgium,BEL,2013,12.6800003051758
Belgium,BEL,2014,12.0500001907349
Belgium,BEL,2015,12.1800003051758
Belgium,BEL,2016,9.89000034332275
Belgium,BEL,2017,9.31999969482422
Belize,BLZ,2012,11.9539442062378
Belize,BLZ,2015,8.42000007629395
Belize,BLZ,2016,22.3999996185303
Benin,BEN,2010,3.50999999046326
Benin,BEN,2011,17.2343006134033
Benin,BEN,2012,20
Bermuda,BMU,2010,6.78999996185303
Bolivia,BOL,2005,12.0801000595093
Bolivia,BOL,2006,10.7856998443604
Bolivia,BOL,2007,11.019100189209
Bolivia,BOL,2008,9.68509960174561
Bolivia,BOL,2009,9.1786003112793
Bolivia,BOL,2011,10.8535995483398
Bolivia,BOL,2012,10.4135999679565
Bolivia,BOL,2013,10.4503002166748
Bolivia,BOL,2014,11.1575002670288
