Entity,Code,Year,Drinking water - Proportion of population using improved water supplies - Safely managed - National - Percent (%)
Albania,ALB,2000,43.23526733845365
Albania,ALB,2001,45.10883529969239
Albania,ALB,2002,46.96694782668245
Albania,ALB,2003,48.82130378234784
Albania,ALB,2004,50.67153528123738
Albania,ALB,2005,52.51718208709227
Albania,ALB,2006,54.35792086246689
Albania,ALB,2007,56.19335843983379
Albania,ALB,2008,58.02310323184322
Albania,ALB,2009,59.84667610056022
Albania,ALB,2010,61.6638286105354
Albania,ALB,2011,63.47411243652562
Albania,ALB,2012,65.27720509154695
Albania,ALB,2013,67.07239399141106
Albania,ALB,2014,68.85950421201873
Albania,ALB,2015,68.86997942559599
Argentina,ARG,2000,97.69474394501101
Argentina,ARG,2001,97.74355979258681
Argentina,ARG,2002,97.79118751006523
Argentina,ARG,2003,97.83748803177237
Argentina,ARG,2004,97.8823089722946
Argentina,ARG,2005,97.99673054561467
Argentina,ARG,2006,98.10961002649786
Argentina,ARG,2007,98.22097668754625
Argentina,ARG,2008,98.26948526240986
Argentina,ARG,2009,98.3069442534958
Argentina,ARG,2010,98.34307778033067
Argentina,ARG,2011,98.37787413148031
Argentina,ARG,2012,98.4113653593348
Argentina,ARG,2013,98.40937503581397
Argentina,ARG,2014,98.53206530225125
Argentina,ARG,2015,98.52741479557137
Armenia,ARM,2000,26.70134792681494
Armenia,ARM,2001,26.74775765402821
Armenia,ARM,2002,31.05287444249178
Armenia,ARM,2003,35.37558677811828
Armenia,ARM,2004,39.71474520182181
Armenia,ARM,2005,43.88958236972932
Armenia,ARM,2006,46.71576736716972
Armenia,ARM,2007,49.53149010487
Armenia,ARM,2008,52.33007182968514
Armenia,ARM,2009,55.09441153117668
Armenia,ARM,2010,57.82535016384367
Armenia,ARM,2011,60.49994993963106
Armenia,ARM,2012,60.42448345328401
Armenia,ARM,2013,60.35563561566107
Armenia,ARM,2014,60.61757128512976
Armenia,ARM,2015,60.58144619442621
Austria,AUT,2000,97.83015329125337
Austria,AUT,2001,97.88747069431919
Austria,AUT,2002,97.94478809738503
Austria,AUT,2003,98.00210550045088
Austria,AUT,2004,98.05942290351666
Austria,AUT,2005,98.1167403065825
Austria,AUT,2006,98.17405770964832
Austria,AUT,2007,98.23137511271415
Austria,AUT,2008,98.28869251577997
Austria,AUT,2009,98.3460099188458
Austria,AUT,2010,98.40332732191163
Austria,AUT,2011,98.46064472497746
Austria,AUT,2012,98.51796212804328
Austria,AUT,2013,98.5752795311091
Austria,AUT,2014,98.63259693417491
Austria,AUT,2015,98.68991433724075
Azerbaijan,AZE,2000,51.42219462755563
Azerbaijan,AZE,2001,51.79795955019723
Azerbaijan,AZE,2002,52.17130909506881
Azerbaijan,AZE,2003,52.54258431071297
Azerbaijan,AZE,2004,54.66451632635768
Azerbaijan,AZE,2005,56.80834177936027
Azerbaijan,AZE,2006,58.97400053207301
Azerbaijan,AZE,2007,61.16142860427114
Azerbaijan,AZE,2008,63.37008524410177
Azerbaijan,AZE,2009,65.59990798767232
Azerbaijan,AZE,2010,67.85234131502546
Azerbaijan,AZE,2011,69.78570723383532
Azerbaijan,AZE,2012,70.21467046407673
Azerbaijan,AZE,2013,70.6464120111929
Azerbaijan,AZE,2014,71.08077613153361
Azerbaijan,AZE,2015,71.51716401082196
Bahrain,BHR,2000,98.63923022178079
Bahrain,BHR,2001,98.64919646358268
Bahrain,BHR,2002,98.65916270538459
Bahrain,BHR,2003,98.66912894718651
Bahrain,BHR,2004,98.6790951889884
Bahrain,BHR,2005,98.68906143079029
Bahrain,BHR,2006,98.69902767259221
Bahrain,BHR,2007,98.7089939143941
Bahrain,BHR,2008,98.71896015619599
Bahrain,BHR,2009,98.72892639799791
Bahrain,BHR,2010,98.7388926397998
Bahrain,BHR,2011,98.74000000000001
Bahrain,BHR,2012,98.74000000000001
Bahrain,BHR,2013,98.74000000000001
Bahrain,BHR,2014,98.74000000000001
Bahrain,BHR,2015,98.74000000000001
Bangladesh,BGD,2000,55.85230932040262
Bangladesh,BGD,2001,55.88458294872309
Bangladesh,BGD,2002,55.8922839921358
Bangladesh,BGD,2003,55.89623961417481
Bangladesh,BGD,2004,55.89655101348889
Bangladesh,BGD,2005,55.89347952503467
Bangladesh,BGD,2006,55.88651661055162
Bangladesh,BGD,2007,55.87576748716526
Bangladesh,BGD,2008,55.86134272997025
Bangladesh,BGD,2009,55.84335827203008
Bangladesh,BGD,2010,55.8214509769773
Bangladesh,BGD,2011,55.79589825367547
Bangladesh,BGD,2012,55.76797315563326
Bangladesh,BGD,2013,55.73832962300418
Bangladesh,BGD,2014,55.70664202520376
Bangladesh,BGD,2015,55.67324670875448
Belarus,BLR,2000,79.14676767241835
Belarus,BLR,2001,79.14926990066336
Belarus,BLR,2002,79.15175149197437
Belarus,BLR,2003,79.15420728711794
Belarus,BLR,2004,80.58925854303376
Belarus,BLR,2005,82.02489307590103
Belarus,BLR,2006,83.46111431367312
Belarus,BLR,2007,84.89792553388578
Belarus,BLR,2008,86.33533624679013
Belarus,BLR,2009,87.77333027969628
Belarus,BLR,2010,89.2119365160737
Belarus,BLR,2011,90.65109463711441
Belarus,BLR,2012,92.0908163161941
Belarus,BLR,2013,93.36121509135704
Belarus,BLR,2014,94.4113666061649
Belarus,BLR,2015,94.42866885699009
Belgium,BEL,2000,99.52318566242397
Belgium,BEL,2001,99.52318566242397
Belgium,BEL,2002,99.52318566242394
Belgium,BEL,2003,99.52318566242394
Belgium,BEL,2004,99.52318566242394
Belgium,BEL,2005,99.41666666666669
Belgium,BEL,2006,99.30000000000001
Belgium,BEL,2007,99.18333333333334
Belgium,BEL,2008,99.06666666666666
Belgium,BEL,2009,98.95000000000002
Belgium,BEL,2010,98.83333333333333
Belgium,BEL,2011,98.71666666666667
Belgium,BEL,2012,98.60000000000002
Belgium,BEL,2013,98.48333333333335
Belgium,BEL,2014,98.36666666666667
Belgium,BEL,2015,98.36666666666667
Bhutan,BTN,2000,27.18882237489108
Bhutan,BTN,2001,27.77378784160531
Bhutan,BTN,2002,28.35540050217766
Bhutan,BTN,2003,28.93328149948173
Bhutan,BTN,2004,29.50726534408724
Bhutan,BTN,2005,30.06735220360985
Bhutan,BTN,2006,30.5389809908826
Bhutan,BTN,2007,31.00586990439564
