Entity,Code,Year,Opposed to nuclear energy (Ipsos MORI (2011)) (%)
Argentina,ARG,2011,72
Australia,AUS,2011,66
Belgium,BEL,2011,60
Brazil,BRA,2011,69
Canada,CAN,2011,63
China,CHN,2011,58
France,FRA,2011,67
Germany,DEU,2011,79
Hungary,HUN,2011,59
India,IND,2011,39
Indonesia,IDN,2011,67
Italy,ITA,2011,81
Japan,JPN,2011,58
Mexico,MEX,2011,81
Poland,POL,2011,43
Russia,RUS,2011,62
Saudi Arabia,SAU,2011,58
South Africa,ZAF,2011,60
South Korea,KOR,2011,61
Spain,ESP,2011,60
Sweden,SWE,2011,51
Turkey,TUR,2011,71
United Kingdom,GBR,2011,51
United States,USA,2011,48
World,OWID_WRL,2011,62
