Entity,Code,Year,Trust in Government (%)
United States,USA,1958,73
United States,USA,1964,77
United States,USA,1966,65
United States,USA,1968,62
United States,USA,1970,54
United States,USA,1972,53
United States,USA,1974,36
United States,USA,1976,35
United States,USA,1977,34
United States,USA,1978,29
United States,USA,1979,30
United States,USA,1980,30
United States,USA,1982,33
United States,USA,1984,45
United States,USA,1985,42.6
United States,USA,1986,42.5
United States,USA,1987,43.4
United States,USA,1988,41.3333
United States,USA,1989,39.5
United States,USA,1990,33.25
United States,USA,1991,43.25
United States,USA,1992,24.6667
United States,USA,1993,24.6667
United States,USA,1994,21
United States,USA,1995,21.4
United States,USA,1996,29.75
United States,USA,1997,29
United States,USA,1998,31.1111
United States,USA,1999,33.125
United States,USA,2000,39.4
United States,USA,2001,48.5
United States,USA,2002,44.5
United States,USA,2003,36.5
United States,USA,2004,40.6667
United States,USA,2005,30.5
United States,USA,2006,31
United States,USA,2007,27.5
United States,USA,2008,24.6667
United States,USA,2009,21.3333
United States,USA,2010,22
United States,USA,2011,18.6
United States,USA,2012,22
United States,USA,2013,20.4
United States,USA,2014,19
United States,USA,2015,19
