Entity,Code,Year,Pupil-teacher ratio in pre-primary education (headcount basis) (headcount basis)
Afghanistan,AFG,1970,23.3095207214355
Afghanistan,AFG,1971,23.6904792785645
Afghanistan,AFG,1972,20.984619140625
Afghanistan,AFG,1973,18.2602691650391
Afghanistan,AFG,1974,19.9054107666016
Afghanistan,AFG,1975,19.9052600860596
Afghanistan,AFG,1976,17.6280498504639
Afghanistan,AFG,1977,16.9681797027588
Afghanistan,AFG,1980,12.1138200759888
Afghanistan,AFG,1981,11.5581398010254
Afghanistan,AFG,1982,14.8432598114014
Afghanistan,AFG,1984,17.2043304443359
Afghanistan,AFG,1985,19.4730796813965
Afghanistan,AFG,1986,11.9614601135254
Afghanistan,AFG,2003,7.22769021987915
Albania,ALB,1971,19.3187007904053
Albania,ALB,1972,19.4349403381348
Albania,ALB,1980,21.5861892700195
Albania,ALB,1981,22.2224903106689
Albania,ALB,1982,21.8487606048584
Albania,ALB,1983,22.125
Albania,ALB,1984,22.391300201416
Albania,ALB,1985,22.6067695617676
Albania,ALB,1986,22.8047409057617
Albania,ALB,1987,22.7452507019043
Albania,ALB,1988,22.873140335083
Albania,ALB,1989,22.8344993591309
Albania,ALB,1990,23.0352897644043
Albania,ALB,1991,22.9532108306885
Albania,ALB,1992,20.0163593292236
Albania,ALB,1993,15.9647703170776
Albania,ALB,1994,17.5611591339111
Albania,ALB,1995,18.1535701751709
Albania,ALB,1996,19.1431198120117
Albania,ALB,1997,18.8733997344971
Albania,ALB,1998,19.2183094024658
Albania,ALB,1999,19.974100112915
Albania,ALB,2000,21.0408706665039
Albania,ALB,2001,20.9016990661621
Albania,ALB,2002,21.9812297821045
Albania,ALB,2003,21.6702194213867
Albania,ALB,2004,21.1783695220947
Albania,ALB,2005,20.5224094390869
Albania,ALB,2006,20.264139175415
Albania,ALB,2007,20.0850791931152
Albania,ALB,2008,19.6440906524658
Albania,ALB,2009,19.1048393249512
Albania,ALB,2010,18.0776996612549
Albania,ALB,2011,18.8754596710205
Albania,ALB,2012,18.5072402954102
Albania,ALB,2013,18.200309753418
Albania,ALB,2014,18.2537002563477
Algeria,DZA,1993,20.2687091827393
Algeria,DZA,1994,22.3018703460693
Algeria,DZA,1995,21.6070308685303
Algeria,DZA,1996,25.7649402618408
Algeria,DZA,1997,25.1335296630859
Algeria,DZA,1999,28.1553592681885
Algeria,DZA,2000,26.8697204589844
Algeria,DZA,2001,28.0806293487549
Algeria,DZA,2003,27.9080791473389
Algeria,DZA,2004,26.2794799804688
Algeria,DZA,2005,28.9107494354248
Algeria,DZA,2006,24.2104892730713
Algeria,DZA,2007,26.7991504669189
Algeria,DZA,2008,25.1997299194336
Algeria,DZA,2009,23.8058109283447
Algeria,DZA,2010,25.8043098449707
Algeria,DZA,2011,25.3601894378662
Andorra,AND,1983,12.7483396530151
Andorra,AND,2002,14.5238103866577
Andorra,AND,2003,14.8314599990845
Andorra,AND,2004,14.6853904724121
Andorra,AND,2005,13.900520324707
Andorra,AND,2006,12.4476203918457
Andorra,AND,2007,12.789999961853
Andorra,AND,2008,13.3351097106934
Andorra,AND,2009,13.0869598388672
Andorra,AND,2010,12.8930501937866
Andorra,AND,2011,13.2960901260376
Andorra,AND,2012,13.6797800064087
Andorra,AND,2013,14.0872097015381
Andorra,AND,2014,13.7039098739624
Angola,AGO,2010,37.0651092529297
Angola,AGO,2011,31.5411205291748
Antigua and Barbuda,ATG,1975,28.3333301544189
Antigua and Barbuda,ATG,1976,22.9069805145264
Antigua and Barbuda,ATG,1977,31.538459777832
Antigua and Barbuda,ATG,1978,26.3500003814697
Antigua and Barbuda,ATG,2000,6.19696998596191
Antigua and Barbuda,ATG,2007,12.8777799606323
Antigua and Barbuda,ATG,2008,11.2727298736572
Antigua and Barbuda,ATG,2010,9.40824031829834
Antigua and Barbuda,ATG,2011,8.52447986602783
Antigua and Barbuda,ATG,2012,20.9354801177979
Arab World,,1978,22.0493106842041
Arab World,,1979,22.239070892334
Arab World,,1980,22.3689804077148
Arab World,,1981,22.3881206512451
Arab World,,1982,22.5051498413086
Arab World,,1983,22.5568599700928
Arab World,,1984,23.2537307739258
Arab World,,1985,23.6383590698242
Arab World,,1986,23.2288608551025
Arab World,,1987,23.1764602661133
Arab World,,1988,22.7785797119141
Arab World,,1989,22.4924392700195
Arab World,,1990,22.5251293182373
Arab World,,1991,21.8015098571777
Arab World,,1992,21.7923393249512
Arab World,,1993,22.1873302459717
Arab World,,1994,21.9984493255615
Arab World,,1995,21.9572105407715
Arab World,,1996,21.2739505767822
Arab World,,1997,20.8938503265381
Arab World,,1998,20.3554191589355
Arab World,,1999,20.0161590576172
Arab World,,2000,18.7915802001953
Arab World,,2001,19.17214012146
Arab World,,2002,19.4968109130859
Arab World,,2003,19.0501804351807
Arab World,,2004,18.9951305389404
Arab World,,2005,18.6591300964355
Arab World,,2006,19.2264709472656
Arab World,,2007,17.9509601593018
Arab World,,2008,19.8130493164063
Arab World,,2009,21.4107398986816
Arab World,,2010,20.3381595611572
Arab World,,2011,18.7436904907227
Arab World,,2012,18.436559677124
Arab World,,2013,18.9064998626709
Arab World,,2014,19.9618091583252
Argentina,ARG,1970,19.1812896728516
Argentina,ARG,1971,18.9432392120361
Argentina,ARG,1972,18.9491806030273
Argentina,ARG,1973,20.0948696136475
Argentina,ARG,1974,19.7583293914795
Argentina,ARG,1975,19.4345703125
Argentina,ARG,1976,19.5183200836182
Argentina,ARG,1977,19.5338191986084
Argentina,ARG,1979,19.7780208587646
Argentina,ARG,1980,19.5464000701904
Argentina,ARG,1981,20.7392692565918
Argentina,ARG,1982,20.7748603820801
Argentina,ARG,1983,20.3475399017334
Argentina,ARG,1984,19.9678192138672
Argentina,ARG,1985,19.1048908233643
Argentina,ARG,1986,18.0695705413818
Argentina,ARG,1987,18.3880500793457
Argentina,ARG,1988,17.9040699005127
Argentina,ARG,1994,15.3650999069214
Argentina,ARG,1997,15.9926204681396
Argentina,ARG,1998,21.4375190734863
Argentina,ARG,1999,23.7919807434082
Argentina,ARG,2001,23.8694095611572
Argentina,ARG,2002,23.7127704620361
Argentina,ARG,2003,21.6593494415283
Argentina,ARG,2004,19.6245594024658
Argentina,ARG,2005,19.2907295227051
Argentina,ARG,2006,18.5331592559814
Argentina,ARG,2007,17.6575698852539
