Entity,Code,Year,Percentage of pupils in early primary education grades (2 or 3) achieving at least a minimum proficiency level in reading (GEM Report (2017/8)) (%)
Argentina,ARG,2015,62
Australia,AUS,2015,94
Benin,BEN,2015,10
Botswana,BWA,2015,26
Brazil,BRA,2015,66
Burkina Faso,BFA,2015,35
Burundi,BDI,2015,79
Cameroon,CMR,2015,30
Canada,CAN,2015,98
Chad,TCD,2015,18
Chile,CHL,2015,90
Colombia,COL,2015,68
Congo,COG,2015,38
Costa Rica,CRI,2015,82
Cote d'Ivoire,CIV,2015,17
Denmark,DNK,2015,99
Dominican Republic,DOM,2015,26
Ecuador,ECU,2015,62
Finland,FIN,2015,100
Georgia,GEO,2015,87
Guatemala,GTM,2015,54
Honduras,HND,2015,54
Indonesia,IDN,2015,66
Iran,IRN,2015,76
Ireland,IRL,2015,97
Israel,ISR,2015,93
Kenya,KEN,2015,29
Malta,MLT,2015,78
Mexico,MEX,2015,67
Morocco,MAR,2015,19
Netherlands,NLD,2015,100
New Zealand,NZL,2015,92
Nicaragua,NIC,2015,44
Niger,NER,2015,10
Norway,NOR,2015,96
Oman,OMN,2015,46
Panama,PAN,2015,51
Paraguay,PRY,2015,43
Peru,PER,2015,68
Poland,POL,2015,95
Portugal,PRT,2015,98
Qatar,QAT,2015,58
Saudi Arabia,SAU,2015,65
Senegal,SEN,2015,29
Singapore,SGP,2015,97
Slovenia,SVN,2015,96
South Africa,ZAF,2015,33
Spain,ESP,2015,95
Sweden,SWE,2015,98
Tanzania,TZA,2015,12
Togo,TGO,2015,20
Trinidad and Tobago,TTO,2015,78
Uganda,UGA,2015,10
Uruguay,URY,2015,71
