Entity,Code,Year,Percent of elections observed and criticized (%),Percent of elections observed and not criticized (%)
World,OWID_WRL,1945,0,5
World,OWID_WRL,1946,0,3.5714285
World,OWID_WRL,1947,0,0
World,OWID_WRL,1948,0,0
World,OWID_WRL,1949,0,0
World,OWID_WRL,1950,0,0
World,OWID_WRL,1951,0,4.7619047
World,OWID_WRL,1952,0,0
World,OWID_WRL,1953,0,0
World,OWID_WRL,1954,0,4
World,OWID_WRL,1955,0,5.8823528
World,OWID_WRL,1956,0,4.347826
World,OWID_WRL,1957,0,0
World,OWID_WRL,1958,0,5.1282053
World,OWID_WRL,1959,0,0
World,OWID_WRL,1960,3.2258065,6.4516129
World,OWID_WRL,1961,0,0
World,OWID_WRL,1962,0,3.7037036
World,OWID_WRL,1963,0,3.2258065
World,OWID_WRL,1964,0,3.3333333
World,OWID_WRL,1965,0,0
World,OWID_WRL,1966,0,14.285714
World,OWID_WRL,1967,0,10.714286
World,OWID_WRL,1968,3.8461537,0
World,OWID_WRL,1969,0,0
World,OWID_WRL,1970,0,8.1081085
World,OWID_WRL,1971,0,6.6666665
World,OWID_WRL,1972,0,3.7037036
World,OWID_WRL,1973,0,0
World,OWID_WRL,1974,0,7.1428571
World,OWID_WRL,1975,0,0
World,OWID_WRL,1976,0,4
World,OWID_WRL,1977,0,2.8571429
World,OWID_WRL,1978,2.8571429,5.7142859
World,OWID_WRL,1979,2.7027028,0
World,OWID_WRL,1980,3.5714285,7.1428571
World,OWID_WRL,1981,5.7142859,11.428572
World,OWID_WRL,1982,0,11.428572
World,OWID_WRL,1983,3.125,6.25
World,OWID_WRL,1984,10,13.333333
World,OWID_WRL,1985,3.030303,9.090909
World,OWID_WRL,1986,8.333333,16.666666
World,OWID_WRL,1987,2.9411764,8.8235292
World,OWID_WRL,1988,2.9411764,11.764706
World,OWID_WRL,1989,2.7777777,25
World,OWID_WRL,1990,2.2222223,33.333332
World,OWID_WRL,1991,0,34.210526
World,OWID_WRL,1992,8.7719297,29.824562
World,OWID_WRL,1993,1.9607843,52.941177
World,OWID_WRL,1994,10.638298,40.425533
World,OWID_WRL,1995,11.627907,32.55814
World,OWID_WRL,1996,12.727273,40
World,OWID_WRL,1997,12.5,31.25
World,OWID_WRL,1998,12.765958,25.531916
World,OWID_WRL,1999,15.094339,49.056602
World,OWID_WRL,2000,17.647058,35.294117
World,OWID_WRL,2001,11.627907,41.860466
World,OWID_WRL,2002,5.4545455,50.909092
World,OWID_WRL,2003,17.073172,34.146343
World,OWID_WRL,2004,11.320755,47.169811
World,OWID_WRL,2005,15.555555,48.888889
World,OWID_WRL,2006,7.4074073,55.555557
World,OWID_WRL,2007,16.666666,40
World,OWID_WRL,2008,16.666666,50
World,OWID_WRL,2009,14,44
World,OWID_WRL,2010,25.925926,40.740742
World,OWID_WRL,2011,9.090909,56.363636
World,OWID_WRL,2012,8.9285717,42.857143
