Entity,Code,Year,Change in female height (%) (%)
Afghanistan,AFG,1996,3.94642075
Albania,ALB,1996,7.705741384
Algeria,DZA,1996,4.758188195
American Samoa,ASM,1996,3.997527168
Andorra,AND,1996,6.865742611
Angola,AGO,1996,3.082293073
Antigua and Barbuda,ATG,1996,6.670753748
Argentina,ARG,1996,5.703524838
Armenia,ARM,1996,5.652342153
Australia,AUS,1996,6.666634369
Austria,AUT,1996,4.486134865
Azerbaijan,AZE,1996,5.548591241
Bahamas,BHS,1996,6.720763318
Bahrain,BHR,1996,4.697910304
Bangladesh,BGD,1996,6.577948007
Barbados,BRB,1996,8.692239462
Belarus,BLR,1996,8.039945678
Belgium,BEL,1996,6.478879785
Belize,BLZ,1996,7.316420377
Benin,BEN,1996,1.955711536
Bermuda,BMU,1996,6.755970258
Bhutan,BTN,1996,4.530942747
Bolivia,BOL,1996,7.467855104
Bosnia and Herzegovina,BIH,1996,7.80250508
Botswana,BWA,1996,3.427269489
Brazil,BRA,1996,7.122724804
Brunei,BRN,1996,5.653879315
Bulgaria,BGR,1996,8.282707059
Burkina Faso,BFA,1996,2.572257112
Burundi,BDI,1996,1.910890859
Cambodia,KHM,1996,4.562939501
Cameroon,CMR,1996,3.262749685
Canada,CAN,1996,3.995715883
Cape Verde,CPV,1996,4.532286161
Central African Republic,CAF,1996,3.902760665
Chad,TCD,1996,2.219285248
Chile,CHL,1996,7.974294816
China,CHN,1996,6.362467246
Colombia,COL,1996,8.907576099
Comoros,COM,1996,3.35261606
Congo,COG,1996,3.317614906
Cook Islands,COK,1996,4.507931426
Costa Rica,CRI,1996,9.556757304
Cote d'Ivoire,CIV,1996,2.962633125
Croatia,HRV,1996,10.36115342
Cuba,CUB,1996,5.85350858
Cyprus,CYP,1996,6.705748769
Czech Republic,CZE,1996,10.27970806
Democratic Republic of Congo,COD,1996,2.813679818
Denmark,DNK,1996,6.423147134
Djibouti,DJI,1996,2.848396796
Dominica,DMA,1996,7.546373416
Dominican Republic,DOM,1996,6.783929852
East Asia and Pacific,,1996,5.27625957
Ecuador,ECU,1996,7.854587214
Egypt,EGY,1996,5.790470318
El Salvador,SLV,1996,9.446148295
Equatorial Guinea,GNQ,1996,3.090202908
Eritrea,ERI,1996,2.810937836
Estonia,EST,1996,7.796642889
Ethiopia,ETH,1996,2.325377479
Europe and Central Asia,,1996,7.125418276
Fiji,FJI,1996,5.355436213
Finland,FIN,1996,7.77573128
France,FRA,1996,6.141069222
French Polynesia,PYF,1996,5.257865026
Gabon,GAB,1996,3.867590099
Gambia,GMB,1996,3.47955329
Georgia,GEO,1996,6.10092809
Germany,DEU,1996,6.327401053
Ghana,GHA,1996,2.99962666
Greece,GRC,1996,9.500144076
Greenland,GRL,1996,9.86662544
Grenada,GRD,1996,6.96479726
Guatemala,GTM,1996,6.485579631
Guinea,GIN,1996,2.719799209
Guinea-Bissau,GNB,1996,3.608130786
Guyana,GUY,1996,6.230070523
Haiti,HTI,1996,5.999947342
Honduras,HND,1996,7.192958557
Hong Kong,HKG,1996,8.900552211
Hungary,HUN,1996,6.790334276
Iceland,ISL,1996,4.664203475
India,IND,1996,3.121907066
Indonesia,IDN,1996,5.594718084
Iran,IRN,1996,7.490621144
Iraq,IRQ,1996,6.0058401
Ireland,IRL,1996,7.249982315
Israel,ISR,1996,6.453312102
Italy,ITA,1996,7.23469171
Jamaica,JAM,1996,7.132832618
Japan,JPN,1996,11.25927705
Jordan,JOR,1996,5.740975208
Kazakhstan,KAZ,1996,5.587218177
Kenya,KEN,1996,1.450205027
Kiribati,KIR,1996,3.469402931
Kuwait,KWT,1996,6.102130557
Kyrgyzstan,KGZ,1996,6.10543801
Laos,LAO,1996,4.547696887
Latin America and Caribbean,,1996,7.162863523
Latvia,LVA,1996,9.186729939
Lebanon,LBN,1996,8.567020465
Lesotho,LSO,1996,1.727843264
Liberia,LBR,1996,2.666643713
Libya,LBY,1996,7.928004068
Lithuania,LTU,1996,8.129757224
Luxembourg,LUX,1996,6.201107595
Macedonia,MKD,1996,6.823780237
Madagascar,MDG,1996,1.004080692
Malawi,MWI,1996,1.977202136
Malaysia,MYS,1996,5.932981761
Maldives,MDV,1996,7.736292184
Mali,MLI,1996,2.818398673
Malta,MLT,1996,7.098698935
Marshall Islands,MHL,1996,1.743391788
Mauritania,MRT,1996,1.782453594
Mauritius,MUS,1996,6.158139209
Mexico,MEX,1996,9.319860719
Micronesia (country),FSM,1996,2.38798595
Middle East and North Africa,,1996,5.96983242
Moldova,MDA,1996,7.216929251
Mongolia,MNG,1996,6.980188776
Montenegro,MNE,1996,8.349372227
