Entity,Code,Year,Share of deaths (%)
Accidents,,1999,5.06
Accidents,,2000,5.07
Accidents,,2001,5.24
Accidents,,2002,5.46
Accidents,,2003,5.6
Accidents,,2004,5.87
Accidents,,2005,6.08
Accidents,,2006,6.37
Accidents,,2007,6.5
Accidents,,2008,6.3
Accidents,,2009,6.21
Accidents,,2010,6.32
Accidents,,2011,6.53
Accidents,,2012,6.58
Accidents,,2013,6.61
Accidents,,2014,6.78
Accidents,,2015,7.05
Accidents,,2016,7.64
Alzheimer's Disease,,1999,2.34
Alzheimer's Disease,,2000,2.6
Alzheimer's Disease,,2001,2.82
Alzheimer's Disease,,2002,3.06
Alzheimer's Disease,,2003,3.3
Alzheimer's Disease,,2004,3.51
Alzheimer's Disease,,2005,3.75
Alzheimer's Disease,,2006,3.85
Alzheimer's Disease,,2007,3.98
Alzheimer's Disease,,2008,4.33
Alzheimer's Disease,,2009,4.22
Alzheimer's Disease,,2010,4.42
Alzheimer's Disease,,2011,4.46
Alzheimer's Disease,,2012,4.37
Alzheimer's Disease,,2013,4.34
Alzheimer's Disease,,2014,4.73
Alzheimer's Disease,,2015,5.38
Alzheimer's Disease,,2016,5.57
Cancer,,1999,29.49
Cancer,,2000,29.72
Cancer,,2001,29.72
Cancer,,2002,29.59
Cancer,,2003,29.65
Cancer,,2004,30.22
Cancer,,2005,30.03
Cancer,,2006,30.51
Cancer,,2007,30.77
Cancer,,2008,30.45
Cancer,,2009,31.1
Cancer,,2010,31.24
Cancer,,2011,31.03
Cancer,,2012,31.23
Cancer,,2013,30.8
Cancer,,2014,30.74
Cancer,,2015,29.82
Cancer,,2016,29.45
Diabetes,,1999,3.58
Diabetes,,2000,3.64
Diabetes,,2001,3.74
Diabetes,,2002,3.8
Diabetes,,2003,3.85
Diabetes,,2004,3.9
Diabetes,,2005,3.94
Diabetes,,2006,3.85
Diabetes,,2007,3.81
Diabetes,,2008,3.7
Diabetes,,2009,3.68
Diabetes,,2010,3.66
Diabetes,,2011,3.87
Diabetes,,2012,3.86
Diabetes,,2013,3.87
Diabetes,,2014,3.87
Diabetes,,2015,3.87
Diabetes,,2016,3.84
Drug overdose,,1999,0.63
Drug overdose,,2000,0.67
Drug overdose,,2001,0.74
Drug overdose,,2002,0.91
Drug overdose,,2003,1.02
Drug overdose,,2004,1.11
Drug overdose,,2005,1.24
Drug overdose,,2006,1.47
Drug overdose,,2007,1.6
Drug overdose,,2008,1.64
Drug overdose,,2009,1.7
Drug overdose,,2010,1.76
Drug overdose,,2011,1.9
Drug overdose,,2012,1.9
Drug overdose,,2013,1.99
Drug overdose,,2014,2.12
Drug overdose,,2015,2.31
Drug overdose,,2016,2.8
Heart disease,,1999,37.81
Heart disease,,2000,37.13
Heart disease,,2001,36.51
Heart disease,,2002,35.99
Heart disease,,2003,35.44
Heart disease,,2004,34.57
Heart disease,,2005,34
Heart disease,,2006,33.41
Heart disease,,2007,32.69
Heart disease,,2008,32.23
