Entity,Code,Year,Estimated resource needs for fast-track targets (million US$) (constant 2016 US$)
Asia and the Pacific,,2018,5796000000
Asia and the Pacific,,2019,5976000000
Asia and the Pacific,,2020,5980000000
Asia and the Pacific,,2021,5964000000
Asia and the Pacific,,2022,6015000000
Asia and the Pacific,,2023,6058000000
Asia and the Pacific,,2024,6093000000
Asia and the Pacific,,2025,6121000000
Asia and the Pacific,,2026,6108000000
Asia and the Pacific,,2027,6052000000
Asia and the Pacific,,2028,6085000000
Asia and the Pacific,,2029,6008000000
Asia and the Pacific,,2030,5953000000
Caribbean,,2018,491000000
Caribbean,,2019,545000000
Caribbean,,2020,604000000
Caribbean,,2021,585000000
Caribbean,,2022,578000000
Caribbean,,2023,572000000
Caribbean,,2024,566000000
Caribbean,,2025,559000000
Caribbean,,2026,552000000
Caribbean,,2027,538000000
Caribbean,,2028,545000000
Caribbean,,2029,530000000
Caribbean,,2030,523000000
East and Southern Africa,,2018,10314000000
East and Southern Africa,,2019,10110000000
East and Southern Africa,,2020,10045000000
East and Southern Africa,,2021,9339000000
East and Southern Africa,,2022,9331000000
East and Southern Africa,,2023,9349000000
East and Southern Africa,,2024,9387000000
East and Southern Africa,,2025,9440000000
East and Southern Africa,,2026,9163000000
East and Southern Africa,,2027,8678000000
East and Southern Africa,,2028,8910000000
East and Southern Africa,,2029,8465000000
East and Southern Africa,,2030,8267000000
Eastern Europe and Central Asia,,2018,1190000000
Eastern Europe and Central Asia,,2019,1409000000
Eastern Europe and Central Asia,,2020,1649000000
Eastern Europe and Central Asia,,2021,1591000000
Eastern Europe and Central Asia,,2022,1585000000
Eastern Europe and Central Asia,,2023,1575000000
Eastern Europe and Central Asia,,2024,1562000000
Eastern Europe and Central Asia,,2025,1545000000
Eastern Europe and Central Asia,,2026,1522000000
Eastern Europe and Central Asia,,2027,1465000000
Eastern Europe and Central Asia,,2028,1495000000
Eastern Europe and Central Asia,,2029,1431000000
Eastern Europe and Central Asia,,2030,1394000000
Latin America,,2018,3219000000
Latin America,,2019,3180000000
Latin America,,2020,3154000000
Latin America,,2021,3101000000
Latin America,,2022,3117000000
Latin America,,2023,3128000000
Latin America,,2024,3135000000
Latin America,,2025,3138000000
Latin America,,2026,3128000000
Latin America,,2027,3092000000
Latin America,,2028,3112000000
Latin America,,2029,3068000000
Latin America,,2030,3038000000
Middle East and North Africa,,2018,585000000
Middle East and North Africa,,2019,669000000
Middle East and North Africa,,2020,759000000
Middle East and North Africa,,2021,739000000
Middle East and North Africa,,2022,753000000
Middle East and North Africa,,2023,766000000
Middle East and North Africa,,2024,778000000
Middle East and North Africa,,2025,790000000
Middle East and North Africa,,2026,793000000
Middle East and North Africa,,2027,795000000
Middle East and North Africa,,2028,794000000
Middle East and North Africa,,2029,793000000
Middle East and North Africa,,2030,790000000
West and Central Africa,,2018,4128000000
West and Central Africa,,2019,4148000000
West and Central Africa,,2020,3980000000
West and Central Africa,,2021,3947000000
West and Central Africa,,2022,3945000000
West and Central Africa,,2023,3951000000
West and Central Africa,,2024,3965000000
West and Central Africa,,2025,3985000000
West and Central Africa,,2026,3977000000
West and Central Africa,,2027,3967000000
West and Central Africa,,2028,3971000000
West and Central Africa,,2029,3964000000
West and Central Africa,,2030,3960000000
World,OWID_WRL,2018,25721000000
World,OWID_WRL,2019,26037000000
World,OWID_WRL,2020,26172000000
World,OWID_WRL,2021,25265000000
World,OWID_WRL,2022,25324000000
World,OWID_WRL,2023,25399000000
World,OWID_WRL,2024,25486000000
World,OWID_WRL,2025,25578000000
World,OWID_WRL,2026,25242000000
World,OWID_WRL,2027,24587000000
World,OWID_WRL,2028,24913000000
World,OWID_WRL,2029,24259000000
World,OWID_WRL,2030,23925000000
