Entity,Code,Year,Crops - Rye - 71 - Production - 5510 - tonnes (tonnes)
Africa,,1961,10290
Africa,,1962,9100
Africa,,1963,13800
Africa,,1964,16100
Africa,,1965,13900
Africa,,1966,8411
Africa,,1967,14301
Africa,,1968,9100
Africa,,1969,8100
Africa,,1970,15160
Africa,,1971,7120
Africa,,1972,12000
Africa,,1973,15320
Africa,,1974,8850
Africa,,1975,7980
Africa,,1976,9330
Africa,,1977,5900
Africa,,1978,10870
Africa,,1979,11800
Africa,,1980,9900
Africa,,1981,11060
Africa,,1982,10149
Africa,,1983,9800
Africa,,1984,7520
Africa,,1985,3520
Africa,,1986,4000
Africa,,1987,4000
Africa,,1988,4000
Africa,,1989,21100
Africa,,1990,21274
Africa,,1991,21200
Africa,,1992,19300
Africa,,1993,22844
Africa,,1994,24400
Africa,,1995,27352
Africa,,1996,28736
Africa,,1997,29570
Africa,,1998,30371
Africa,,1999,30372
Africa,,2000,29554
Africa,,2001,33980
Africa,,2002,33055
Africa,,2003,32506
Africa,,2004,32893
Africa,,2005,55665
Africa,,2006,80253
Africa,,2007,83157
Africa,,2008,100000
Africa,,2009,102700
Africa,,2010,102898
Africa,,2011,98573
Africa,,2012,94672
Africa,,2013,93818
Africa,,2014,94426
Africa,,2015,95605
Africa,,2016,100421
Africa,,2017,97832
Africa,,2018,98541
Albania,ALB,1961,7206
Albania,ALB,1962,7075
Albania,ALB,1963,5175
Albania,ALB,1964,6498
Albania,ALB,1965,4608
Albania,ALB,1966,6174
Albania,ALB,1967,7001
Albania,ALB,1968,6280
Albania,ALB,1969,7664
Albania,ALB,1970,9043
Albania,ALB,1971,7681
Albania,ALB,1972,8130
Albania,ALB,1973,8330
Albania,ALB,1974,8200
Albania,ALB,1975,8000
Albania,ALB,1976,10000
Albania,ALB,1977,10000
Albania,ALB,1978,10000
Albania,ALB,1979,10000
Albania,ALB,1980,10000
Albania,ALB,1981,5800
Albania,ALB,1982,7500
Albania,ALB,1983,10000
Albania,ALB,1984,11800
Albania,ALB,1985,10900
Albania,ALB,1986,10000
Albania,ALB,1987,10000
Albania,ALB,1988,9400
Albania,ALB,1989,9300
Albania,ALB,1990,8000
Albania,ALB,1991,1427
Albania,ALB,1992,1360
Albania,ALB,1993,2739
Albania,ALB,1994,3765
Albania,ALB,1995,4229
Albania,ALB,1996,2585
Albania,ALB,1997,3029
Albania,ALB,1998,2901
Albania,ALB,1999,3400
